ID	类别序号	单词序号	类别-中文	类别-英文	单词-中文	单词-英文
81_1	81	1	动物	Animals	绵羊	Sheep
81_2	81	2	动物	Animals	猪	Pig
81_3	81	3	动物	Animals	山羊	Goat
81_4	81	4	动物	Animals	马	Horse
81_5	81	5	动物	Animals	猴子	Monkey
81_6	81	6	动物	Animals	熊	Bear
82_1	82	1	甜点	Desserts	提拉米苏	Tiramisu
82_2	82	2	甜点	Desserts	甜甜圈	Donut
82_3	82	3	甜点	Desserts	松饼	Muffin
82_4	82	4	甜点	Desserts	糖果	Sweets
82_5	82	5	甜点	Desserts	雪芭	Sorbet
82_6	82	6	甜点	Desserts	马卡龙	Macaron
82_7	82	7	甜点	Desserts	闪电泡芙	Eclair
83_1	83	1	木质	Wooden	铅笔	Pencil
83_2	83	2	木质	Wooden	书	Book
84_1	84	1	车辆	Vehicles	皮卡车	Pickup
84_2	84	2	车辆	Vehicles	联合收割机	Combine
84_3	84	3	车辆	Vehicles	拖车	Trailer
84_4	84	4	车辆	Vehicles	卡车	Truck
85_1	85	1	衣柜	Wardrobe	套头衫	Jumper
85_2	85	2	衣柜	Wardrobe	毛衣	Sweater
85_3	85	3	衣柜	Wardrobe	牛仔裤	Jeans
86_1	86	1	面包	Breads	夏巴塔	Ciabatta
86_2	86	2	面包	Breads	法棍	Baguette
86_3	86	3	面包	Breads	佛卡夏	Focaccia
86_4	86	4	面包	Breads	皮塔饼	Pita
86_5	86	5	面包	Breads	哈拉面包	Challah
86_6	86	6	面包	Breads	玉米饼	Tortilla
86_7	86	7	面包	Breads	阿瑞巴	Arepa
87_1	87	1	灵长类动物	Primates	大猩猩	Gorilla
87_2	87	2	灵长类动物	Primates	长臂猿	Gibbon
87_3	87	3	灵长类动物	Primates	狒狒	Baboon
87_4	87	4	灵长类动物	Primates	狐猴	Lemur
87_5	87	5	灵长类动物	Primates	猕猴	Macaque
87_6	87	6	灵长类动物	Primates	猿猴	Simian
87_7	87	7	灵长类动物	Primates	山魈	Mandrill
87_8	87	8	灵长类动物	Primates	眼镜猴	Tarsier
88_1	88	1	连衣裙	Dress	紧身连衣裙	Bodycon
88_2	88	2	连衣裙	Dress	束腰外衣	Tunic
88_3	88	3	连衣裙	Dress	鸡尾酒裙	Cocktail
88_4	88	4	连衣裙	Dress	迷你裙	Mini
88_5	88	5	连衣裙	Dress	礼服	Gown
88_6	88	6	连衣裙	Dress	太阳裙	Sundress
89_1	89	1	办公室	Office	钢笔	Pen
89_2	89	2	办公室	Office	橡皮擦	Eraser
90_1	90	1	柑橘	Citrus	酸橙	Lime
90_2	90	2	柑橘	Citrus	柚子	Pomelo
91_1	91	1	90年代	90s	运动衣	0
92_1	92	1	北极	Arctic	北极熊	Polar bear
92_2	92	2	北极	Arctic	雪鸮	Snowy owl
92_3	92	3	北极	Arctic	驯鹿	Reindeer
93_1	93	1	热狗	Hot dog	软面包	Soft bun
93_2	93	2	热狗	Hot dog	番茄酱	Ketchup
94_1	94	1	可爱动物	Cuties	小狗	Puppy
94_2	94	2	可爱动物	Cuties	小猫	Kitten
94_3	94	3	可爱动物	Cuties	小羊	Lamb
94_4	94	4	可爱动物	Cuties	小牛	Calf
94_5	94	5	可爱动物	Cuties	小猪	Piglet
94_6	94	6	可爱动物	Cuties	小马	Foal
94_7	94	7	可爱动物	Cuties	小鸭	Duckling
94_8	94	8	可爱动物	Cuties	小天鹅	Cygnet
95_1	95	1	导航	Navigate	路标	Signpost
95_2	95	2	导航	Navigate	六分仪	Sextant
