name,zh
10 hearts,红心10
7 hearts,红心7
8 hearts,红心8
9 hearts,红心9
Ace,A牌
Account,账户
Aioli,蒜泥蛋黄酱
Alligator,鳄鱼
Anklet,脚链
Art,艺术
Artifact,文物
Aster,紫苑
Atacama,阿塔卡马
Baobab,猴面包树
Bathtub,浴缸
Beak,鸟喙
Bear,熊
Bed,床
Bedroom,卧室
Black,黑色
Blues,蓝调
Book,书
Bow tie,蝴蝶结
Boxing,拳击
Bracelet,手链
Brown,棕色
Calendar,日历
Cedar,雪松
Cerise,樱桃红
Chair,椅子
Chameleon,变色龙
Clam,蛤蜊
Coffee,咖啡
Cold,寒冷
Cotton,棉布
Coupon,优惠券
Credit,信用
Cufflink,袖扣
Curator,馆长
Curling,冰壶
Curse,诅咒
Daisy,雏菊
Day,日
Degu,八齿鼠
Desk,书桌
Diadem,王冠
Diamond ring,钻戒
Dickens,狄更斯
Discount,折扣
Disco,迪斯科
Display,展品
Division,除法
Donut,甜甜圈
Dream,梦
Earring,耳环
East,东
Eclair,闪电泡芙
Eggs,鸡蛋
Elm,榆树
Ember,余烬
Exhibit,展览
Eyes,眼睛
Fabrics,面料
Faulkner,福克纳
Fear,恐惧
Feet,英尺
Felt,毡
Ferret,雪貂
Fingers,手指
Flame,火焰
Flannel,法兰绒
Flour,面粉
Foggy,有雾
Furniture,家具
Gecko,壁虎
Ghost,幽灵
Gobi,戈壁
Golf,高尔夫
Green,绿色
Hall,大厅
Hockey,冰球
Iguana,鬣蜥
Inches,英寸
Index,食指
Integral,积分
Jack hearts,红心J
Jazz,爵士
Kalahari,卡拉哈里
Karakum,卡拉库姆
Khaki,卡其色
King hearts,红心K
Knockout,击倒
Kombucha,康普茶
Lapel,翻领
Linen,亚麻
Little,小指
Lizard,蜥蜴
Locket,挂坠盒
Log,木头
London,伦敦
Lotion,乳液
Lullaby,摇篮曲
Macaron,马卡龙
Matcha,抹茶
Matches,火柴
Meditate,冥想
Middle,中指
Miles,英里
Milk,牛奶
Minus,减号
Mojave,莫哈韦
Monkey,猴子
Monster,怪物
Month,月
Muffin,松饼
Mustard,芥末
Namib,纳米布
Necklace,项链
North,北
Orwell,奥威尔
Oyster,牡蛎
Pajamas,睡衣
Palette,调色板
Pencil,铅笔
Percent,百分比
Picture,画作
Pig,猪
Pine,松树
Plus,加号
Poo,便便
Pop,流行乐
Poppy,罂粟花
Posture,体式
Prayer,祈祷
Queen hearts,红心Q
Rabbit,兔子
Rainy,下雨
Rap,说唱
Razor,剃须刀
Red,红色
Referee,裁判
Reggae,雷鬼
Ring,无名指
Rock,摇滚
Rolling,翻滚
Rugby,橄榄球
Sahara,撒哈拉
Sale,促销
Satin,缎子
Sequoia,红杉
Shampoo,洗发水
Shaver,剃须刀
Sheep,绵羊
Shower,淋浴
Silk,丝绸
Slug,蛞蝓
Smoothie,冰沙
Snail,蜗牛
Snake,蛇
Snow,雪
Snowman,雪人
Snowy,下雪
Soap,肥皂
Soccer,足球
Sofa,沙发
Sole,鞋底
Sorbet,冰糕
South,南
Sparring,陪练
Spruce,云杉
Stormy,暴风雨
Stretch,伸展
Sunny,晴天
Sweets,糖果
Tabasco,塔巴斯科
Table,桌子
Tail,尾巴
Tanami,塔纳米
Tea,茶
Tears,眼泪
Tennis,网球
Theorem,定理
Thumb,拇指
Tiramisu,提拉米苏
Tolkien,托尔金
Tonic,汤力水
Tour,旅行
Towel,毛巾
Trailer,拖车
Trip,旅途
Truck,卡车
Turtle,乌龟
Tuxedo,燕尾服
Twain,马克·吐温
Up,赞
Uppercut,上勾拳
Vampire,吸血鬼
Vector,向量
Velvet,天鹅绒
Violet,紫色
Voyage,航行
Wardrobe,衣柜
Water,水
Week,周
White,白色
Wilde,王尔德
Windy,刮风
Wing,翅膀
Winter,冬天
Wood,木头
Yards,码
Yawn,哈欠
Year,年
Yeast,酵母
Zombie,僵尸
Attic,阁楼
Bathroom,浴室
Cellar,地下室
Kitchen,厨房
Parlor,客厅
Insole,鞋垫
Laces,鞋带
Tongue,鞋舌
Iceberg,冰山
Combine,联合收割机
Pickup,皮卡
Popcorn,爆米花
Ticket,电影票
Crying,哭泣
Ash,灰烬
Fog,雾
Frost,霜
Flooding,洪水
Dry,干燥
Overcast,阴天
Misty,薄雾
