name,zh
2 wheels,两轮车
24 hours,24小时
90s,90年代
Access,通行
Achieve,成就
Acids,酸
Acronyms,缩写
Actions,动作
Activity,活动
Actors,演员
Ads,广告
Adverbs,副词
Africa,非洲
Age,年龄
Ages,时代
Alien,外星人
Allergen,过敏原
Allergy,过敏
Alphabet,字母表
Alpinist,登山家
Amino,氨基酸
Anchor,锚
Anchors,锚
Ancient,古代
Angles,角度
Animals,动物
Antonyms,反义词
Ants,蚂蚁
Apples,苹果
Approval,赞同
Apps,应用
Aquarium,水族馆
Archery,射箭
Armor,盔甲
Arrange,排列
Art,艺术
Artists,艺术家
Asia,亚洲
Atom,原子
Aura,光环
Aviation,航空
Awards,奖项
Axe,斧头
BBQ,烧烤
Baby,婴儿
Bacon,培根
Bag type,包型
Bags,包袋
Baker,面包师
Bakery,烘焙坊
Ball,球
Balloon,气球
Band,乐队
Bandage,绷带
Bank,银行
Baseball,棒球
Bathroom,浴室
Battery,电池
Bears,熊
Beauty,美容
Bed,床
Bedding,床品
Bedroom,卧室
Beds,床铺
Bedtime,睡前
Bee life,蜂群
Beehive,蜂巢
Beetles,甲虫
Belt,腰带
Beverage,饮品
Bible,圣经
Bicycle,自行车
Big,大型
Big cats,大猫
Billion,十亿
Bin,垃圾桶
Biology,生物学
Blue,蓝色
Boat,船
Boats,船只
Body,身体
Bones,骨骼
Bonfire,篝火
Books,书籍
Boots,靴子
Botanics,植物学
Bottle,瓶子
Bouquet,花束
Bowling,保龄球
Boxes,盒子
Boxing,拳击
Bread,面包
Bridge,桥
Brownie,布朗尼
Browser,浏览器
Brunch,早午餐
Bugs,虫子
Building,建筑
Buttons,按钮
Buyer,买家
Cable,电缆
Cafe,咖啡馆
Cake,蛋糕
Calendar,日历
Call,通话
Canada,加拿大
Candle,蜡烛
Canvas,画布
Car type,车型
Card,卡牌
Cards,纸牌
Career,职业
Cats,猫咪
Cave,洞穴
Ceramic,陶瓷
Chain,链条
Chat,聊天
Check,检查
Checkout,结账
Chest,胸部
Child,儿童
Chips,薯片
Circus,马戏团
City,城市
Clear,晴朗
Climate,气候
Clinic,诊所
Clocks,时钟
Clothes,衣服
Clouds,云
Clown,小丑
Coats,外套
Cocktail,鸡尾酒
Cocoa,可可
Coconut,椰子
Codes,代码
Coffee,咖啡
Coins,硬币
College,大学
Coloring,着色
Colors,颜色
Comedy,喜剧
Comet,彗星
Comics,漫画
Compass,指南针
Compete,竞赛
Composer,作曲家
Computer,电脑
Concert,音乐会
Conflict,冲突
Content,内容
Cook,烹饪
Cookware,炊具
Corals,珊瑚
Costume,戏服
Cough,咳嗽
Cow,奶牛
Cowboy,牛仔
Crawlies,爬虫
Creature,生物
Crime,犯罪
Crops,庄稼
Crowded,拥挤
Cruise,邮轮
Crunchy,脆脆的
Cryptids,神秘生物
Cupid,丘比特
Cure,治愈
Cute,可爱
Cuties,萌宠
Cycle,循环
DJ,DJ
Damages,损害
Dawn,黎明
Day,一天
Days,日子
Decorate,装饰
Delicacy,美味
Depths,深度
Deserts,沙漠
Desktop,桌面
Desserts,甜品
Diamond,钻石
Dice,骰子
Diet,饮食
Dino,恐龙
Dinosaur,恐龙
Disco,迪斯科
Dishes,菜肴
Dislike,不喜欢
Diving,潜水
Document,文档
Dog show,犬展
Donut,甜甜圈
Door,门
Dragon,龙
Drama,戏剧
Dress,连衣裙
Drive,驾驶
Driver,司机
Dunes,沙丘
Dynamite,炸药
ENT,耳鼻喉
Easter,复活节
Eating,吃饭
Echo,回声
Eclipse,日食
Ecology,生态
Economy,经济
Editing,编辑
Egg,鸡蛋
Elephant,大象
Email,邮件
Emoji,表情
Emotions,情绪
Empire,帝国
Engine,引擎
Ensemble,合奏
Even,偶数
Events,事件
Exam,考试
Exams,考试
Eyes,眼睛
Fabric,面料
Fabrics,织物
Face,脸
Factory,工厂
Fake,假冒
Fall,秋天
Family,家庭
Fans,粉丝
Fantasy,奇幻
Farm,农场
Farmers,农民
Fashion,时尚
Fast,快速
Fastener,紧固件
Fears,恐惧
Felids,猫科
File,文件
Files,文件
Films,电影
Finger,手指
Fingers,手指
Finish,终点
Fire,火焰
First,第一
Flag,旗帜
Flame,火焰
Flasks,烧瓶
Flaws,缺陷
Flooring,地板
Flora,植物
Fluffy,毛茸茸
Fluids,液体
Fonts,字体
Forest,森林
Forge,锻造
France,法国
Fresco,壁画
Friend,朋友
Friends,朋友
Frost,霜
Fuel,燃料
