id,basic_card_name_en,de-DE
DOG_WORD_PETS_2,Dog,Hund
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Katze
PARROT_WORD_PETS_2,Parrot,Papagei
HOT_DOG_WORD_FOOD_3,Hot dog,Hotdog
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Pommes
PEONY_WORD_FLOWERS_4,Peony,Pfingstrose
LILY_WORD_FLOWERS_4,Lily,Lilie
ROSE_WORD_FLOWERS_4,Rose,Rose
TULIP_WORD_FLOWERS_4,Tulip,Tulpe
WESTERN_WORD_CINEMA_6,Western,Western
DRAMA_WORD_CINEMA_6,Drama,Drama
COMEDY_WORD_CINEMA_6,Comedy,Komödie
HORROR_WORD_CINEMA_6,Horror,Horror
POPCORN_WORD_CINEMA_6,Action,Action
TICKET_WORD_CINEMA_6,Romance,Romanze
BEEF_WORD_BURGER_8,Beef,Rindfleisch
BUN_WORD_BURGER_8,Bun,Brötchen
SAUCE_WORD_BURGER_8,Sauce,Soße
CHEESE_WORD_BURGER_8,Cheese,Käse
PAGE_WORD_BOOK_9,Page,Seite
PAPER_WORD_BOOK_9,Paper,Papier
COVER_WORD_BOOK_9,Cover,Einband
ASIA_WORD_LANDMASS_10,Asia,Asien
AFRICA_WORD_LANDMASS_10,Africa,Afrika
EUROPE_WORD_LANDMASS_10,Europe,Europa
SODA_WORD_DRINKS_16,Soda,Limonade
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Zitronenlimonade
JUICE_WORD_DRINKS_16,Juice,Saft
PAWN_WORD_CHESS_17,Pawn,Bauer
ROOK_WORD_CHESS_17,Rook,Turm
BISHOP_WORD_CHESS_17,Bishop,Läufer
QUEEN_WORD_CHESS_17,Queen,Dame
SPRING_WORD_SEASONS_18,Spring,Frühling
AUTUMN_WORD_SEASONS_18,Autumn,Herbst
WINTER_WORD_SEASONS_18,Winter,Winter
SUMMER_WORD_SEASONS_18,Summer,Sommer
ROD_WORD_FISHING_20,Rod,Rute
BOBBER_WORD_FISHING_20,Bobber,Pose
BAIT_WORD_FISHING_20,Bait,Köder
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaika
ICELAND_WORD_ISLANDS_21,Iceland,Island
SICILY_WORD_ISLANDS_21,Sicily,Sizilien
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaii
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Kreta
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Walzer
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Mücke
LADYBUG_WORD_INSECTS_25,Ladybug,Marienkäfer
MOTH_WORD_INSECTS_25,Moth,Motte
WASP_WORD_INSECTS_25,Wasp,Wespe
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Libelle
ANT_WORD_INSECTS_25,Ant,Ameise
METAL_WORD_MATERIAL_27,Metal,Metall
GLASS_WORD_MATERIAL_27,Glass,Glas
PLASTIC_WORD_MATERIAL_27,Plastic,Plastik
STONE_WORD_MATERIAL_27,Stone,Stein
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Landebahn
GATE_WORD_AIRPORT_29,Gate,Gate
CREAM_WORD_DAIRY_30,Cream,Sahne
BUTTER_WORD_DAIRY_30,Butter,Butter
YOGURT_WORD_DAIRY_30,Yogurt,Joghurt
GOLDFISH_WORD_FISH_31,Goldfish,Goldfisch
TUNA_WORD_FISH_31,Tuna,Thunfisch
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sardine
EEL_WORD_FISH_31,Eel,Aal
MACKEREL_WORD_FISH_31,Mackerel,Makrele
GROUPER_WORD_FISH_31,Grouper,Zackenbarsch
PERCH_WORD_FISH_31,Perch,Barsch
ITALY_WORD_MAP_32,Italy,Italien
INDIA_WORD_MAP_32,India,Indien
AUSTRALIA_WORD_MAP_32,Australia,Australien
FRANCE_WORD_MAP_32,France,Frankreich
USA_WORD_MAP_32,USA,USA
UK_WORD_MAP_32,UK,GB
CYPRUS_WORD_MAP_32,Cyprus,Zypern
JAPAN_WORD_MAP_32,Japan,Japan
ARMOR_WORD_KNIGHT_34,Armor,Rüstung
HELMET_WORD_KNIGHT_34,Helmet,Helm
SHIELD_WORD_KNIGHT_34,Shield,Schild
WEAPON_WORD_KNIGHT_34,Weapon,Waffe
DESTRIER_WORD_KNIGHT_34,Destrier,Streitross
CHIVALRY_WORD_KNIGHT_34,Chivalry,Ritterlichkeit
SHOOTER_WORD_GAMER_36,Shooter,Shooter
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Strategie
SCORE_WORD_GAMER_36,Score,Punktzahl
DRYER_WORD_DEVICE_38,Dryer,Trockner
