id,basic_card_name_en,en-GB
DOG_WORD_PETS_2,Dog,Dog
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Cat
PARROT_WORD_PETS_2,Parrot,Parrot
HOT_DOG_WORD_FOOD_3,Hot dog,Hot dog
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Fries
PEONY_WORD_FLOWERS_4,Peony,Peony
LILY_WORD_FLOWERS_4,Lily,Lily
ROSE_WORD_FLOWERS_4,Rose,Rose
TULIP_WORD_FLOWERS_4,Tulip,Tulip
WESTERN_WORD_CINEMA_6,Western,Western
DRAMA_WORD_CINEMA_6,Drama,Drama
COMEDY_WORD_CINEMA_6,Comedy,Comedy
HORROR_WORD_CINEMA_6,Horror,Horror
POPCORN_WORD_CINEMA_6,Action,Action
TICKET_WORD_CINEMA_6,Romance,Romance
BEEF_WORD_BURGER_8,Beef,Beef
BUN_WORD_BURGER_8,Bun,Bun
SAUCE_WORD_BURGER_8,Sauce,Sauce
CHEESE_WORD_BURGER_8,Cheese,Cheese
PAGE_WORD_BOOK_9,Page,Page
PAPER_WORD_BOOK_9,Paper,Paper
COVER_WORD_BOOK_9,Cover,Cover
ASIA_WORD_LANDMASS_10,Asia,Asia
AFRICA_WORD_LANDMASS_10,Africa,Africa
EUROPE_WORD_LANDMASS_10,Europe,Europe
SODA_WORD_DRINKS_16,Soda,Soda
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Lemonade
JUICE_WORD_DRINKS_16,Juice,Juice
PAWN_WORD_CHESS_17,Pawn,Pawn
ROOK_WORD_CHESS_17,Rook,Rook
BISHOP_WORD_CHESS_17,Bishop,Bishop
QUEEN_WORD_CHESS_17,Queen,Queen
SPRING_WORD_SEASONS_18,Spring,Spring
AUTUMN_WORD_SEASONS_18,Autumn,Autumn
WINTER_WORD_SEASONS_18,Winter,Winter
SUMMER_WORD_SEASONS_18,Summer,Summer
ROD_WORD_FISHING_20,Rod,Rod
BOBBER_WORD_FISHING_20,Bobber,Bobber
BAIT_WORD_FISHING_20,Bait,Bait
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaica
ICELAND_WORD_ISLANDS_21,Iceland,Iceland
SICILY_WORD_ISLANDS_21,Sicily,Sicily
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaii
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Crete
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Waltz
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Mosquito
LADYBUG_WORD_INSECTS_25,Ladybug,Ladybird
MOTH_WORD_INSECTS_25,Moth,Moth
WASP_WORD_INSECTS_25,Wasp,Wasp
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Dragonfly
ANT_WORD_INSECTS_25,Ant,Ant
METAL_WORD_MATERIAL_27,Metal,Metal
GLASS_WORD_MATERIAL_27,Glass,Glass
PLASTIC_WORD_MATERIAL_27,Plastic,Plastic
STONE_WORD_MATERIAL_27,Stone,Stone
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Runway
GATE_WORD_AIRPORT_29,Gate,Gate
CREAM_WORD_DAIRY_30,Cream,Cream
BUTTER_WORD_DAIRY_30,Butter,Butter
YOGURT_WORD_DAIRY_30,Yogurt,Yoghurt
GOLDFISH_WORD_FISH_31,Goldfish,Goldfish
TUNA_WORD_FISH_31,Tuna,Tuna
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sardine
EEL_WORD_FISH_31,Eel,Eel
MACKEREL_WORD_FISH_31,Mackerel,Mackerel
GROUPER_WORD_FISH_31,Grouper,Grouper
PERCH_WORD_FISH_31,Perch,Perch
ITALY_WORD_MAP_32,Italy,Italy
INDIA_WORD_MAP_32,India,India
AUSTRALIA_WORD_MAP_32,Australia,Australia
FRANCE_WORD_MAP_32,France,France
USA_WORD_MAP_32,USA,USA
UK_WORD_MAP_32,UK,UK
CYPRUS_WORD_MAP_32,Cyprus,Cyprus
JAPAN_WORD_MAP_32,Japan,Japan
ARMOR_WORD_KNIGHT_34,Armor,Armour
HELMET_WORD_KNIGHT_34,Helmet,Helmet
SHIELD_WORD_KNIGHT_34,Shield,Shield
WEAPON_WORD_KNIGHT_34,Weapon,Weapon
DESTRIER_WORD_KNIGHT_34,Destrier,Destrier
CHIVALRY_WORD_KNIGHT_34,Chivalry,Chivalry
SHOOTER_WORD_GAMER_36,Shooter,Shooter
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Strategy
SCORE_WORD_GAMER_36,Score,Score
DRYER_WORD_DEVICE_38,Dryer,Dryer
PRINTER_WORD_DEVICE_38,Printer,Printer
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Heater
MANSION_WORD_HOUSE_40,Mansion,Mansion
PALACE_WORD_HOUSE_40,Palace,Palace
VILLA_WORD_HOUSE_40,Villa,Villa
PILOT_WORD_JOBS_42,Pilot,Pilot
MAILMAN_WORD_JOBS_42,Mailman,Postman
DOCTOR_WORD_JOBS_42,Doctor,Doctor
WELDER_WORD_JOBS_42,Welder,Welder
ENGINEER_WORD_JOBS_42,Engineer,Engineer
PLUMBER_WORD_JOBS_42,Plumber,Plumber
ACTOR_WORD_JOBS_42,Actor,Actor
NURSE_WORD_JOBS_42,Nurse,Nurse
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandals
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Slippers
CLOGS_WORD_FOOTWEAR_46,Clogs,Clogs
LOAFERS_WORD_FOOTWEAR_46,Loafers,Loafers
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Trainers
CAR_WORD_DRIVING_49,Car,Car
ROAD_WORD_DRIVING_49,Road,Road
SIGN_WORD_DRIVING_49,Sign,Sign
TRAFFIC_WORD_DRIVING_49,Traffic,Traffic
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Columbus
KICK_WORD_MOVEMENT_52,Kick,Kick
WALK_WORD_MOVEMENT_52,Walk,Walk
JUMP_WORD_MOVEMENT_52,Jump,Jump
SOLID_WORD_PHASE_57,Solid,Solid
LIQUID_WORD_PHASE_57,Liquid,Liquid
GAS_WORD_PHASE_57,Gas,Gas
COMFY_WORD_COZY_58,Comfy,Comfy
WARM_WORD_COZY_58,Warm,Warm
SNUG_WORD_COZY_58,Snug,Snug
ARIES_WORD_ZODIAC_59,Aries,Aries
TAURUS_WORD_ZODIAC_59,Taurus,Taurus
GEMINI_WORD_ZODIAC_59,Gemini,Gemini
LEO_WORD_ZODIAC_59,Leo,Leo
VIRGO_WORD_ZODIAC_59,Virgo,Virgo
LIBRA_WORD_ZODIAC_59,Libra,Libra
SCORPIO_WORD_ZODIAC_59,Scorpio,Scorpio
PISCES_WORD_ZODIAC_59,Pisces,Pisces
FRIGATE_WORD_SHIP_62,Frigate,Frigate
CARAVEL_WORD_SHIP_62,Caravel,Caravel
GALLEON_WORD_SHIP_62,Galleon,Galleon
BRIG_WORD_SHIP_62,Brig,Brig
TANKER_WORD_SHIP_62,Tanker,Tanker
TUGBOAT_WORD_SHIP_62,Tugboat,Tugboat
STAMP_WORD_MAILMAN_63,Stamp,Stamp
ENVELOPE_WORD_MAILMAN_63,Envelope,Envelope
LETTER_WORD_MAILMAN_63,Letter,Letter
MAIL_WORD_MAILMAN_63,Mail,Post
SEAL_WORD_MAILMAN_63,Seal,Seal
INK_WORD_MAILMAN_63,Ink,Ink
BUST_WORD_SCULPT_64,Bust,Bust
FIGURINE_WORD_SCULPT_64,Figurine,Figurine
STATUE_WORD_SCULPT_64,Statue,Statue
MONUMENT_WORD_SCULPT_64,Monument,Monument
ENGLISH_WORD_LANGUAGE_70,English,English
ITALIAN_WORD_LANGUAGE_70,Italian,Italian
HINDI_WORD_LANGUAGE_70,Hindi,Hindi
JAPANESE_WORD_LANGUAGE_70,Japanese,Japanese
HEBREW_WORD_LANGUAGE_70,Hebrew,Hebrew
DANISH_WORD_LANGUAGE_70,Danish,Danish
LATIN_WORD_LANGUAGE_70,Latin,Latin
POLISH_WORD_LANGUAGE_70,Polish,Polish
LENS_WORD_CAMERA_73,Lens,Lens
FLASH_WORD_CAMERA_73,Flash,Flash
ZOOM_WORD_CAMERA_73,Zoom,Zoom
FILTER_WORD_CAMERA_73,Filter,Filter
SHUTTER_WORD_CAMERA_73,Shutter,Shutter
EXPOSURE_WORD_CAMERA_73,Exposure,Exposure
MIST_WORD_FOG_76,Mist,Mist
HAZE_WORD_FOG_76,Haze,Haze
SMOG_WORD_FOG_76,Smog,Smog
VAPOR_WORD_FOG_76,Vapor,Vapour
SLEET_WORD_SNOW_77,Sleet,Sleet
FLAKE_WORD_SNOW_77,Flake,Flake
ICEBERG_WORD_SNOW_77,Frost,Frost
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Hedgehog
CACTUS_WORD_SPIKY_78,Cactus,Cactus
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Dove
EAGLE_WORD_BIRDS_80,Eagle,Eagle
SWAN_WORD_BIRDS_80,Swan,Swan
