id,basic_card_name_en,es-ES
DOG_WORD_PETS_2,Dog,Perro
HAMSTER_WORD_PETS_2,Hamster,Hámster
CAT_WORD_PETS_2,Cat,Gato
PARROT_WORD_PETS_2,Parrot,Loro
HOT_DOG_WORD_FOOD_3,Hot dog,Perrito caliente
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Hamburguesa
FRIES_WORD_FOOD_3,Fries,Papas fritas
PEONY_WORD_FLOWERS_4,Peony,Peonía
LILY_WORD_FLOWERS_4,Lily,Lirio
ROSE_WORD_FLOWERS_4,Rose,Rosa
TULIP_WORD_FLOWERS_4,Tulip,Tulipán
WESTERN_WORD_CINEMA_6,Western,Wéstern
DRAMA_WORD_CINEMA_6,Drama,Drama
COMEDY_WORD_CINEMA_6,Comedy,Comedia
HORROR_WORD_CINEMA_6,Horror,Terror
POPCORN_WORD_CINEMA_6,Action,Acción
TICKET_WORD_CINEMA_6,Romance,Romance
BEEF_WORD_BURGER_8,Beef,Carne
BUN_WORD_BURGER_8,Bun,Pan
SAUCE_WORD_BURGER_8,Sauce,Salsa
CHEESE_WORD_BURGER_8,Cheese,Queso
PAGE_WORD_BOOK_9,Page,Página
PAPER_WORD_BOOK_9,Paper,Papel
COVER_WORD_BOOK_9,Cover,Portada
ASIA_WORD_LANDMASS_10,Asia,Asia
AFRICA_WORD_LANDMASS_10,Africa,África
EUROPE_WORD_LANDMASS_10,Europe,Europa
SODA_WORD_DRINKS_16,Soda,Refresco
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Limonada
JUICE_WORD_DRINKS_16,Juice,Jugo
PAWN_WORD_CHESS_17,Pawn,Peón
ROOK_WORD_CHESS_17,Rook,Torre
BISHOP_WORD_CHESS_17,Bishop,Alfil
QUEEN_WORD_CHESS_17,Queen,Reina
SPRING_WORD_SEASONS_18,Spring,Primavera
AUTUMN_WORD_SEASONS_18,Autumn,Otoño
WINTER_WORD_SEASONS_18,Winter,Invierno
SUMMER_WORD_SEASONS_18,Summer,Verano
ROD_WORD_FISHING_20,Rod,Caña
BOBBER_WORD_FISHING_20,Bobber,Boya
BAIT_WORD_FISHING_20,Bait,Cebo
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaica
ICELAND_WORD_ISLANDS_21,Iceland,Islandia
SICILY_WORD_ISLANDS_21,Sicily,Sicilia
HAWAII_WORD_ISLANDS_21,Hawaii,Hawái
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Creta
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Vals
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Mosquito
LADYBUG_WORD_INSECTS_25,Ladybug,Mariquita
MOTH_WORD_INSECTS_25,Moth,Polilla
WASP_WORD_INSECTS_25,Wasp,Avispa
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Libélula
ANT_WORD_INSECTS_25,Ant,Hormiga
METAL_WORD_MATERIAL_27,Metal,Metal
GLASS_WORD_MATERIAL_27,Glass,Vidrio
PLASTIC_WORD_MATERIAL_27,Plastic,Plástico
STONE_WORD_MATERIAL_27,Stone,Piedra
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Pista
GATE_WORD_AIRPORT_29,Gate,Puerta
CREAM_WORD_DAIRY_30,Cream,Crema
BUTTER_WORD_DAIRY_30,Butter,Mantequilla
YOGURT_WORD_DAIRY_30,Yogurt,Yogur
GOLDFISH_WORD_FISH_31,Goldfish,Pez dorado
TUNA_WORD_FISH_31,Tuna,Atún
MARLIN_WORD_FISH_31,Marlin,Marlín
SARDINE_WORD_FISH_31,Sardine,Sardina
EEL_WORD_FISH_31,Eel,Anguila
MACKEREL_WORD_FISH_31,Mackerel,Caballa
GROUPER_WORD_FISH_31,Grouper,Mero
PERCH_WORD_FISH_31,Perch,Perca
ITALY_WORD_MAP_32,Italy,Italia
INDIA_WORD_MAP_32,India,India
AUSTRALIA_WORD_MAP_32,Australia,Australia
FRANCE_WORD_MAP_32,France,Francia
USA_WORD_MAP_32,USA,EE. UU.
UK_WORD_MAP_32,UK,R. U.
CYPRUS_WORD_MAP_32,Cyprus,Chipre
JAPAN_WORD_MAP_32,Japan,Japón
ARMOR_WORD_KNIGHT_34,Armor,Armadura
HELMET_WORD_KNIGHT_34,Helmet,Casco
SHIELD_WORD_KNIGHT_34,Shield,Escudo
WEAPON_WORD_KNIGHT_34,Weapon,Arma
DESTRIER_WORD_KNIGHT_34,Destrier,Destrero
CHIVALRY_WORD_KNIGHT_34,Chivalry,Caballería
SHOOTER_WORD_GAMER_36,Shooter,Disparos
ARCADE_WORD_GAMER_36,Arcade,Arcade
