id,basic_card_name_en,fr-FR
DOG_WORD_PETS_2,Dog,Chien
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Chat
PARROT_WORD_PETS_2,Parrot,Perroquet
HOT_DOG_WORD_FOOD_3,Hot dog,Hot-dog
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Hamburger
FRIES_WORD_FOOD_3,Fries,Frites
PEONY_WORD_FLOWERS_4,Peony,Pivoine
LILY_WORD_FLOWERS_4,Lily,Lys
ROSE_WORD_FLOWERS_4,Rose,Rose
TULIP_WORD_FLOWERS_4,Tulip,Tulipe
WESTERN_WORD_CINEMA_6,Western,Western
DRAMA_WORD_CINEMA_6,Drama,Drame
COMEDY_WORD_CINEMA_6,Comedy,Comédie
HORROR_WORD_CINEMA_6,Horror,Horreur
POPCORN_WORD_CINEMA_6,Action,Action
TICKET_WORD_CINEMA_6,Romance,Romance
BEEF_WORD_BURGER_8,Beef,Bœuf
BUN_WORD_BURGER_8,Bun,Pain
SAUCE_WORD_BURGER_8,Sauce,Sauce
CHEESE_WORD_BURGER_8,Cheese,Fromage
PAGE_WORD_BOOK_9,Page,Page
PAPER_WORD_BOOK_9,Paper,Papier
COVER_WORD_BOOK_9,Cover,Couverture
ASIA_WORD_LANDMASS_10,Asia,Asie
AFRICA_WORD_LANDMASS_10,Africa,Afrique
EUROPE_WORD_LANDMASS_10,Europe,Europe
SODA_WORD_DRINKS_16,Soda,Soda
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Limonade
JUICE_WORD_DRINKS_16,Juice,Jus
PAWN_WORD_CHESS_17,Pawn,Pion
ROOK_WORD_CHESS_17,Rook,Tour
BISHOP_WORD_CHESS_17,Bishop,Fou
QUEEN_WORD_CHESS_17,Queen,Reine
SPRING_WORD_SEASONS_18,Spring,Printemps
AUTUMN_WORD_SEASONS_18,Autumn,Automne
WINTER_WORD_SEASONS_18,Winter,Hiver
SUMMER_WORD_SEASONS_18,Summer,Été
ROD_WORD_FISHING_20,Rod,Canne
BOBBER_WORD_FISHING_20,Bobber,Bouchon
BAIT_WORD_FISHING_20,Bait,Appât
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaïque
ICELAND_WORD_ISLANDS_21,Iceland,Islande
SICILY_WORD_ISLANDS_21,Sicily,Sicile
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaï
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Crète
BARBADOS_WORD_ISLANDS_21,Barbados,Barbade
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Valse
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Moustique
LADYBUG_WORD_INSECTS_25,Ladybug,Coccinelle
MOTH_WORD_INSECTS_25,Moth,Papillon de nuit
WASP_WORD_INSECTS_25,Wasp,Guêpe
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Libellule
ANT_WORD_INSECTS_25,Ant,Fourmi
METAL_WORD_MATERIAL_27,Metal,Métal
GLASS_WORD_MATERIAL_27,Glass,Verre
PLASTIC_WORD_MATERIAL_27,Plastic,Plastique
STONE_WORD_MATERIAL_27,Stone,Pierre
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Piste
GATE_WORD_AIRPORT_29,Gate,Porte
CREAM_WORD_DAIRY_30,Cream,Crème
BUTTER_WORD_DAIRY_30,Butter,Beurre
YOGURT_WORD_DAIRY_30,Yogurt,Yaourt
GOLDFISH_WORD_FISH_31,Goldfish,Poisson rouge
TUNA_WORD_FISH_31,Tuna,Thon
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sardine
EEL_WORD_FISH_31,Eel,Anguille
MACKEREL_WORD_FISH_31,Mackerel,Maquereau
GROUPER_WORD_FISH_31,Grouper,Mérou
PERCH_WORD_FISH_31,Perch,Perche
ITALY_WORD_MAP_32,Italy,Italie
INDIA_WORD_MAP_32,India,Inde
AUSTRALIA_WORD_MAP_32,Australia,Australie
FRANCE_WORD_MAP_32,France,France
USA_WORD_MAP_32,USA,É.-U.
UK_WORD_MAP_32,UK,R.-U.
CYPRUS_WORD_MAP_32,Cyprus,Chypre
JAPAN_WORD_MAP_32,Japan,Japon
ARMOR_WORD_KNIGHT_34,Armor,Armure
HELMET_WORD_KNIGHT_34,Helmet,Heaume
SHIELD_WORD_KNIGHT_34,Shield,Bouclier
WEAPON_WORD_KNIGHT_34,Weapon,Arme
DESTRIER_WORD_KNIGHT_34,Destrier,Destrier
CHIVALRY_WORD_KNIGHT_34,Chivalry,Chevalerie
SHOOTER_WORD_GAMER_36,Shooter,Tir
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Stratégie
SCORE_WORD_GAMER_36,Score,Score
DRYER_WORD_DEVICE_38,Dryer,Sèche-linge
PRINTER_WORD_DEVICE_38,Printer,Imprimante
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Chauffage
MANSION_WORD_HOUSE_40,Mansion,Manoir
PALACE_WORD_HOUSE_40,Palace,Palais
VILLA_WORD_HOUSE_40,Villa,Villa
PILOT_WORD_JOBS_42,Pilot,Pilote
MAILMAN_WORD_JOBS_42,Mailman,Facteur
DOCTOR_WORD_JOBS_42,Doctor,Médecin
WELDER_WORD_JOBS_42,Welder,Soudeur
ENGINEER_WORD_JOBS_42,Engineer,Ingénieur
PLUMBER_WORD_JOBS_42,Plumber,Plombier
ACTOR_WORD_JOBS_42,Actor,Acteur
NURSE_WORD_JOBS_42,Nurse,Infirmière
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandales
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Pantoufles
CLOGS_WORD_FOOTWEAR_46,Clogs,Sabots
LOAFERS_WORD_FOOTWEAR_46,Loafers,Mocassins
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Baskets
CAR_WORD_DRIVING_49,Car,Voiture
ROAD_WORD_DRIVING_49,Road,Route
SIGN_WORD_DRIVING_49,Sign,Panneau
