id,basic_card_name_en,hi-IN
DOG_WORD_PETS_2,Dog,कुत्ता
HAMSTER_WORD_PETS_2,Hamster,हैम्स्टर
CAT_WORD_PETS_2,Cat,बिल्ली
PARROT_WORD_PETS_2,Parrot,तोता
HOT_DOG_WORD_FOOD_3,Hot dog,हॉट डॉग
PIZZA_WORD_FOOD_3,Pizza,पिज़्ज़ा
BURGER_WORD_FOOD_3,Burger,बर्गर
FRIES_WORD_FOOD_3,Fries,फ्राइज़
PEONY_WORD_FLOWERS_4,Peony,चपरासी फूल
LILY_WORD_FLOWERS_4,Lily,कुमुदिनी
ROSE_WORD_FLOWERS_4,Rose,गुलाब
TULIP_WORD_FLOWERS_4,Tulip,ट्यूलिप
WESTERN_WORD_CINEMA_6,Western,वेस्टर्न
DRAMA_WORD_CINEMA_6,Drama,ड्रामा
COMEDY_WORD_CINEMA_6,Comedy,कॉमेडी
HORROR_WORD_CINEMA_6,Horror,हॉरर
POPCORN_WORD_CINEMA_6,Action,एक्शन
TICKET_WORD_CINEMA_6,Romance,रोमांस
BEEF_WORD_BURGER_8,Beef,गोमांस
BUN_WORD_BURGER_8,Bun,बन
SAUCE_WORD_BURGER_8,Sauce,सॉस
CHEESE_WORD_BURGER_8,Cheese,पनीर
PAGE_WORD_BOOK_9,Page,पृष्ठ
PAPER_WORD_BOOK_9,Paper,कागज़
COVER_WORD_BOOK_9,Cover,आवरण
ASIA_WORD_LANDMASS_10,Asia,एशिया
AFRICA_WORD_LANDMASS_10,Africa,अफ़्रीका
EUROPE_WORD_LANDMASS_10,Europe,यूरोप
SODA_WORD_DRINKS_16,Soda,सोडा
ESPRESSO_WORD_DRINKS_16,Espresso,एस्प्रेसो
LEMONADE_WORD_DRINKS_16,Lemonade,नींबू पानी
JUICE_WORD_DRINKS_16,Juice,जूस
PAWN_WORD_CHESS_17,Pawn,प्यादा
ROOK_WORD_CHESS_17,Rook,हाथी
BISHOP_WORD_CHESS_17,Bishop,ऊँट
QUEEN_WORD_CHESS_17,Queen,वज़ीर
SPRING_WORD_SEASONS_18,Spring,वसंत
AUTUMN_WORD_SEASONS_18,Autumn,पतझड़
WINTER_WORD_SEASONS_18,Winter,सर्दी
SUMMER_WORD_SEASONS_18,Summer,गर्मी
ROD_WORD_FISHING_20,Rod,छड़ी
BOBBER_WORD_FISHING_20,Bobber,फ्लोट
BAIT_WORD_FISHING_20,Bait,चारा
JAMAICA_WORD_ISLANDS_21,Jamaica,जमैका
ICELAND_WORD_ISLANDS_21,Iceland,आइसलैंड
SICILY_WORD_ISLANDS_21,Sicily,सिसिली
HAWAII_WORD_ISLANDS_21,Hawaii,हवाई
BALI_WORD_ISLANDS_21,Bali,बाली
IBIZA_WORD_ISLANDS_21,Ibiza,इबीज़ा
CRETE_WORD_ISLANDS_21,Crete,क्रीट
BARBADOS_WORD_ISLANDS_21,Barbados,बारबाडोस
RUMBA_WORD_DANCES_24,Rumba,रूम्बा
TANGO_WORD_DANCES_24,Tango,टैंगो
SALSA_WORD_DANCES_24,Salsa,साल्सा
WALTZ_WORD_DANCES_24,Waltz,वाल्ट्ज़
SAMBA_WORD_DANCES_24,Samba,सांबा
FLAMENCO_WORD_DANCES_24,Flamenco,फ़्लामेंको
MOSQUITO_WORD_INSECTS_25,Mosquito,मच्छर
LADYBUG_WORD_INSECTS_25,Ladybug,लेडीबग
MOTH_WORD_INSECTS_25,Moth,पतंगा
WASP_WORD_INSECTS_25,Wasp,ततैया
DRAGONFLY_WORD_INSECTS_25,Dragonfly,व्याध पतंग
ANT_WORD_INSECTS_25,Ant,चींटी
METAL_WORD_MATERIAL_27,Metal,धातु
GLASS_WORD_MATERIAL_27,Glass,काँच
PLASTIC_WORD_MATERIAL_27,Plastic,प्लास्टिक
STONE_WORD_MATERIAL_27,Stone,पत्थर
TERMINAL_WORD_AIRPORT_29,Terminal,टर्मिनल
RUNWAY_WORD_AIRPORT_29,Runway,रनवे
GATE_WORD_AIRPORT_29,Gate,गेट
CREAM_WORD_DAIRY_30,Cream,क्रीम
BUTTER_WORD_DAIRY_30,Butter,मक्खन
YOGURT_WORD_DAIRY_30,Yogurt,दही
GOLDFISH_WORD_FISH_31,Goldfish,सुनहरी मछली
TUNA_WORD_FISH_31,Tuna,टूना
MARLIN_WORD_FISH_31,Marlin,मार्लिन
SARDINE_WORD_FISH_31,Sardine,सार्डिन
EEL_WORD_FISH_31,Eel,बाम मछली
MACKEREL_WORD_FISH_31,Mackerel,मैकरेल
GROUPER_WORD_FISH_31,Grouper,ग्रूपर
PERCH_WORD_FISH_31,Perch,पर्च
ITALY_WORD_MAP_32,Italy,इटली
INDIA_WORD_MAP_32,India,भारत
AUSTRALIA_WORD_MAP_32,Australia,ऑस्ट्रेलिया
FRANCE_WORD_MAP_32,France,फ़्रांस
USA_WORD_MAP_32,USA,अमेरिका
UK_WORD_MAP_32,UK,ब्रिटेन
CYPRUS_WORD_MAP_32,Cyprus,साइप्रस
JAPAN_WORD_MAP_32,Japan,जापान
ARMOR_WORD_KNIGHT_34,Armor,कवच
HELMET_WORD_KNIGHT_34,Helmet,हेलमेट
SHIELD_WORD_KNIGHT_34,Shield,ढाल
WEAPON_WORD_KNIGHT_34,Weapon,हथियार
DESTRIER_WORD_KNIGHT_34,Destrier,युद्ध अश्व
CHIVALRY_WORD_KNIGHT_34,Chivalry,शूरवीरता
SHOOTER_WORD_GAMER_36,Shooter,शूटर
ARCADE_WORD_GAMER_36,Arcade,आर्केड
STRATEGY_WORD_GAMER_36,Strategy,रणनीति
SCORE_WORD_GAMER_36,Score,स्कोर
DRYER_WORD_DEVICE_38,Dryer,ड्रायर
PRINTER_WORD_DEVICE_38,Printer,प्रिंटर
FAX_WORD_DEVICE_38,Fax,फ़ैक्स
HEATER_WORD_DEVICE_38,Heater,हीटर
MANSION_WORD_HOUSE_40,Mansion,हवेली
PALACE_WORD_HOUSE_40,Palace,महल
VILLA_WORD_HOUSE_40,Villa,विला
PILOT_WORD_JOBS_42,Pilot,पायलट
MAILMAN_WORD_JOBS_42,Mailman,डाकिया
DOCTOR_WORD_JOBS_42,Doctor,डॉक्टर
WELDER_WORD_JOBS_42,Welder,वेल्डर
ENGINEER_WORD_JOBS_42,Engineer,इंजीनियर
PLUMBER_WORD_JOBS_42,Plumber,प्लम्बर
ACTOR_WORD_JOBS_42,Actor,अभिनेता
NURSE_WORD_JOBS_42,Nurse,नर्स
SANDALS_WORD_FOOTWEAR_46,Sandals,सैंडल
UGGS_WORD_FOOTWEAR_46,Uggs,अग्स
SLIPPERS_WORD_FOOTWEAR_46,Slippers,चप्पल
CLOGS_WORD_FOOTWEAR_46,Clogs,क्लॉग्स
LOAFERS_WORD_FOOTWEAR_46,Loafers,लोफ़र
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,स्नीकर्स
CAR_WORD_DRIVING_49,Car,कार
ROAD_WORD_DRIVING_49,Road,सड़क
SIGN_WORD_DRIVING_49,Sign,संकेत
TRAFFIC_WORD_DRIVING_49,Traffic,यातायात
VESPUCCI_WORD_EXPLORER_51,Vespucci,वेस्पुची
MAGELLAN_WORD_EXPLORER_51,Magellan,मैगेलन
COLUMBUS_WORD_EXPLORER_51,Columbus,कोलंबस
KICK_WORD_MOVEMENT_52,Kick,लात
WALK_WORD_MOVEMENT_52,Walk,चलना
JUMP_WORD_MOVEMENT_52,Jump,कूदना
SOLID_WORD_PHASE_57,Solid,ठोस
LIQUID_WORD_PHASE_57,Liquid,तरल
GAS_WORD_PHASE_57,Gas,गैस
COMFY_WORD_COZY_58,Comfy,आरामदायक
WARM_WORD_COZY_58,Warm,गर्म
SNUG_WORD_COZY_58,Snug,सुखद
ARIES_WORD_ZODIAC_59,Aries,मेष
TAURUS_WORD_ZODIAC_59,Taurus,वृषभ
GEMINI_WORD_ZODIAC_59,Gemini,मिथुन
LEO_WORD_ZODIAC_59,Leo,सिंह
VIRGO_WORD_ZODIAC_59,Virgo,कन्या
LIBRA_WORD_ZODIAC_59,Libra,तुला
SCORPIO_WORD_ZODIAC_59,Scorpio,वृश्चिक
PISCES_WORD_ZODIAC_59,Pisces,मीन
FRIGATE_WORD_SHIP_62,Frigate,फ्रिगेट
CARAVEL_WORD_SHIP_62,Caravel,कैरेवल
GALLEON_WORD_SHIP_62,Galleon,गैलियन
BRIG_WORD_SHIP_62,Brig,ब्रिग
TANKER_WORD_SHIP_62,Tanker,टैंकर
TUGBOAT_WORD_SHIP_62,Tugboat,टगबोट
STAMP_WORD_MAILMAN_63,Stamp,डाक टिकट
ENVELOPE_WORD_MAILMAN_63,Envelope,लिफ़ाफ़ा
LETTER_WORD_MAILMAN_63,Letter,पत्र
MAIL_WORD_MAILMAN_63,Mail,डाक
SEAL_WORD_MAILMAN_63,Seal,मुहर
INK_WORD_MAILMAN_63,Ink,स्याही
BUST_WORD_SCULPT_64,Bust,आवक्ष प्रतिमा
FIGURINE_WORD_SCULPT_64,Figurine,मूर्तिका
STATUE_WORD_SCULPT_64,Statue,प्रतिमा
MONUMENT_WORD_SCULPT_64,Monument,स्मारक
ENGLISH_WORD_LANGUAGE_70,English,अंग्रेज़ी
ITALIAN_WORD_LANGUAGE_70,Italian,इतालवी
HINDI_WORD_LANGUAGE_70,Hindi,हिंदी
JAPANESE_WORD_LANGUAGE_70,Japanese,जापानी
HEBREW_WORD_LANGUAGE_70,Hebrew,हिब्रू
DANISH_WORD_LANGUAGE_70,Danish,डेनिश
LATIN_WORD_LANGUAGE_70,Latin,लैटिन
POLISH_WORD_LANGUAGE_70,Polish,पोलिश
LENS_WORD_CAMERA_73,Lens,लेंस
FLASH_WORD_CAMERA_73,Flash,फ्लैश
ZOOM_WORD_CAMERA_73,Zoom,ज़ूम
FILTER_WORD_CAMERA_73,Filter,फ़िल्टर
SHUTTER_WORD_CAMERA_73,Shutter,शटर
EXPOSURE_WORD_CAMERA_73,Exposure,एक्सपोज़र
MIST_WORD_FOG_76,Mist,धुंध
HAZE_WORD_FOG_76,Haze,कोहरा
SMOG_WORD_FOG_76,Smog,धुआँसा
VAPOR_WORD_FOG_76,Vapor,वाष्प
SLEET_WORD_SNOW_77,Sleet,ओलावृष्टि
FLAKE_WORD_SNOW_77,Flake,हिमकण
ICEBERG_WORD_SNOW_77,Frost,पाला
HEDGEHOG_WORD_SPIKY_78,Hedgehog,कंटक चूहा
CACTUS_WORD_SPIKY_78,Cactus,कैक्टस
DURIAN_WORD_SPIKY_78,Durian,डूरियन
DOVE_WORD_BIRDS_80,Dove,कबूतर
EAGLE_WORD_BIRDS_80,Eagle,गरुड़
SWAN_WORD_BIRDS_80,Swan,हंस
OWL_WORD_BIRDS_80,Owl,उल्लू
HERON_WORD_BIRDS_80,Heron,बगुला
ROBIN_WORD_BIRDS_80,Robin,रॉबिन
FINCH_WORD_BIRDS_80,Finch,फिंच
VULTURE_WORD_BIRDS_80,Vulture,गिद्ध
SARTRE_WORD_MINDS_82,Sartre,सार्त्र
DANTE_WORD_MINDS_82,Dante,दांते
PLATO_WORD_MINDS_82,Plato,प्लेटो
SOCRATES_WORD_MINDS_82,Socrates,सुकरात
GALILEO_WORD_MINDS_82,Galileo,गैलीलियो
KANT_WORD_MINDS_82,Kant,कांट
PUCK_WORD_HOCKEY_86,Puck,पक
PENALTY_WORD_HOCKEY_86,Penalty,पेनल्टी
GOAL_WORD_HOCKEY_86,Goal,गोल
RINK_WORD_HOCKEY_86,Rink,रिंक
COUPLE_WORD_DATE_87,Couple,जोड़ा
TUXEDO_WORD_DATE_87,Wine,वाइन
FLOWERS_WORD_DATE_87,Flowers,फूल
TEETH_WORD_SAW_88,Teeth,दाँत
BLADE_WORD_SAW_88,Blade,ब्लेड
NOTCH_WORD_SAW_88,Notch,खाँचा
OLDMAN_WORD_ACTOR_89,Oldman,ओल्डमैन
PITT_WORD_ACTOR_89,Pitt,पिट
EASTWOOD_WORD_ACTOR_89,Eastwood,ईस्टवुड
HANKS_WORD_ACTOR_89,Hanks,हैंक्स
CROWE_WORD_ACTOR_89,Crowe,क्रो
CRUISE_WORD_ACTOR_89,Cruise,क्रूज़
DICAPRIO_WORD_ACTOR_89,DiCaprio,डिकैप्रियो
WAHLBERG_WORD_ACTOR_89,Wahlberg,वॉलबर्ग
MERCURY_WORD_PLANET_90,Mercury,बुध
JUPITER_WORD_PLANET_90,Jupiter,बृहस्पति
SATURN_WORD_PLANET_90,Saturn,शनि
URANUS_WORD_PLANET_90,Uranus,अरुण
NEPTUNE_WORD_PLANET_90,Neptune,वरुण
MARS_WORD_PLANET_90,Mars,मंगल
EARTH_WORD_PLANET_90,Earth,पृथ्वी
VENUS_WORD_PLANET_90,Venus,शुक्र
BIOLOGY_WORD_LESSONS_94,Biology,जीव विज्ञान
PHYSICS_WORD_LESSONS_94,Physics,भौतिकी
GEOMETRY_WORD_LESSONS_94,Geometry,ज्यामिति
ALGEBRA_WORD_LESSONS_94,Algebra,बीजगणित
HISTORY_WORD_LESSONS_94,History,इतिहास
CALCULUS_WORD_LESSONS_94,Calculus,कलन
TABLETS_WORD_PILLS_99,Tablets,गोलियाँ
CAPSULES_WORD_PILLS_99,Capsules,कैप्सूल
LOZENGES_WORD_PILLS_99,Lozenges,लोज़ेंज
CLOUDS_WORD_RAINY_100,Clouds,बादल
SHOWERS_WORD_RAINY_100,Showers,बौछारें
PUDDLES_WORD_RAINY_100,Puddles,गड्ढे
CIABATTA_WORD_BREADS_102,Ciabatta,चबाटा
BAGUETTE_WORD_BREADS_102,Baguette,बैगेट
FOCACCIA_WORD_BREADS_102,Focaccia,फ़ोकैचा
PITA_WORD_BREADS_102,Pita,पीटा
