id,basic_card_name_en,id-ID
DOG_WORD_PETS_2,Dog,Anjing
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Kucing
PARROT_WORD_PETS_2,Parrot,Burung Nuri
HOT_DOG_WORD_FOOD_3,Hot dog,Hot dog
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Kentang goreng
PEONY_WORD_FLOWERS_4,Peony,Peoni
LILY_WORD_FLOWERS_4,Lily,Lili
ROSE_WORD_FLOWERS_4,Rose,Mawar
TULIP_WORD_FLOWERS_4,Tulip,Tulip
WESTERN_WORD_CINEMA_6,Western,Koboi
DRAMA_WORD_CINEMA_6,Drama,Drama
COMEDY_WORD_CINEMA_6,Comedy,Komedi
HORROR_WORD_CINEMA_6,Horror,Horor
POPCORN_WORD_CINEMA_6,Action,Aksi
TICKET_WORD_CINEMA_6,Romance,Romansa
BEEF_WORD_BURGER_8,Beef,Daging sapi
BUN_WORD_BURGER_8,Bun,Roti
SAUCE_WORD_BURGER_8,Sauce,Saus
CHEESE_WORD_BURGER_8,Cheese,Keju
PAGE_WORD_BOOK_9,Page,Halaman
PAPER_WORD_BOOK_9,Paper,Kertas
COVER_WORD_BOOK_9,Cover,Sampul
ASIA_WORD_LANDMASS_10,Asia,Asia
AFRICA_WORD_LANDMASS_10,Africa,Afrika
EUROPE_WORD_LANDMASS_10,Europe,Eropa
SODA_WORD_DRINKS_16,Soda,Soda
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Limun
JUICE_WORD_DRINKS_16,Juice,Jus
PAWN_WORD_CHESS_17,Pawn,Pion
ROOK_WORD_CHESS_17,Rook,Benteng
BISHOP_WORD_CHESS_17,Bishop,Gajah
QUEEN_WORD_CHESS_17,Queen,Ratu
SPRING_WORD_SEASONS_18,Spring,Semi
AUTUMN_WORD_SEASONS_18,Autumn,Gugur
WINTER_WORD_SEASONS_18,Winter,Dingin
SUMMER_WORD_SEASONS_18,Summer,Panas
ROD_WORD_FISHING_20,Rod,Joran
BOBBER_WORD_FISHING_20,Bobber,Pelampung
BAIT_WORD_FISHING_20,Bait,Umpan
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaika
ICELAND_WORD_ISLANDS_21,Iceland,Islandia
SICILY_WORD_ISLANDS_21,Sicily,Sisilia
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaii
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Kreta
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Waltz
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Nyamuk
LADYBUG_WORD_INSECTS_25,Ladybug,Kepik
MOTH_WORD_INSECTS_25,Moth,Ngengat
WASP_WORD_INSECTS_25,Wasp,Tawon
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Capung
ANT_WORD_INSECTS_25,Ant,Semut
METAL_WORD_MATERIAL_27,Metal,Logam
GLASS_WORD_MATERIAL_27,Glass,Kaca
PLASTIC_WORD_MATERIAL_27,Plastic,Plastik
STONE_WORD_MATERIAL_27,Stone,Batu
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Landasan
GATE_WORD_AIRPORT_29,Gate,Gerbang
CREAM_WORD_DAIRY_30,Cream,Krim
BUTTER_WORD_DAIRY_30,Butter,Mentega
YOGURT_WORD_DAIRY_30,Yogurt,Yogurt
GOLDFISH_WORD_FISH_31,Goldfish,Ikan mas
TUNA_WORD_FISH_31,Tuna,Tuna
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sarden
EEL_WORD_FISH_31,Eel,Belut
MACKEREL_WORD_FISH_31,Mackerel,Makarel
GROUPER_WORD_FISH_31,Grouper,Kerapu
PERCH_WORD_FISH_31,Perch,Kakap
ITALY_WORD_MAP_32,Italy,Italia
INDIA_WORD_MAP_32,India,India
AUSTRALIA_WORD_MAP_32,Australia,Australia
FRANCE_WORD_MAP_32,France,Prancis
USA_WORD_MAP_32,USA,AS
UK_WORD_MAP_32,UK,Inggris
CYPRUS_WORD_MAP_32,Cyprus,Siprus
JAPAN_WORD_MAP_32,Japan,Jepang
ARMOR_WORD_KNIGHT_34,Armor,Baju besi
HELMET_WORD_KNIGHT_34,Helmet,Helm
SHIELD_WORD_KNIGHT_34,Shield,Perisai
WEAPON_WORD_KNIGHT_34,Weapon,Senjata
DESTRIER_WORD_KNIGHT_34,Destrier,Destrier
CHIVALRY_WORD_KNIGHT_34,Chivalry,Kesatria
SHOOTER_WORD_GAMER_36,Shooter,Tembak
ARCADE_WORD_GAMER_36,Arcade,Arkade
STRATEGY_WORD_GAMER_36,Strategy,Strategi
SCORE_WORD_GAMER_36,Score,Skor
DRYER_WORD_DEVICE_38,Dryer,Pengering
PRINTER_WORD_DEVICE_38,Printer,Printer
FAX_WORD_DEVICE_38,Fax,Faks
HEATER_WORD_DEVICE_38,Heater,Pemanas
MANSION_WORD_HOUSE_40,Mansion,Rumah besar
PALACE_WORD_HOUSE_40,Palace,Istana
VILLA_WORD_HOUSE_40,Villa,Vila
PILOT_WORD_JOBS_42,Pilot,Pilot
MAILMAN_WORD_JOBS_42,Mailman,Tukang pos
DOCTOR_WORD_JOBS_42,Doctor,Dokter
WELDER_WORD_JOBS_42,Welder,Tukang las
ENGINEER_WORD_JOBS_42,Engineer,Insinyur
PLUMBER_WORD_JOBS_42,Plumber,Tukang ledeng
ACTOR_WORD_JOBS_42,Actor,Aktor
NURSE_WORD_JOBS_42,Nurse,Perawat
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandal
UGGS_WORD_FOOTWEAR_46,Uggs,Uggs
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Selop
CLOGS_WORD_FOOTWEAR_46,Clogs,Bakiak
LOAFERS_WORD_FOOTWEAR_46,Loafers,Loafer
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Sepatu kets
CAR_WORD_DRIVING_49,Car,Mobil
ROAD_WORD_DRIVING_49,Road,Jalan
SIGN_WORD_DRIVING_49,Sign,Rambu
TRAFFIC_WORD_DRIVING_49,Traffic,Lalu lintas
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Magellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Columbus
KICK_WORD_MOVEMENT_52,Kick,Tendang
WALK_WORD_MOVEMENT_52,Walk,Jalan
JUMP_WORD_MOVEMENT_52,Jump,Lompat
SOLID_WORD_PHASE_57,Solid,Padat
LIQUID_WORD_PHASE_57,Liquid,Cair
GAS_WORD_PHASE_57,Gas,Gas
COMFY_WORD_COZY_58,Comfy,Nyaman
WARM_WORD_COZY_58,Warm,Hangat
SNUG_WORD_COZY_58,Snug,Pas
ARIES_WORD_ZODIAC_59,Aries,Aries
TAURUS_WORD_ZODIAC_59,Taurus,Taurus
GEMINI_WORD_ZODIAC_59,Gemini,Gemini
LEO_WORD_ZODIAC_59,Leo,Leo
