\ufeffid,basic_card_name_en,ja-JP
DOG_WORD_PETS_2,Dog,犬
HAMSTER_WORD_PETS_2,Hamster,ハムスター
CAT_WORD_PETS_2,Cat,猫
PARROT_WORD_PETS_2,Parrot,オウム
HOT_DOG_WORD_FOOD_3,Hot dog,ホットドッグ
PIZZA_WORD_FOOD_3,Pizza,ピザ
BURGER_WORD_FOOD_3,Burger,バーガー
FRIES_WORD_FOOD_3,Fries,フライドポテト
PEONY_WORD_FLOWERS_4,Peony,牡丹
LILY_WORD_FLOWERS_4,Lily,ユリ
ROSE_WORD_FLOWERS_4,Rose,バラ
TULIP_WORD_FLOWERS_4,Tulip,チューリップ
WESTERN_WORD_CINEMA_6,Western,西部劇
DRAMA_WORD_CINEMA_6,Drama,ドラマ
COMEDY_WORD_CINEMA_6,Comedy,コメディ
HORROR_WORD_CINEMA_6,Horror,ホラー
POPCORN_WORD_CINEMA_6,Action,アクション
TICKET_WORD_CINEMA_6,Romance,ロマンス
BEEF_WORD_BURGER_8,Beef,ビーフ
BUN_WORD_BURGER_8,Bun,バンズ
SAUCE_WORD_BURGER_8,Sauce,ソース
CHEESE_WORD_BURGER_8,Cheese,チーズ
PAGE_WORD_BOOK_9,Page,ページ
PAPER_WORD_BOOK_9,Paper,紙
COVER_WORD_BOOK_9,Cover,表紙
ASIA_WORD_LANDMASS_10,Asia,アジア
AFRICA_WORD_LANDMASS_10,Africa,アフリカ
EUROPE_WORD_LANDMASS_10,Europe,ヨーロッパ
SODA_WORD_DRINKS_16,Soda,ソーダ
ESPRESSO_WORD_DRINKS_16,Espresso,エスプレッソ
LEMONADE_WORD_DRINKS_16,Lemonade,レモネード
JUICE_WORD_DRINKS_16,Juice,ジュース
PAWN_WORD_CHESS_17,Pawn,ポーン
ROOK_WORD_CHESS_17,Rook,ルーク
BISHOP_WORD_CHESS_17,Bishop,ビショップ
QUEEN_WORD_CHESS_17,Queen,クイーン
SPRING_WORD_SEASONS_18,Spring,春
AUTUMN_WORD_SEASONS_18,Autumn,秋
WINTER_WORD_SEASONS_18,Winter,冬
SUMMER_WORD_SEASONS_18,Summer,夏
ROD_WORD_FISHING_20,Rod,竿
BOBBER_WORD_FISHING_20,Bobber,浮き
BAIT_WORD_FISHING_20,Bait,餌
JAMAICA_WORD_ISLANDS_21,Jamaica,ジャマイカ
ICELAND_WORD_ISLANDS_21,Iceland,アイスランド
SICILY_WORD_ISLANDS_21,Sicily,シチリア
HAWAII_WORD_ISLANDS_21,Hawaii,ハワイ
BALI_WORD_ISLANDS_21,Bali,バリ
IBIZA_WORD_ISLANDS_21,Ibiza,イビサ
CRETE_WORD_ISLANDS_21,Crete,クレタ
BARBADOS_WORD_ISLANDS_21,Barbados,バルバドス
RUMBA_WORD_DANCES_24,Rumba,ルンバ
TANGO_WORD_DANCES_24,Tango,タンゴ
SALSA_WORD_DANCES_24,Salsa,サルサ
WALTZ_WORD_DANCES_24,Waltz,ワルツ
SAMBA_WORD_DANCES_24,Samba,サンバ
FLAMENCO_WORD_DANCES_24,Flamenco,フラメンコ
MOSQUITO_WORD_INSECTS_25,Mosquito,蚊
LADYBUG_WORD_INSECTS_25,Ladybug,テントウムシ
MOTH_WORD_INSECTS_25,Moth,蛾
WASP_WORD_INSECTS_25,Wasp,スズメバチ
DRAGONFLY_WORD_INSECTS_25,Dragonfly,トンボ
ANT_WORD_INSECTS_25,Ant,アリ
METAL_WORD_MATERIAL_27,Metal,金属
GLASS_WORD_MATERIAL_27,Glass,ガラス
