\ufeffid,basic_card_name_en,ko-KR
DOG_WORD_PETS_2,Dog,개
HAMSTER_WORD_PETS_2,Hamster,햄스터
CAT_WORD_PETS_2,Cat,고양이
PARROT_WORD_PETS_2,Parrot,앵무새
HOT_DOG_WORD_FOOD_3,Hot dog,핫도그
PIZZA_WORD_FOOD_3,Pizza,피자
BURGER_WORD_FOOD_3,Burger,버거
FRIES_WORD_FOOD_3,Fries,감자튀김
PEONY_WORD_FLOWERS_4,Peony,모란
LILY_WORD_FLOWERS_4,Lily,백합
ROSE_WORD_FLOWERS_4,Rose,장미
TULIP_WORD_FLOWERS_4,Tulip,튤립
WESTERN_WORD_CINEMA_6,Western,서부극
DRAMA_WORD_CINEMA_6,Drama,드라마
COMEDY_WORD_CINEMA_6,Comedy,코미디
HORROR_WORD_CINEMA_6,Horror,호러
POPCORN_WORD_CINEMA_6,Action,액션
TICKET_WORD_CINEMA_6,Romance,로맨스
BEEF_WORD_BURGER_8,Beef,소고기
BUN_WORD_BURGER_8,Bun,번
SAUCE_WORD_BURGER_8,Sauce,소스
CHEESE_WORD_BURGER_8,Cheese,치즈
PAGE_WORD_BOOK_9,Page,페이지
PAPER_WORD_BOOK_9,Paper,종이
COVER_WORD_BOOK_9,Cover,표지
ASIA_WORD_LANDMASS_10,Asia,아시아
AFRICA_WORD_LANDMASS_10,Africa,아프리카
EUROPE_WORD_LANDMASS_10,Europe,유럽
SODA_WORD_DRINKS_16,Soda,소다
ESPRESSO_WORD_DRINKS_16,Espresso,에스프레소
LEMONADE_WORD_DRINKS_16,Lemonade,레모네이드
JUICE_WORD_DRINKS_16,Juice,주스
PAWN_WORD_CHESS_17,Pawn,폰
ROOK_WORD_CHESS_17,Rook,룩
BISHOP_WORD_CHESS_17,Bishop,비숍
QUEEN_WORD_CHESS_17,Queen,퀸
SPRING_WORD_SEASONS_18,Spring,봄
AUTUMN_WORD_SEASONS_18,Autumn,가을
WINTER_WORD_SEASONS_18,Winter,겨울
SUMMER_WORD_SEASONS_18,Summer,여름
ROD_WORD_FISHING_20,Rod,낚싯대
BOBBER_WORD_FISHING_20,Bobber,찌
BAIT_WORD_FISHING_20,Bait,미끼
JAMAICA_WORD_ISLANDS_21,Jamaica,자메이카
ICELAND_WORD_ISLANDS_21,Iceland,아이슬란드
SICILY_WORD_ISLANDS_21,Sicily,시칠리아
HAWAII_WORD_ISLANDS_21,Hawaii,하와이
BALI_WORD_ISLANDS_21,Bali,발리
IBIZA_WORD_ISLANDS_21,Ibiza,이비자
CRETE_WORD_ISLANDS_21,Crete,크레타
BARBADOS_WORD_ISLANDS_21,Barbados,바베이도스
RUMBA_WORD_DANCES_24,Rumba,룸바
TANGO_WORD_DANCES_24,Tango,탱고
SALSA_WORD_DANCES_24,Salsa,살사
WALTZ_WORD_DANCES_24,Waltz,왈츠
SAMBA_WORD_DANCES_24,Samba,삼바
FLAMENCO_WORD_DANCES_24,Flamenco,플라멩코
MOSQUITO_WORD_INSECTS_25,Mosquito,모기
LADYBUG_WORD_INSECTS_25,Ladybug,무당벌레
MOTH_WORD_INSECTS_25,Moth,나방
WASP_WORD_INSECTS_25,Wasp,말벌
DRAGONFLY_WORD_INSECTS_25,Dragonfly,잠자리
ANT_WORD_INSECTS_25,Ant,개미
METAL_WORD_MATERIAL_27,Metal,금속
GLASS_WORD_MATERIAL_27,Glass,유리
