id,basic_card_name_en,pl-PL
DOG_WORD_PETS_2,Dog,Pies
HAMSTER_WORD_PETS_2,Hamster,Chomik
CAT_WORD_PETS_2,Cat,Kot
PARROT_WORD_PETS_2,Parrot,Papuga
HOT_DOG_WORD_FOOD_3,Hot dog,Hot dog
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Frytki
PEONY_WORD_FLOWERS_4,Peony,Piwonia
LILY_WORD_FLOWERS_4,Lily,Lilia
ROSE_WORD_FLOWERS_4,Rose,Róża
TULIP_WORD_FLOWERS_4,Tulip,Tulipan
WESTERN_WORD_CINEMA_6,Western,Western
DRAMA_WORD_CINEMA_6,Drama,Dramat
COMEDY_WORD_CINEMA_6,Comedy,Komedia
HORROR_WORD_CINEMA_6,Horror,Horror
POPCORN_WORD_CINEMA_6,Action,Akcja
TICKET_WORD_CINEMA_6,Romance,Romans
BEEF_WORD_BURGER_8,Beef,Wołowina
BUN_WORD_BURGER_8,Bun,Bułka
SAUCE_WORD_BURGER_8,Sauce,Sos
CHEESE_WORD_BURGER_8,Cheese,Ser
PAGE_WORD_BOOK_9,Page,Strona
PAPER_WORD_BOOK_9,Paper,Papier
COVER_WORD_BOOK_9,Cover,Okładka
ASIA_WORD_LANDMASS_10,Asia,Azja
AFRICA_WORD_LANDMASS_10,Africa,Afryka
EUROPE_WORD_LANDMASS_10,Europe,Europa
SODA_WORD_DRINKS_16,Soda,Napój gazowany
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Lemoniada
JUICE_WORD_DRINKS_16,Juice,Sok
PAWN_WORD_CHESS_17,Pawn,Pionek
ROOK_WORD_CHESS_17,Rook,Wieża
BISHOP_WORD_CHESS_17,Bishop,Goniec
QUEEN_WORD_CHESS_17,Queen,Hetman
SPRING_WORD_SEASONS_18,Spring,Wiosna
AUTUMN_WORD_SEASONS_18,Autumn,Jesień
WINTER_WORD_SEASONS_18,Winter,Zima
SUMMER_WORD_SEASONS_18,Summer,Lato
ROD_WORD_FISHING_20,Rod,Wędka
BOBBER_WORD_FISHING_20,Bobber,Spławik
BAIT_WORD_FISHING_20,Bait,Przynęta
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamajka
ICELAND_WORD_ISLANDS_21,Iceland,Islandia
SICILY_WORD_ISLANDS_21,Sicily,Sycylia
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaje
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Kreta
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Walc
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Komar
LADYBUG_WORD_INSECTS_25,Ladybug,Biedronka
MOTH_WORD_INSECTS_25,Moth,Ćma
WASP_WORD_INSECTS_25,Wasp,Osa
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Ważka
ANT_WORD_INSECTS_25,Ant,Mrówka
METAL_WORD_MATERIAL_27,Metal,Metal
GLASS_WORD_MATERIAL_27,Glass,Szkło
PLASTIC_WORD_MATERIAL_27,Plastic,Plastik
STONE_WORD_MATERIAL_27,Stone,Kamień
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Pas startowy
GATE_WORD_AIRPORT_29,Gate,Bramka
CREAM_WORD_DAIRY_30,Cream,Śmietana
BUTTER_WORD_DAIRY_30,Butter,Masło
YOGURT_WORD_DAIRY_30,Yogurt,Jogurt
GOLDFISH_WORD_FISH_31,Goldfish,Złota rybka
TUNA_WORD_FISH_31,Tuna,Tuńczyk
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sardynka
EEL_WORD_FISH_31,Eel,Węgorz
MACKEREL_WORD_FISH_31,Mackerel,Makrela
GROUPER_WORD_FISH_31,Grouper,Grouper
PERCH_WORD_FISH_31,Perch,Okoń
ITALY_WORD_MAP_32,Italy,Włochy
INDIA_WORD_MAP_32,India,Indie
AUSTRALIA_WORD_MAP_32,Australia,Australia
