id,basic_card_name_en,pt-BR
DOG_WORD_PETS_2,Dog,Cachorro
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Gato
PARROT_WORD_PETS_2,Parrot,Papagaio
HOT_DOG_WORD_FOOD_3,Hot dog,Cachorro-quente
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Hambúrguer
FRIES_WORD_FOOD_3,Fries,Batata frita
PEONY_WORD_FLOWERS_4,Peony,Peônia
LILY_WORD_FLOWERS_4,Lily,Lírio
ROSE_WORD_FLOWERS_4,Rose,Rosa
TULIP_WORD_FLOWERS_4,Tulip,Tulipa
WESTERN_WORD_CINEMA_6,Western,Faroeste
DRAMA_WORD_CINEMA_6,Drama,Drama
COMEDY_WORD_CINEMA_6,Comedy,Comédia
HORROR_WORD_CINEMA_6,Horror,Terror
POPCORN_WORD_CINEMA_6,Action,Ação
TICKET_WORD_CINEMA_6,Romance,Romance
BEEF_WORD_BURGER_8,Beef,Carne
BUN_WORD_BURGER_8,Bun,Pão
SAUCE_WORD_BURGER_8,Sauce,Molho
CHEESE_WORD_BURGER_8,Cheese,Queijo
PAGE_WORD_BOOK_9,Page,Página
PAPER_WORD_BOOK_9,Paper,Papel
COVER_WORD_BOOK_9,Cover,Capa
ASIA_WORD_LANDMASS_10,Asia,Ásia
AFRICA_WORD_LANDMASS_10,Africa,África
EUROPE_WORD_LANDMASS_10,Europe,Europa
SODA_WORD_DRINKS_16,Soda,Refrigerante
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Limonada
JUICE_WORD_DRINKS_16,Juice,Suco
PAWN_WORD_CHESS_17,Pawn,Peão
ROOK_WORD_CHESS_17,Rook,Torre
BISHOP_WORD_CHESS_17,Bishop,Bispo
QUEEN_WORD_CHESS_17,Queen,Rainha
SPRING_WORD_SEASONS_18,Spring,Primavera
AUTUMN_WORD_SEASONS_18,Autumn,Outono
WINTER_WORD_SEASONS_18,Winter,Inverno
SUMMER_WORD_SEASONS_18,Summer,Verão
ROD_WORD_FISHING_20,Rod,Vara
BOBBER_WORD_FISHING_20,Bobber,Boia
BAIT_WORD_FISHING_20,Bait,Isca
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaica
ICELAND_WORD_ISLANDS_21,Iceland,Islândia
SICILY_WORD_ISLANDS_21,Sicily,Sicília
HAWAII_WORD_ISLANDS_21,Hawaii,Havaí
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Creta
