id,basic_card_name_en,ru-RU
DOG_WORD_PETS_2,Dog,Собака
HAMSTER_WORD_PETS_2,Hamster,Хомяк
CAT_WORD_PETS_2,Cat,Кошка
PARROT_WORD_PETS_2,Parrot,Попугай
HOT_DOG_WORD_FOOD_3,Hot dog,Хот-дог
PIZZA_WORD_FOOD_3,Pizza,Пицца
BURGER_WORD_FOOD_3,Burger,Бургер
FRIES_WORD_FOOD_3,Fries,Картофель фри
PEONY_WORD_FLOWERS_4,Peony,Пион
LILY_WORD_FLOWERS_4,Lily,Лилия
ROSE_WORD_FLOWERS_4,Rose,Роза
TULIP_WORD_FLOWERS_4,Tulip,Тюльпан
WESTERN_WORD_CINEMA_6,Western,Вестерн
DRAMA_WORD_CINEMA_6,Drama,Драма
COMEDY_WORD_CINEMA_6,Comedy,Комедия
HORROR_WORD_CINEMA_6,Horror,Ужасы
POPCORN_WORD_CINEMA_6,Action,Боевик
TICKET_WORD_CINEMA_6,Romance,Романтика
BEEF_WORD_BURGER_8,Beef,Говядина
BUN_WORD_BURGER_8,Bun,Булочка
SAUCE_WORD_BURGER_8,Sauce,Соус
CHEESE_WORD_BURGER_8,Cheese,Сыр
PAGE_WORD_BOOK_9,Page,Страница
PAPER_WORD_BOOK_9,Paper,Бумага
COVER_WORD_BOOK_9,Cover,Обложка
ASIA_WORD_LANDMASS_10,Asia,Азия
AFRICA_WORD_LANDMASS_10,Africa,Африка
EUROPE_WORD_LANDMASS_10,Europe,Европа
SODA_WORD_DRINKS_16,Soda,Газировка
ESPRESSO_WORD_DRINKS_16,Espresso,Эспрессо
LEMONADE_WORD_DRINKS_16,Lemonade,Лимонад
JUICE_WORD_DRINKS_16,Juice,Сок
PAWN_WORD_CHESS_17,Pawn,Пешка
ROOK_WORD_CHESS_17,Rook,Ладья
BISHOP_WORD_CHESS_17,Bishop,Слон
QUEEN_WORD_CHESS_17,Queen,Ферзь
SPRING_WORD_SEASONS_18,Spring,Весна
AUTUMN_WORD_SEASONS_18,Autumn,Осень
WINTER_WORD_SEASONS_18,Winter,Зима
SUMMER_WORD_SEASONS_18,Summer,Лето
ROD_WORD_FISHING_20,Rod,Удочка
BOBBER_WORD_FISHING_20,Bobber,Поплавок
BAIT_WORD_FISHING_20,Bait,Наживка
JAMAICA_WORD_ISLANDS_21,Jamaica,Ямайка
ICELAND_WORD_ISLANDS_21,Iceland,Исландия
SICILY_WORD_ISLANDS_21,Sicily,Сицилия
HAWAII_WORD_ISLANDS_21,Hawaii,Гавайи
BALI_WORD_ISLANDS_21,Bali,Бали
IBIZA_WORD_ISLANDS_21,Ibiza,Ибица
CRETE_WORD_ISLANDS_21,Crete,Крит
BARBADOS_WORD_ISLANDS_21,Barbados,Барбадос
RUMBA_WORD_DANCES_24,Rumba,Румба
TANGO_WORD_DANCES_24,Tango,Танго
SALSA_WORD_DANCES_24,Salsa,Сальса
WALTZ_WORD_DANCES_24,Waltz,Вальс
SAMBA_WORD_DANCES_24,Samba,Самба
FLAMENCO_WORD_DANCES_24,Flamenco,Фламенко
MOSQUITO_WORD_INSECTS_25,Mosquito,Комар
LADYBUG_WORD_INSECTS_25,Ladybug,Божья коровка
MOTH_WORD_INSECTS_25,Moth,Моль
WASP_WORD_INSECTS_25,Wasp,Оса
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Стрекоза
ANT_WORD_INSECTS_25,Ant,Муравей
METAL_WORD_MATERIAL_27,Metal,Металл
GLASS_WORD_MATERIAL_27,Glass,Стекло
PLASTIC_WORD_MATERIAL_27,Plastic,Пластик
STONE_WORD_MATERIAL_27,Stone,Камень
TERMINAL_WORD_AIRPORT_29,Terminal,Терминал
RUNWAY_WORD_AIRPORT_29,Runway,Взлётная полоса
GATE_WORD_AIRPORT_29,Gate,Выход
CREAM_WORD_DAIRY_30,Cream,Сливки
BUTTER_WORD_DAIRY_30,Butter,Масло
YOGURT_WORD_DAIRY_30,Yogurt,Йогурт
GOLDFISH_WORD_FISH_31,Goldfish,Золотая рыбка
TUNA_WORD_FISH_31,Tuna,Тунец
MARLIN_WORD_FISH_31,Marlin,Марлин
SARDINE_WORD_FISH_31,Sardine,Сардина
EEL_WORD_FISH_31,Eel,Угорь
MACKEREL_WORD_FISH_31,Mackerel,Скумбрия
GROUPER_WORD_FISH_31,Grouper,Групер
PERCH_WORD_FISH_31,Perch,Окунь
ITALY_WORD_MAP_32,Italy,Италия
INDIA_WORD_MAP_32,India,Индия
AUSTRALIA_WORD_MAP_32,Australia,Австралия
FRANCE_WORD_MAP_32,France,Франция
USA_WORD_MAP_32,USA,США
UK_WORD_MAP_32,UK,Великобритания
CYPRUS_WORD_MAP_32,Cyprus,Кипр
JAPAN_WORD_MAP_32,Japan,Япония
ARMOR_WORD_KNIGHT_34,Armor,Доспехи
HELMET_WORD_KNIGHT_34,Helmet,Шлем
SHIELD_WORD_KNIGHT_34,Shield,Щит
WEAPON_WORD_KNIGHT_34,Weapon,Оружие
DESTRIER_WORD_KNIGHT_34,Destrier,Боевой конь
CHIVALRY_WORD_KNIGHT_34,Chivalry,Рыцарство
SHOOTER_WORD_GAMER_36,Shooter,Шутер
ARCADE_WORD_GAMER_36,Arcade,Аркада
STRATEGY_WORD_GAMER_36,Strategy,Стратегия
SCORE_WORD_GAMER_36,Score,Счёт
DRYER_WORD_DEVICE_38,Dryer,Сушилка
PRINTER_WORD_DEVICE_38,Printer,Принтер
FAX_WORD_DEVICE_38,Fax,Факс
HEATER_WORD_DEVICE_38,Heater,Обогреватель
MANSION_WORD_HOUSE_40,Mansion,Особняк
PALACE_WORD_HOUSE_40,Palace,Дворец
VILLA_WORD_HOUSE_40,Villa,Вилла
PILOT_WORD_JOBS_42,Pilot,Пилот
MAILMAN_WORD_JOBS_42,Mailman,Почтальон
DOCTOR_WORD_JOBS_42,Doctor,Врач
WELDER_WORD_JOBS_42,Welder,Сварщик
ENGINEER_WORD_JOBS_42,Engineer,Инженер
PLUMBER_WORD_JOBS_42,Plumber,Сантехник
ACTOR_WORD_JOBS_42,Actor,Актёр
NURSE_WORD_JOBS_42,Nurse,Медсестра
SANDALS_WORD_FOOTWEAR_46,Sandals,Сандалии
UGGS_WORD_FOOTWEAR_46,Uggs,Угги
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Тапочки
CLOGS_WORD_FOOTWEAR_46,Clogs,Сабо
LOAFERS_WORD_FOOTWEAR_46,Loafers,Лоферы
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Кроссовки
CAR_WORD_DRIVING_49,Car,Машина
ROAD_WORD_DRIVING_49,Road,Дорога
SIGN_WORD_DRIVING_49,Sign,Знак
TRAFFIC_WORD_DRIVING_49,Traffic,Трафик
VESPUCCI_WORD_EXPLORER_51,Vespucci,Веспуччи
MAGELLAN_WORD_EXPLORER_51,Magellan,Магеллан
COLUMBUS_WORD_EXPLORER_51,Columbus,Колумб
KICK_WORD_MOVEMENT_52,Kick,Удар
WALK_WORD_MOVEMENT_52,Walk,Ходьба
JUMP_WORD_MOVEMENT_52,Jump,Прыжок
SOLID_WORD_PHASE_57,Solid,Твёрдое
LIQUID_WORD_PHASE_57,Liquid,Жидкость
