id,basic_card_name_en,th-TH
DOG_WORD_PETS_2,Dog,สุนัข
HAMSTER_WORD_PETS_2,Hamster,แฮมสเตอร์
CAT_WORD_PETS_2,Cat,แมว
PARROT_WORD_PETS_2,Parrot,นกแก้ว
HOT_DOG_WORD_FOOD_3,Hot dog,ฮอทด็อก
PIZZA_WORD_FOOD_3,Pizza,พิซซ่า
BURGER_WORD_FOOD_3,Burger,เบอร์เกอร์
FRIES_WORD_FOOD_3,Fries,เฟรนช์ฟรายส์
PEONY_WORD_FLOWERS_4,Peony,โบตั๋น
LILY_WORD_FLOWERS_4,Lily,ลิลลี่
ROSE_WORD_FLOWERS_4,Rose,กุหลาบ
TULIP_WORD_FLOWERS_4,Tulip,ทิวลิป
WESTERN_WORD_CINEMA_6,Western,เวสเทิร์น
DRAMA_WORD_CINEMA_6,Drama,ดราม่า
COMEDY_WORD_CINEMA_6,Comedy,ตลก
HORROR_WORD_CINEMA_6,Horror,สยองขวัญ
POPCORN_WORD_CINEMA_6,Action,แอ็คชั่น
TICKET_WORD_CINEMA_6,Romance,โรแมนติก
BEEF_WORD_BURGER_8,Beef,เนื้อวัว
BUN_WORD_BURGER_8,Bun,ขนมปังกลม
SAUCE_WORD_BURGER_8,Sauce,ซอส
CHEESE_WORD_BURGER_8,Cheese,ชีส
PAGE_WORD_BOOK_9,Page,หน้า
PAPER_WORD_BOOK_9,Paper,กระดาษ
COVER_WORD_BOOK_9,Cover,ปก
ASIA_WORD_LANDMASS_10,Asia,เอเชีย
AFRICA_WORD_LANDMASS_10,Africa,แอฟริกา
EUROPE_WORD_LANDMASS_10,Europe,ยุโรป
SODA_WORD_DRINKS_16,Soda,โซดา
ESPRESSO_WORD_DRINKS_16,Espresso,เอสเพรสโซ
LEMONADE_WORD_DRINKS_16,Lemonade,น้ำมะนาว
JUICE_WORD_DRINKS_16,Juice,น้ำผลไม้
PAWN_WORD_CHESS_17,Pawn,เบี้ย
ROOK_WORD_CHESS_17,Rook,เรือ
BISHOP_WORD_CHESS_17,Bishop,โคน
QUEEN_WORD_CHESS_17,Queen,ควีน
SPRING_WORD_SEASONS_18,Spring,ฤดูใบไม้ผลิ
AUTUMN_WORD_SEASONS_18,Autumn,ฤดูใบไม้ร่วง
WINTER_WORD_SEASONS_18,Winter,ฤดูหนาว
SUMMER_WORD_SEASONS_18,Summer,ฤดูร้อน
ROD_WORD_FISHING_20,Rod,คันเบ็ด
BOBBER_WORD_FISHING_20,Bobber,ทุ่น
BAIT_WORD_FISHING_20,Bait,เหยื่อ
JAMAICA_WORD_ISLANDS_21,Jamaica,จาเมกา
ICELAND_WORD_ISLANDS_21,Iceland,ไอซ์แลนด์
SICILY_WORD_ISLANDS_21,Sicily,ซิซิลี
HAWAII_WORD_ISLANDS_21,Hawaii,ฮาวาย
BALI_WORD_ISLANDS_21,Bali,บาหลี
IBIZA_WORD_ISLANDS_21,Ibiza,อิบิซา
CRETE_WORD_ISLANDS_21,Crete,ครีต
BARBADOS_WORD_ISLANDS_21,Barbados,บาร์เบโดส
RUMBA_WORD_DANCES_24,Rumba,รุมบ้า
TANGO_WORD_DANCES_24,Tango,แทงโก้
SALSA_WORD_DANCES_24,Salsa,ซัลซ่า
WALTZ_WORD_DANCES_24,Waltz,วอลทซ์
SAMBA_WORD_DANCES_24,Samba,แซมบ้า
FLAMENCO_WORD_DANCES_24,Flamenco,ฟลาเมงโก
MOSQUITO_WORD_INSECTS_25,Mosquito,ยุง
LADYBUG_WORD_INSECTS_25,Ladybug,เต่าทอง
MOTH_WORD_INSECTS_25,Moth,ผีเสื้อกลางคืน
WASP_WORD_INSECTS_25,Wasp,ตัวต่อ
DRAGONFLY_WORD_INSECTS_25,Dragonfly,แมลงปอ
ANT_WORD_INSECTS_25,Ant,มด
METAL_WORD_MATERIAL_27,Metal,โลหะ
GLASS_WORD_MATERIAL_27,Glass,แก้ว
PLASTIC_WORD_MATERIAL_27,Plastic,พลาสติก
STONE_WORD_MATERIAL_27,Stone,หิน
TERMINAL_WORD_AIRPORT_29,Terminal,อาคารผู้โดยสาร
RUNWAY_WORD_AIRPORT_29,Runway,รันเวย์
GATE_WORD_AIRPORT_29,Gate,ประตูขึ้นเครื่อง
CREAM_WORD_DAIRY_30,Cream,ครีม
BUTTER_WORD_DAIRY_30,Butter,เนย
YOGURT_WORD_DAIRY_30,Yogurt,โยเกิร์ต
GOLDFISH_WORD_FISH_31,Goldfish,ปลาทอง
TUNA_WORD_FISH_31,Tuna,ทูน่า
MARLIN_WORD_FISH_31,Marlin,มาร์ลิน
SARDINE_WORD_FISH_31,Sardine,ซาร์ดีน
EEL_WORD_FISH_31,Eel,ปลาไหล
MACKEREL_WORD_FISH_31,Mackerel,ปลาแมคเคอเรล
GROUPER_WORD_FISH_31,Grouper,ปลาเก๋า
PERCH_WORD_FISH_31,Perch,ปลาเพิร์ช
ITALY_WORD_MAP_32,Italy,อิตาลี
INDIA_WORD_MAP_32,India,อินเดีย
AUSTRALIA_WORD_MAP_32,Australia,ออสเตรเลีย
FRANCE_WORD_MAP_32,France,ฝรั่งเศส
USA_WORD_MAP_32,USA,สหรัฐอเมริกา
UK_WORD_MAP_32,UK,สหราชอาณาจักร
CYPRUS_WORD_MAP_32,Cyprus,ไซปรัส
JAPAN_WORD_MAP_32,Japan,ญี่ปุ่น
ARMOR_WORD_KNIGHT_34,Armor,เกราะ
HELMET_WORD_KNIGHT_34,Helmet,หมวกเกราะ
SHIELD_WORD_KNIGHT_34,Shield,โล่
WEAPON_WORD_KNIGHT_34,Weapon,อาวุธ
DESTRIER_WORD_KNIGHT_34,Destrier,ม้าศึก
CHIVALRY_WORD_KNIGHT_34,Chivalry,อัศวินธรรม
SHOOTER_WORD_GAMER_36,Shooter,ชูตเตอร์
ARCADE_WORD_GAMER_36,Arcade,อาร์เคด
STRATEGY_WORD_GAMER_36,Strategy,กลยุทธ์
SCORE_WORD_GAMER_36,Score,คะแนน
DRYER_WORD_DEVICE_38,Dryer,เครื่องอบแห้ง
PRINTER_WORD_DEVICE_38,Printer,เครื่องพิมพ์
FAX_WORD_DEVICE_38,Fax,แฟกซ์
HEATER_WORD_DEVICE_38,Heater,เครื่องทำความร้อน
MANSION_WORD_HOUSE_40,Mansion,คฤหาสน์
PALACE_WORD_HOUSE_40,Palace,พระราชวัง
VILLA_WORD_HOUSE_40,Villa,วิลล่า
