id,basic_card_name_en,tr-TR
DOG_WORD_PETS_2,Dog,Köpek
HAMSTER_WORD_PETS_2,Hamster,Hamster
CAT_WORD_PETS_2,Cat,Kedi
PARROT_WORD_PETS_2,Parrot,Papağan
HOT_DOG_WORD_FOOD_3,Hot dog,Sosisli
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Patates kızartması
PEONY_WORD_FLOWERS_4,Peony,Şakayık
LILY_WORD_FLOWERS_4,Lily,Zambak
ROSE_WORD_FLOWERS_4,Rose,Gül
TULIP_WORD_FLOWERS_4,Tulip,Lale
WESTERN_WORD_CINEMA_6,Western,Western
DRAMA_WORD_CINEMA_6,Drama,Dram
COMEDY_WORD_CINEMA_6,Comedy,Komedi
HORROR_WORD_CINEMA_6,Horror,Korku
POPCORN_WORD_CINEMA_6,Action,Aksiyon
TICKET_WORD_CINEMA_6,Romance,Romantik
BEEF_WORD_BURGER_8,Beef,Sığır eti
BUN_WORD_BURGER_8,Bun,Ekmek
SAUCE_WORD_BURGER_8,Sauce,Sos
CHEESE_WORD_BURGER_8,Cheese,Peynir
PAGE_WORD_BOOK_9,Page,Sayfa
PAPER_WORD_BOOK_9,Paper,Kâğıt
COVER_WORD_BOOK_9,Cover,Kapak
ASIA_WORD_LANDMASS_10,Asia,Asya
AFRICA_WORD_LANDMASS_10,Africa,Afrika
EUROPE_WORD_LANDMASS_10,Europe,Avrupa
SODA_WORD_DRINKS_16,Soda,Soda
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Limonata
JUICE_WORD_DRINKS_16,Juice,Meyve suyu
PAWN_WORD_CHESS_17,Pawn,Piyon
ROOK_WORD_CHESS_17,Rook,Kale
BISHOP_WORD_CHESS_17,Bishop,Fil
QUEEN_WORD_CHESS_17,Queen,Vezir
SPRING_WORD_SEASONS_18,Spring,İlkbahar
AUTUMN_WORD_SEASONS_18,Autumn,Sonbahar
WINTER_WORD_SEASONS_18,Winter,Kış
SUMMER_WORD_SEASONS_18,Summer,Yaz
ROD_WORD_FISHING_20,Rod,Olta
BOBBER_WORD_FISHING_20,Bobber,Şamandıra
BAIT_WORD_FISHING_20,Bait,Yem
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaika
ICELAND_WORD_ISLANDS_21,Iceland,İzlanda
SICILY_WORD_ISLANDS_21,Sicily,Sicilya
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaii
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,İbiza
CRETE_WORD_ISLANDS_21,Crete,Girit
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Vals
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenko
MOSQUITO_WORD_INSECTS_25,Mosquito,Sivrisinek
LADYBUG_WORD_INSECTS_25,Ladybug,Uğur böceği
MOTH_WORD_INSECTS_25,Moth,Güve
WASP_WORD_INSECTS_25,Wasp,Yaban arısı
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Yusufçuk
ANT_WORD_INSECTS_25,Ant,Karınca
METAL_WORD_MATERIAL_27,Metal,Metal
GLASS_WORD_MATERIAL_27,Glass,Cam
PLASTIC_WORD_MATERIAL_27,Plastic,Plastik
STONE_WORD_MATERIAL_27,Stone,Taş
TERMINAL_WORD_AIRPORT_29,Terminal,Terminal
RUNWAY_WORD_AIRPORT_29,Runway,Pist
GATE_WORD_AIRPORT_29,Gate,Kapı
CREAM_WORD_DAIRY_30,Cream,Krema
BUTTER_WORD_DAIRY_30,Butter,Tereyağı
YOGURT_WORD_DAIRY_30,Yogurt,Yoğurt
GOLDFISH_WORD_FISH_31,Goldfish,Japon balığı
TUNA_WORD_FISH_31,Tuna,Ton balığı
MARLIN_WORD_FISH_31,Marlin,Marlin
SARDINE_WORD_FISH_31,Sardine,Sardalya
EEL_WORD_FISH_31,Eel,Yılan balığı
MACKEREL_WORD_FISH_31,Mackerel,Uskumru
GROUPER_WORD_FISH_31,Grouper,Orfoz
PERCH_WORD_FISH_31,Perch,Levrek
ITALY_WORD_MAP_32,Italy,İtalya
INDIA_WORD_MAP_32,India,Hindistan
AUSTRALIA_WORD_MAP_32,Australia,Avustralya
FRANCE_WORD_MAP_32,France,Fransa
USA_WORD_MAP_32,USA,ABD
UK_WORD_MAP_32,UK,İngiltere
CYPRUS_WORD_MAP_32,Cyprus,Kıbrıs
JAPAN_WORD_MAP_32,Japan,Japonya
ARMOR_WORD_KNIGHT_34,Armor,Zırh
HELMET_WORD_KNIGHT_34,Helmet,Miğfer
SHIELD_WORD_KNIGHT_34,Shield,Kalkan
WEAPON_WORD_KNIGHT_34,Weapon,Silah
DESTRIER_WORD_KNIGHT_34,Destrier,Savaş atı
CHIVALRY_WORD_KNIGHT_34,Chivalry,Şövalyelik
SHOOTER_WORD_GAMER_36,Shooter,Nişancı
ARCADE_WORD_GAMER_36,Arcade,Atari
STRATEGY_WORD_GAMER_36,Strategy,Strateji
SCORE_WORD_GAMER_36,Score,Skor
DRYER_WORD_DEVICE_38,Dryer,Kurutma makinesi
PRINTER_WORD_DEVICE_38,Printer,Yazıcı
FAX_WORD_DEVICE_38,Fax,Faks
HEATER_WORD_DEVICE_38,Heater,Isıtıcı
MANSION_WORD_HOUSE_40,Mansion,Konak
PALACE_WORD_HOUSE_40,Palace,Saray
VILLA_WORD_HOUSE_40,Villa,Villa
PILOT_WORD_JOBS_42,Pilot,Pilot
MAILMAN_WORD_JOBS_42,Mailman,Postacı
DOCTOR_WORD_JOBS_42,Doctor,Doktor
WELDER_WORD_JOBS_42,Welder,Kaynakçı
ENGINEER_WORD_JOBS_42,Engineer,Mühendis
PLUMBER_WORD_JOBS_42,Plumber,Tesisatçı
ACTOR_WORD_JOBS_42,Actor,Aktör
NURSE_WORD_JOBS_42,Nurse,Hemşire
SANDALS_WORD_FOOTWEAR_46,Sandals,Sandaletler
UGGS_WORD_FOOTWEAR_46,Uggs,Ugg botlar
SLIPPERS_WORD_FOOTWEAR_46,Slippers,Terlikler
CLOGS_WORD_FOOTWEAR_46,Clogs,Takunya
LOAFERS_WORD_FOOTWEAR_46,Loafers,Mokasen
SNEAKERS_WORD_FOOTWEAR_46,Sneakers,Spor ayakkabı
CAR_WORD_DRIVING_49,Car,Araba
ROAD_WORD_DRIVING_49,Road,Yol
SIGN_WORD_DRIVING_49,Sign,Tabela
TRAFFIC_WORD_DRIVING_49,Traffic,Trafik
VESPUCCI_WORD_EXPLORER_51,Vespucci,Vespucci
MAGELLAN_WORD_EXPLORER_51,Magellan,Macellan
COLUMBUS_WORD_EXPLORER_51,Columbus,Kolomb
KICK_WORD_MOVEMENT_52,Kick,Tekme
WALK_WORD_MOVEMENT_52,Walk,Yürüme
JUMP_WORD_MOVEMENT_52,Jump,Zıplama
SOLID_WORD_PHASE_57,Solid,Katı
LIQUID_WORD_PHASE_57,Liquid,Sıvı
GAS_WORD_PHASE_57,Gas,Gaz
COMFY_WORD_COZY_58,Comfy,Rahat
WARM_WORD_COZY_58,Warm,Sıcak
SNUG_WORD_COZY_58,Snug,Konforlu
ARIES_WORD_ZODIAC_59,Aries,Koç
TAURUS_WORD_ZODIAC_59,Taurus,Boğa
GEMINI_WORD_ZODIAC_59,Gemini,İkizler
LEO_WORD_ZODIAC_59,Leo,Aslan
VIRGO_WORD_ZODIAC_59,Virgo,Başak
LIBRA_WORD_ZODIAC_59,Libra,Terazi
SCORPIO_WORD_ZODIAC_59,Scorpio,Akrep
PISCES_WORD_ZODIAC_59,Pisces,Balık
FRIGATE_WORD_SHIP_62,Frigate,Firkateyn
CARAVEL_WORD_SHIP_62,Caravel,Karavel
GALLEON_WORD_SHIP_62,Galleon,Kalyon
BRIG_WORD_SHIP_62,Brig,Brik
TANKER_WORD_SHIP_62,Tanker,Tanker
TUGBOAT_WORD_SHIP_62,Tugboat,Römorkör
STAMP_WORD_MAILMAN_63,Stamp,Pul
ENVELOPE_WORD_MAILMAN_63,Envelope,Zarf
LETTER_WORD_MAILMAN_63,Letter,Mektup
MAIL_WORD_MAILMAN_63,Mail,Posta
SEAL_WORD_MAILMAN_63,Seal,Mühür
INK_WORD_MAILMAN_63,Ink,Mürekkep
BUST_WORD_SCULPT_64,Bust,Büst
FIGURINE_WORD_SCULPT_64,Figurine,Figürin
STATUE_WORD_SCULPT_64,Statue,Heykel
MONUMENT_WORD_SCULPT_64,Monument,Anıt
ENGLISH_WORD_LANGUAGE_70,English,İngilizce
ITALIAN_WORD_LANGUAGE_70,Italian,İtalyanca
HINDI_WORD_LANGUAGE_70,Hindi,Hintçe
JAPANESE_WORD_LANGUAGE_70,Japanese,Japonca
HEBREW_WORD_LANGUAGE_70,Hebrew,İbranice
DANISH_WORD_LANGUAGE_70,Danish,Danca
LATIN_WORD_LANGUAGE_70,Latin,Latince
POLISH_WORD_LANGUAGE_70,Polish,Lehçe
LENS_WORD_CAMERA_73,Lens,Lens
FLASH_WORD_CAMERA_73,Flash,Flaş
ZOOM_WORD_CAMERA_73,Zoom,Yakınlaştırma
FILTER_WORD_CAMERA_73,Filter,Filtre
SHUTTER_WORD_CAMERA_73,Shutter,Deklanşör
EXPOSURE_WORD_CAMERA_73,Exposure,Pozlama
MIST_WORD_FOG_76,Mist,Sis
HAZE_WORD_FOG_76,Haze,Pus
SMOG_WORD_FOG_76,Smog,Duman
VAPOR_WORD_FOG_76,Vapor,Buhar
SLEET_WORD_SNOW_77,Sleet,Karla karışık yağmur
FLAKE_WORD_SNOW_77,Flake,Kar tanesi
ICEBERG_WORD_SNOW_77,Frost,Kırağı
HEDGEHOG_WORD_SPIKY_78,Hedgehog,Kirpi
CACTUS_WORD_SPIKY_78,Cactus,Kaktüs
DURIAN_WORD_SPIKY_78,Durian,Durian
DOVE_WORD_BIRDS_80,Dove,Güvercin
EAGLE_WORD_BIRDS_80,Eagle,Kartal
SWAN_WORD_BIRDS_80,Swan,Kuğu
OWL_WORD_BIRDS_80,Owl,Baykuş
HERON_WORD_BIRDS_80,Heron,Balıkçıl
ROBIN_WORD_BIRDS_80,Robin,Kızılgerdan
FINCH_WORD_BIRDS_80,Finch,İspinoz
VULTURE_WORD_BIRDS_80,Vulture,Akbaba
SARTRE_WORD_MINDS_82,Sartre,Sartre
DANTE_WORD_MINDS_82,Dante,Dante
PLATO_WORD_MINDS_82,Plato,Platon
SOCRATES_WORD_MINDS_82,Socrates,Sokrates
GALILEO_WORD_MINDS_82,Galileo,Galileo
