id,basic_card_name_en,vi-VN
DOG_WORD_PETS_2,Dog,Chó
HAMSTER_WORD_PETS_2,Hamster,Chuột hamster
CAT_WORD_PETS_2,Cat,Mèo
PARROT_WORD_PETS_2,Parrot,Vẹt
HOT_DOG_WORD_FOOD_3,Hot dog,Xúc xích
PIZZA_WORD_FOOD_3,Pizza,Pizza
BURGER_WORD_FOOD_3,Burger,Burger
FRIES_WORD_FOOD_3,Fries,Khoai chiên
PEONY_WORD_FLOWERS_4,Peony,Mẫu đơn
LILY_WORD_FLOWERS_4,Lily,Hoa lily
ROSE_WORD_FLOWERS_4,Rose,Hoa hồng
TULIP_WORD_FLOWERS_4,Tulip,Hoa tulip
WESTERN_WORD_CINEMA_6,Western,Cao bồi
DRAMA_WORD_CINEMA_6,Drama,Chính kịch
COMEDY_WORD_CINEMA_6,Comedy,Hài kịch
HORROR_WORD_CINEMA_6,Horror,Kinh dị
POPCORN_WORD_CINEMA_6,Action,Hành động
TICKET_WORD_CINEMA_6,Romance,Lãng mạn
BEEF_WORD_BURGER_8,Beef,Thịt bò
BUN_WORD_BURGER_8,Bun,Bánh mì tròn
SAUCE_WORD_BURGER_8,Sauce,Sốt
CHEESE_WORD_BURGER_8,Cheese,Phô mai
PAGE_WORD_BOOK_9,Page,Trang
PAPER_WORD_BOOK_9,Paper,Giấy
COVER_WORD_BOOK_9,Cover,Bìa
ASIA_WORD_LANDMASS_10,Asia,Châu Á
AFRICA_WORD_LANDMASS_10,Africa,Châu Phi
EUROPE_WORD_LANDMASS_10,Europe,Châu Âu
SODA_WORD_DRINKS_16,Soda,Nước ngọt
ESPRESSO_WORD_DRINKS_16,Espresso,Espresso
LEMONADE_WORD_DRINKS_16,Lemonade,Nước chanh
JUICE_WORD_DRINKS_16,Juice,Nước ép
PAWN_WORD_CHESS_17,Pawn,Tốt
ROOK_WORD_CHESS_17,Rook,Xe
BISHOP_WORD_CHESS_17,Bishop,Tượng
QUEEN_WORD_CHESS_17,Queen,Hậu
SPRING_WORD_SEASONS_18,Spring,Mùa xuân
AUTUMN_WORD_SEASONS_18,Autumn,Mùa thu
WINTER_WORD_SEASONS_18,Winter,Mùa đông
SUMMER_WORD_SEASONS_18,Summer,Mùa hè
ROD_WORD_FISHING_20,Rod,Cần câu
BOBBER_WORD_FISHING_20,Bobber,Phao câu
BAIT_WORD_FISHING_20,Bait,Mồi câu
JAMAICA_WORD_ISLANDS_21,Jamaica,Jamaica
ICELAND_WORD_ISLANDS_21,Iceland,Iceland
SICILY_WORD_ISLANDS_21,Sicily,Sicily
HAWAII_WORD_ISLANDS_21,Hawaii,Hawaii
BALI_WORD_ISLANDS_21,Bali,Bali
IBIZA_WORD_ISLANDS_21,Ibiza,Ibiza
CRETE_WORD_ISLANDS_21,Crete,Crete
BARBADOS_WORD_ISLANDS_21,Barbados,Barbados
RUMBA_WORD_DANCES_24,Rumba,Rumba
TANGO_WORD_DANCES_24,Tango,Tango
SALSA_WORD_DANCES_24,Salsa,Salsa
WALTZ_WORD_DANCES_24,Waltz,Valse
SAMBA_WORD_DANCES_24,Samba,Samba
FLAMENCO_WORD_DANCES_24,Flamenco,Flamenco
MOSQUITO_WORD_INSECTS_25,Mosquito,Muỗi
LADYBUG_WORD_INSECTS_25,Ladybug,Bọ rùa
MOTH_WORD_INSECTS_25,Moth,Bướm đêm
WASP_WORD_INSECTS_25,Wasp,Ong bắp cày
DRAGONFLY_WORD_INSECTS_25,Dragonfly,Chuồn chuồn
ANT_WORD_INSECTS_25,Ant,Kiến
METAL_WORD_MATERIAL_27,Metal,Kim loại
GLASS_WORD_MATERIAL_27,Glass,Thủy tinh
PLASTIC_WORD_MATERIAL_27,Plastic,Nhựa
STONE_WORD_MATERIAL_27,Stone,Đá
TERMINAL_WORD_AIRPORT_29,Terminal,Nhà ga
RUNWAY_WORD_AIRPORT_29,Runway,Đường băng
GATE_WORD_AIRPORT_29,Gate,Cổng
CREAM_WORD_DAIRY_30,Cream,Kem
BUTTER_WORD_DAIRY_30,Butter,Bơ
YOGURT_WORD_DAIRY_30,Yogurt,Sữa chua
GOLDFISH_WORD_FISH_31,Goldfish,Cá vàng
TUNA_WORD_FISH_31,Tuna,Cá ngừ
MARLIN_WORD_FISH_31,Marlin,Cá kiếm
SARDINE_WORD_FISH_31,Sardine,Cá mòi
EEL_WORD_FISH_31,Eel,Cá chình
MACKEREL_WORD_FISH_31,Mackerel,Cá thu
GROUPER_WORD_FISH_31,Grouper,Cá mú
PERCH_WORD_FISH_31,Perch,Cá rô
ITALY_WORD_MAP_32,Italy,Ý
INDIA_WORD_MAP_32,India,Ấn Độ
AUSTRALIA_WORD_MAP_32,Australia,Úc
FRANCE_WORD_MAP_32,France,Pháp
USA_WORD_MAP_32,USA,Mỹ
UK_WORD_MAP_32,UK,Anh
CYPRUS_WORD_MAP_32,Cyprus,Síp
JAPAN_WORD_MAP_32,Japan,Nhật Bản
ARMOR_WORD_KNIGHT_34,Armor,Giáp
HELMET_WORD_KNIGHT_34,Helmet,Mũ giáp
SHIELD_WORD_KNIGHT_34,Shield,Khiên
WEAPON_WORD_KNIGHT_34,Weapon,Vũ khí
DESTRIER_WORD_KNIGHT_34,Destrier,Chiến mã
CHIVALRY_WORD_KNIGHT_34,Chivalry,Hiệp sĩ đạo
SHOOTER_WORD_GAMER_36,Shooter,Bắn súng
ARCADE_WORD_GAMER_36,Arcade,Arcade
STRATEGY_WORD_GAMER_36,Strategy,Chiến thuật
SCORE_WORD_GAMER_36,Score,Điểm số
DRYER_WORD_DEVICE_38,Dryer,Máy sấy
PRINTER_WORD_DEVICE_38,Printer,Máy in
FAX_WORD_DEVICE_38,Fax,Fax
HEATER_WORD_DEVICE_38,Heater,Máy sưởi
MANSION_WORD_HOUSE_40,Mansion,Dinh thự
PALACE_WORD_HOUSE_40,Palace,Cung điện
VILLA_WORD_HOUSE_40,Villa,Biệt thự
PILOT_WORD_JOBS_42,Pilot,Phi công
