id,category_name_en,de-DE
WORD_PETS_2,Pets,Haustiere
WORD_FOOD_3,Food,Essen
WORD_FLOWERS_4,Flowers,Blumen
WORD_CINEMA_6,Cinema,Kino
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Buch
WORD_LANDMASS_10,Landmass,Landmasse
WORD_DRINKS_16,Drinks,Getränke
WORD_CHESS_17,Chess,Schach
WORD_SEASONS_18,Seasons,Jahreszeiten
WORD_FISHING_20,Fishing,Angeln
WORD_ISLANDS_21,Islands,Inseln
WORD_DANCES_24,Dances,Tänze
WORD_INSECTS_25,Insects,Insekten
WORD_MATERIAL_27,Material,Material
WORD_AIRPORT_29,Airport,Flughafen
WORD_DAIRY_30,Dairy,Milchprodukte
WORD_FISH_31,Fish,Fisch
WORD_MAP_32,Nations,Nationen
WORD_KNIGHT_34,Knight,Ritter
WORD_GAMER_36,Gamer,Gamer
WORD_DEVICE_38,Device,Gerät
WORD_HOUSE_40,House,Haus
WORD_JOBS_42,Jobs,Berufe
WORD_FOOTWEAR_46,Footwear,Schuhe
WORD_DRIVING_49,Driving,Fahren
WORD_EXPLORER_51,Explorer,Entdecker
WORD_MOVEMENT_52,Movement,Bewegung
WORD_PHASE_57,Phase,Phase
WORD_COZY_58,Cozy,Gemütlich
WORD_ZODIAC_59,Zodiac,Tierkreis
WORD_SHIP_62,Ship,Schiff
WORD_MAILMAN_63,Mailman,Briefträger
WORD_SCULPT_64,Sculpt,Skulptur
WORD_LANGUAGE_70,Language,Sprache
WORD_CAMERA_73,Camera,Kamera
WORD_FOG_76,Fog,Nebel
WORD_SNOW_77,Snow,Schnee
WORD_SPIKY_78,Spiky,Stachelig
WORD_BIRDS_80,Birds,Vögel
WORD_MINDS_82,Minds,Denker
WORD_HOCKEY_86,Hockey,Hockey
WORD_DATE_87,Date,Rendezvous
WORD_SAW_88,Saw,Säge
WORD_ACTOR_89,Actor,Schauspieler
WORD_PLANET_90,Planet,Planet
WORD_LESSONS_94,Lessons,Schulfächer
WORD_PILLS_99,Pills,Pillen
WORD_RAINY_100,Rainy,Regnerisch
WORD_BREADS_102,Breads,Brote
WORD_BRAIN_106,Brain,Gehirn
WORD_ELEMENTS_107,Elements,Elemente
WORD_CHEESE_108,Cheese,Käse
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Muskeln
WORD_EGYPT_114,Egypt,Ägypten
WORD_BERRY_116,Berry,Beere
WORD_CAPITALS_119,Capitals,Hauptstädte
WORD_MAKEUP_120,Makeup,Make-up
WORD_COMBAT_121,Combat,Kampf
WORD_GUITAR_122,Guitar,Gitarre
WORD_BALLET_125,Ballet,Ballett
WORD_UNITE_126,Unite,Vereinen
WORD_LUXURY_133,Luxury,Luxus
WORD_BIOMES_135,Biomes,Biome
WORD_SPICY_136,Spicy,Scharf
WORD_PLANE_139,Plane,Flugzeug
WORD_RODENTS_141,Rodents,Nagetiere
WORD_ENERGY_145,Energy,Energie
WORD_ARTICLES_147,Articles,Artikel
WORD_DISASTER_148,Disaster,Katastrophe
WORD_PRIMATES_149,Primates,Primaten
WORD_CODING_150,Coding,Programmieren
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Wasserfall
WORD_TOYS_154,Toys,Spielzeug
WORD_ARMY_156,Army,Armee
WORD_MEDITATE_160,Meditate,Meditieren
WORD_FAME_161,Fame,Ruhm
WORD_LINGUIST_162,Linguist,Linguist
WORD_HOLIDAY_163,Holiday,Feiertage
WORD_GYM_164,Gym,Fitnessstudio
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Hunde
WORD_STUDIES_169,Studies,Universitäten
WORD_CITRUS_173,Citrus,Zitrusfrüchte
WORD_AIRCRAFT_174,Aircraft,Flugzeuge
WORD_GRAPE_177,Grape,Traube
WORD_MUSHROOM_178,Mushroom,Pilz
WORD_ARCTIC_180,Arctic,Arktis
WORD_RACING_182,Racing,Rennen
WORD_HELP_183,Help,Hilfe
WORD_GEMSTONE_186,Gemstone,Edelstein
WORD_PATTERN_188,Celestial,Sternbilder
WORD_FUELS_190,Fuels,Kraftstoffe
WORD_ELECT_193,Elect,Wählen
WORD_CROWN_194,Crown,Königstitel
WORD_LEADER_196,Leader,Präsidenten
WORD_HOT_DOG_201,Hot dog,Hot Dog
WORD_CIPHER_208,Cipher,Chiffre
WORD_SYMPHONY_210,Symphony,Symphonie
WORD_ARTWORKS_211,Artworks,Kunstwerke
WORD_AUCTION_215,Auction,Auktion
WORD_BEANS_219,Beans,Kaffeebohnen
WORD_CAMPING_221,Camping,Camping
WORD_PLAY_223,Music,Musik
WORD_FINANCE_227,Finance,Finanzen
WORD_MEDIEVAL_228,Medieval,Mittelalter
WORD_OPTICS_229,Optics,Optik
WORD_NAVIGATE_230,Navigate,Navigation
WORD_TODDLER_231,Toddler,Kleinkind
WORD_FAMILIES_234,Families,Tierfamilien
WORD_STARS_236,Stars,Sterne
WORD_AI_238,AI,KI
WORD_DIVISION_242,Division,Verwaltungsbezirke
WORD_SPEAK_244,Speak,Sprechen
WORD_HAIR_245,Hair,Haare
WORD_INJURIES_249,Injuries,Verletzungen
WORD_FLU_251,Flu,Grippe
WORD_MINERALS_253,Minerals,Mineralien
WORD_RADIATE_257,Radiate,Strahlen
WORD_HORMONES_259,Hormones,Hormone
WORD_EYE_260,Eye,Auge
WORD_SHOVEL_261,Shovel,Schaufel
WORD_ALLOY_264,Alloy,Legierung
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Metall
WORD_ARTIFACT_276,Artifact,Artefakt
WORD_DEFENSE_277,Defense,Verteidigung
WORD_PARTICLE_281,Particle,Partikel
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Wirbellose
WORD_LEGENDS_291,Legends,Legenden
WORD_HELLO_295,Hello,Hallo
WORD_PHD_296,PhD,Doktortitel
WORD_OK_SIGN_301,OK,Zustimmung
WORD_JUSTICE_310,Justice,Gerechtigkeit
WORD_PRISONER_312,Prisoner,Gefangener
WORD_SPACE_314,Space,Weltraum
WORD_WESTERN_317,Western,Western
WORD_LOCK_321,Lock,Schloss
WORD_LEGS_322,Legs,Beine
WORD_PYRAMIDS_330,Pyramids,Ägyptische Götter
WORD_SHAFT_331,Shaft,Bergbau
WORD_FARMING_333,Farming,Landwirtschaft
WORD_SLIDING_339,Sliding,Gleiten
WORD_PAINTING_340,Painting,Malerei
WORD_RICE_342,Rice,Reis
WORD_HEART_344,Love,Liebe
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Roboter
WORD_GREECE_359,Greece,Griechische Buchstaben
WORD_DYNAMICS_360,Dynamics,Dynamik
WORD_LAKES_365,Lakes,Seen
WORD_NUCLEAR_366,Nuclear,Nuklear
WORD_ITALY_376,Italy,Italien
WORD_POINTING_379,Pointing,Demonstrativpronomen
WORD_SKIN_380,Skin,Haut
WORD_BUILD_384,Build,Gebäude
WORD_POLICIES_394,Politics,Politik
WORD_STRENGTH_401,Strength,Stärke
WORD_MESSAGE_407,Message,Nachricht
WORD_VIEWS_410,Views,Philosophie
WORD_ORGANS_412,Organs,Organe
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Stimmen
WORD_POETRY_440,Poetry,Poesie
WORD_MEALS_444,Meals,Mahlzeiten
WORD_ALCHEMY_445,Alchemy,Alchemie
WORD_PAGANISM_469,Paganism,Heidentum
WORD_PRESENT_470,Present,Gegenwart
WORD_SECRET_471,Secret,Geheimnis
WORD_EQUIDAE_475,Equidae,Pferdeartige
WORD_LEATHER_480,Leather,Leder
WORD_CASTLE_485,Castle,Burg
WORD_DISPLAY_486,Display,Anzeige
WORD_CULTURES_487,Cultures,Kulturen
WORD_WARRIORS_491,Warriors,Krieger
WORD_LIE_492,Lie,Lüge
WORD_VIOLIN_508,Orchestra,Orchester
WORD_ANAGRAM_511,Anagram,Anagramm
WORD_DRUM_518,Drum,Trommel
WORD_WREATH_544,Winning,Sieg
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Netzwerk
WORD_CUSTOMS_592,Customs,Zoll
WORD_MORTGAGE_595,Mortgage,Hypothek
WORD_CONCRETE_601,Concrete,Beton
WORD_MEMES_620,Memes,Memes
WORD_ALKANES_641,Alkanes,Alkane
WORD_EVALUATE_651,Evaluate,Bewerten
WORD_QUEST_680,Quest,Quest
WORD_BEARDS_681,Beards,Bärte
WORD_YINYANG_721,Yinyang,Yin-Yang
WORD_FOODIE_726,Foodie,Feinschmecker
WORD_OPERA_760,Opera,Oper
WORD_HARBOR_764,Harbor,Hafen
WORD_STREET_768,Street,Straße
WORD_CHIMERA_795,Chimera,Chimäre
WORD_CARRIAGE_800,Carriage,Kutsche
WORD_GAITS_810,Gaits,Gangarten
WORD_EARTH_831,Earth,Erde
WORD_VIOLINS_845,Violins,Violinen
WORD_GRAMMAR_861,Grammar,Grammatik
WORD_COASTAL_882,Coastal,Küstennah
WORD_WHEEL_890,Wheel,Rad
WORD_INDUSTRY_921,Industry,Industrie
WORD_PREFIX_922,Prefix,Präfix
WORD_BREEDS_940,Breeds,Katzenrassen
WORD_LANDMARK_948,Landmark,Sehenswürdigkeit
WORD_RIVERS_959,Rivers,Flüsse
WORD_COAST_969,Coast,Küste
WORD_SKINCARE_984,Skincare,Hautpflege
WORD_DYNASTY_991,Dynasty,Dynastie
WORD_PRIEST_1019,Priest,Priester
WORD_MAPS_1022,Maps,Karten
WORD_SINGING_1054,Singing,Singen
WORD_GENETICS_1060,Genetics,Genetik
WORD_SCREEN_1030,Screen,Bildschirm
WORD_ALARM_1031,Alarm,Alarm
WORD_LEAVES_1055,Leaves,Blätter
WORD_DISHWARE_829,Dishware,Geschirr
WORD_POND_830,Pond,Teich
PIC_CHESS_1,Chess,Schach
PIC_SPORTS_2,Sports,Sport
PIC_FURNITURE_3,Furniture,Möbel
PIC_DECK_4,Deck,Kartendeck
PIC_ZODIAC_5,Zodiac,Tierkreis
PIC_TOOLBOX_6,Toolbox,Werkzeugkasten
PIC_GARMENTS_7,Garments,Kleidung
PIC_VEGGIE_8,Veggie,Gemüse
PIC_FRUITS_9,Fruits,Früchte
PIC_CHAIR_10,Chair,Stuhl
PIC_HATS_11,Hats,Hüte
PIC_PLAY_12,Music,Musik
PIC_CLEANING_13,Cleaning,Reinigung
PIC_SHOES_14,Shoes,Schuhe
PIC_MAP_15,Map,Länder
PIC_BIRD_16,Bird,Vogel
PIC_SEAFOOD_17,Seafood,Meeresfrüchte
PIC_DOGS_18,Dogs,Hunde
PIC_EATS_19,Eats,Fast Food
PIC_BUILD_20,Build,Gebäude
PIC_FOLKLORE_21,Folklore,Folklore
PIC_DRUPES_22,Drupes,Steinfrüchte
PIC_PICNIC_23,Picnic,Picknick
PIC_PASTRY_24,Pastry,Gebäck
PIC_WIND_25,Wind,Blasinstrumente
PIC_MALL_26,Mall,Einkaufszentrum
PIC_STRINGS_27,Strings,Saiten
PIC_JEWELRY_28,Jewelry,Schmuck
PIC_FLOWERS_29,Flowers,Blumen
PIC_REPTILES_30,Reptiles,Reptilien
PIC_GEMSTONE_31,Gemstone,Edelstein
PIC_INSECTS_32,Insects,Insekten
PIC_RODENTS_33,Rodents,Nagetiere
PIC_WESTERN_34,Western,Western
PIC_PIRATE_35,Pirate,Pirat
PIC_BEACH_36,Beach,Strand
PIC_EGYPT_37,Egypt,Ägypten
PIC_SPACE_38,Space,Weltraum
PIC_SEA_FISH_39,Sea fish,Meeresfisch
PIC_BIRTHDAY_40,Birthday,Geburtstag
PIC_CHARGER_41,Charger,Ladegerät
PIC_TRANSPORT_42,Transport,Transport
PIC_WHISKERS_43,Whiskers,Schnurrhaare
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Getränke
PIC_SHAPES_46,Shapes,Formen
PIC_LUXURY_47,Luxury,Luxus
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Babys
PIC_SAILOR_50,Sailor,Matrose
PIC_CANDY_51,Candy,Süßigkeiten
PIC_KEYS_52,Keys,Schlüssel
PIC_LAWN_53,Lawn,Rasen
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampir
PIC_LANDMARK_56,Landmark,Sehenswürdigkeit
PIC_DESERT_57,Desert,Wüste
PIC_TOYS_58,Toys,Spielzeug
PIC_PURPLE_59,Purple,Lila
PIC_YELLOW_60,Yellow,Gelb
PIC_RAIN_61,Rain,Regen
PIC_GYM_62,Gym,Fitnessstudio
PIC_PAIRS_63,Pairs,Paare
PIC_CAMPING_64,Camping,Camping
PIC_XMAS_65,Xmas,Weihnachten
PIC_MAIL_66,Mail,Post
PIC_CHEF_67,Chef,Küchenchef
PIC_SCREEN_68,Screen,Bildschirm
PIC_TOOLS_69,Tools,Werkzeuge
PIC_SUPPLIES_70,Supplies,Vorräte
PIC_UTENSILS_71,Utensils,Utensilien
PIC_ARTS_72,Arts,Kunst
PIC_SURVIVAL_73,Survival,Überleben
PIC_BAKING_74,Baking,Backen
PIC_MEDICAL_75,Medical,Medizin
PIC_ECO_ITEMS_76,Eco-items,Öko-Artikel
PIC_DECOR_77,Decor,Dekor
PIC_AQUATICS_78,Aquatics,Wassersport
PIC_ICONS_79,Icons,Symbole
PIC_HALLOWEEN_80,Halloween,Halloween
