id,category_name_en,en-US
WORD_PETS_2,Pets,Pets
WORD_FOOD_3,Food,Food
WORD_FLOWERS_4,Flowers,Flowers
WORD_CINEMA_6,Cinema,Cinema
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Book
WORD_LANDMASS_10,Landmass,Landmass
WORD_DRINKS_16,Drinks,Drinks
WORD_CHESS_17,Chess,Chess
WORD_SEASONS_18,Seasons,Seasons
WORD_FISHING_20,Fishing,Fishing
WORD_ISLANDS_21,Islands,Islands
WORD_DANCES_24,Dances,Dances
WORD_INSECTS_25,Insects,Insects
WORD_MATERIAL_27,Material,Material
WORD_AIRPORT_29,Airport,Airport
WORD_DAIRY_30,Dairy,Dairy
WORD_FISH_31,Fish,Fish
WORD_MAP_32,Nations,Nations
WORD_KNIGHT_34,Knight,Knight
WORD_GAMER_36,Gamer,Gamer
WORD_DEVICE_38,Device,Device
WORD_HOUSE_40,House,House
WORD_JOBS_42,Jobs,Jobs
WORD_FOOTWEAR_46,Footwear,Footwear
WORD_DRIVING_49,Driving,Driving
WORD_EXPLORER_51,Explorer,Explorer
WORD_MOVEMENT_52,Movement,Movement
WORD_PHASE_57,Phase,Phase
WORD_COZY_58,Cozy,Cozy
WORD_ZODIAC_59,Zodiac,Zodiac
WORD_SHIP_62,Ship,Ship
WORD_MAILMAN_63,Mailman,Mailman
WORD_SCULPT_64,Sculpt,Sculpt
WORD_LANGUAGE_70,Language,Language
WORD_CAMERA_73,Camera,Camera
WORD_FOG_76,Fog,Fog
WORD_SNOW_77,Snow,Snow
WORD_SPIKY_78,Spiky,Spiky
WORD_BIRDS_80,Birds,Birds
WORD_MINDS_82,Minds,Minds
WORD_HOCKEY_86,Hockey,Hockey
WORD_DATE_87,Date,Date
WORD_SAW_88,Saw,Saw
WORD_ACTOR_89,Actor,Actor
WORD_PLANET_90,Planet,Planet
WORD_LESSONS_94,Lessons,Lessons
WORD_PILLS_99,Pills,Pills
WORD_RAINY_100,Rainy,Rainy
WORD_BREADS_102,Breads,Breads
WORD_BRAIN_106,Brain,Brain
WORD_ELEMENTS_107,Elements,Elements
WORD_CHEESE_108,Cheese,Cheese
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Muscles
WORD_EGYPT_114,Egypt,Egypt
WORD_BERRY_116,Berry,Berry
WORD_CAPITALS_119,Capitals,Capitals
WORD_MAKEUP_120,Makeup,Makeup
WORD_COMBAT_121,Combat,Combat
WORD_GUITAR_122,Guitar,Guitar
WORD_BALLET_125,Ballet,Ballet
WORD_UNITE_126,Unite,Unite
WORD_LUXURY_133,Luxury,Luxury
WORD_BIOMES_135,Biomes,Biomes
WORD_SPICY_136,Spicy,Spicy
WORD_PLANE_139,Plane,Plane
WORD_RODENTS_141,Rodents,Rodents
WORD_ENERGY_145,Energy,Energy
WORD_ARTICLES_147,Articles,Articles
WORD_DISASTER_148,Disaster,Disaster
WORD_PRIMATES_149,Primates,Primates
WORD_CODING_150,Coding,Coding
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Waterfall
WORD_TOYS_154,Toys,Toys
WORD_ARMY_156,Army,Army
WORD_MEDITATE_160,Meditate,Meditate
WORD_FAME_161,Fame,Fame
WORD_LINGUIST_162,Linguist,Linguist
WORD_HOLIDAY_163,Holiday,Holiday
WORD_GYM_164,Gym,Gym
WORD_WILLIAM_165,William,William
WORD_CANINES_168,Canines,Canines
WORD_STUDIES_169,Studies,Studies
WORD_CITRUS_173,Citrus,Citrus
WORD_AIRCRAFT_174,Aircraft,Aircraft
WORD_GRAPE_177,Grape,Grape
WORD_MUSHROOM_178,Mushroom,Mushroom
WORD_ARCTIC_180,Arctic,Arctic
WORD_RACING_182,Racing,Racing
WORD_HELP_183,Help,Help
WORD_GEMSTONE_186,Gemstone,Gemstone
