id,category_name_en,es-ES
WORD_PETS_2,Pets,Mascotas
WORD_FOOD_3,Food,Comida
WORD_FLOWERS_4,Flowers,Flores
WORD_CINEMA_6,Cinema,Cine
WORD_BURGER_8,Burger,Hamburguesa
WORD_BOOK_9,Book,Libro
WORD_LANDMASS_10,Landmass,Continente
WORD_DRINKS_16,Drinks,Bebidas
WORD_CHESS_17,Chess,Ajedrez
WORD_SEASONS_18,Seasons,Estaciones
WORD_FISHING_20,Fishing,Pesca
WORD_ISLANDS_21,Islands,Islas
WORD_DANCES_24,Dances,Bailes
WORD_INSECTS_25,Insects,Insectos
WORD_MATERIAL_27,Material,Material
WORD_AIRPORT_29,Airport,Aeropuerto
WORD_DAIRY_30,Dairy,Lacteos
WORD_FISH_31,Fish,Peces
WORD_MAP_32,Nations,Naciones
WORD_KNIGHT_34,Knight,Caballero
WORD_GAMER_36,Gamer,Jugador
WORD_DEVICE_38,Device,Dispositivo
WORD_HOUSE_40,House,Casa
WORD_JOBS_42,Jobs,Empleos
WORD_FOOTWEAR_46,Footwear,Calzado
WORD_DRIVING_49,Driving,Conduccion
WORD_EXPLORER_51,Explorer,Explorador
WORD_MOVEMENT_52,Movement,Movimiento
WORD_PHASE_57,Phase,Fase
WORD_COZY_58,Cozy,Acogedor
WORD_ZODIAC_59,Zodiac,Zodiaco
WORD_SHIP_62,Ship,Barco
WORD_MAILMAN_63,Mailman,Cartero
WORD_SCULPT_64,Sculpt,Esculpir
WORD_LANGUAGE_70,Language,Idioma
WORD_CAMERA_73,Camera,Camara
WORD_FOG_76,Fog,Niebla
WORD_SNOW_77,Snow,Nieve
WORD_SPIKY_78,Spiky,Espinoso
WORD_BIRDS_80,Birds,Pajaros
WORD_MINDS_82,Minds,Pensadores
WORD_HOCKEY_86,Hockey,Hockey
WORD_DATE_87,Date,Cita
WORD_SAW_88,Saw,Sierra
WORD_ACTOR_89,Actor,Actor
WORD_PLANET_90,Planet,Planeta
WORD_LESSONS_94,Lessons,Lecciones
WORD_PILLS_99,Pills,Pastillas
