id,category_name_en,fr-FR
WORD_PETS_2,Pets,Animaux
WORD_FOOD_3,Food,Nourriture
WORD_FLOWERS_4,Flowers,Fleurs
WORD_CINEMA_6,Cinema,Cinéma
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Livre
WORD_LANDMASS_10,Landmass,Masse terrestre
WORD_DRINKS_16,Drinks,Boissons
WORD_CHESS_17,Chess,Échecs
WORD_SEASONS_18,Seasons,Saisons
WORD_FISHING_20,Fishing,Pêche
WORD_ISLANDS_21,Islands,Îles
WORD_DANCES_24,Dances,Danses
WORD_INSECTS_25,Insects,Insectes
WORD_MATERIAL_27,Material,Matériau
WORD_AIRPORT_29,Airport,Aéroport
WORD_DAIRY_30,Dairy,Produits laitiers
WORD_FISH_31,Fish,Poisson
WORD_MAP_32,Nations,Nations
WORD_KNIGHT_34,Knight,Chevalier
WORD_GAMER_36,Gamer,Joueur
WORD_DEVICE_38,Device,Appareil
WORD_HOUSE_40,House,Maison
WORD_JOBS_42,Jobs,Métiers
WORD_FOOTWEAR_46,Footwear,Chaussures
WORD_DRIVING_49,Driving,Conduite
WORD_EXPLORER_51,Explorer,Explorateur
WORD_MOVEMENT_52,Movement,Mouvement
WORD_PHASE_57,Phase,Phase
WORD_COZY_58,Cozy,Cosy
WORD_ZODIAC_59,Zodiac,Zodiaque
WORD_SHIP_62,Ship,Navire
WORD_MAILMAN_63,Mailman,Facteur
WORD_SCULPT_64,Sculpt,Sculpture
WORD_LANGUAGE_70,Language,Langue
WORD_CAMERA_73,Camera,Caméra
WORD_FOG_76,Fog,Brouillard
WORD_SNOW_77,Snow,Neige
WORD_SPIKY_78,Spiky,Épineux
WORD_BIRDS_80,Birds,Oiseaux
WORD_MINDS_82,Minds,Penseurs
WORD_HOCKEY_86,Hockey,Hockey
WORD_DATE_87,Date,Rendez-vous
WORD_SAW_88,Saw,Scie
WORD_ACTOR_89,Actor,Acteur
WORD_PLANET_90,Planet,Planète
WORD_LESSONS_94,Lessons,Leçons
WORD_PILLS_99,Pills,Pilules
WORD_RAINY_100,Rainy,Pluvieux
WORD_BREADS_102,Breads,Pains
WORD_BRAIN_106,Brain,Cerveau
WORD_ELEMENTS_107,Elements,Éléments
WORD_CHEESE_108,Cheese,Fromage
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Muscles
WORD_EGYPT_114,Egypt,Égypte
WORD_BERRY_116,Berry,Baie
WORD_CAPITALS_119,Capitals,Capitales
WORD_MAKEUP_120,Makeup,Maquillage
WORD_COMBAT_121,Combat,Combat
WORD_GUITAR_122,Guitar,Guitare
WORD_BALLET_125,Ballet,Ballet
WORD_UNITE_126,Unite,Unir
WORD_LUXURY_133,Luxury,Luxe
WORD_BIOMES_135,Biomes,Biomes
WORD_SPICY_136,Spicy,Épicé
WORD_PLANE_139,Plane,Avion
WORD_RODENTS_141,Rodents,Rongeurs
WORD_ENERGY_145,Energy,Énergie
WORD_ARTICLES_147,Articles,Articles
WORD_DISASTER_148,Disaster,Catastrophe
WORD_PRIMATES_149,Primates,Primates
WORD_CODING_150,Coding,Programmation
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Cascade
WORD_TOYS_154,Toys,Jouets
WORD_ARMY_156,Army,Armée
WORD_MEDITATE_160,Meditate,Méditer
WORD_FAME_161,Fame,Célébrité
WORD_LINGUIST_162,Linguist,Linguiste
WORD_HOLIDAY_163,Holiday,Jours fériés
WORD_GYM_164,Gym,Gym
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Canidés
WORD_STUDIES_169,Studies,Universités
WORD_CITRUS_173,Citrus,Agrumes
WORD_AIRCRAFT_174,Aircraft,Aéronef
WORD_GRAPE_177,Grape,Raisin
WORD_MUSHROOM_178,Mushroom,Champignon
WORD_ARCTIC_180,Arctic,Arctique
WORD_RACING_182,Racing,Course
WORD_HELP_183,Help,Aide
WORD_GEMSTONE_186,Gemstone,Gemme
WORD_PATTERN_188,Celestial,Céleste
WORD_FUELS_190,Fuels,Carburants
WORD_ELECT_193,Elect,Élire
WORD_CROWN_194,Crown,Titres royaux
WORD_LEADER_196,Leader,Présidents
WORD_HOT_DOG_201,Hot dog,Hot-dog
WORD_CIPHER_208,Cipher,Chiffre
WORD_SYMPHONY_210,Symphony,Symphonie
WORD_ARTWORKS_211,Artworks,Œuvres d'art
WORD_AUCTION_215,Auction,Enchères
WORD_BEANS_219,Beans,Grains de café
WORD_CAMPING_221,Camping,Camping
WORD_PLAY_223,Music,Musique
WORD_FINANCE_227,Finance,Finance
WORD_MEDIEVAL_228,Medieval,Médiéval
WORD_OPTICS_229,Optics,Optique
WORD_NAVIGATE_230,Navigate,Naviguer
WORD_TODDLER_231,Toddler,Tout-petit
WORD_FAMILIES_234,Families,Familles d'animaux
WORD_STARS_236,Stars,Étoiles
WORD_AI_238,AI,IA
WORD_DIVISION_242,Division,Division
WORD_SPEAK_244,Speak,Parler
WORD_HAIR_245,Hair,Cheveux
WORD_INJURIES_249,Injuries,Blessures
WORD_FLU_251,Flu,Grippe
WORD_MINERALS_253,Minerals,Minéraux
WORD_RADIATE_257,Radiate,Rayonner
WORD_HORMONES_259,Hormones,Hormones
WORD_EYE_260,Eye,Œil
WORD_SHOVEL_261,Shovel,Pelle
WORD_ALLOY_264,Alloy,Alliage
WORD_FESTIVAL_270,Festival,Festival
WORD_METAL_272,Metal,Métal
WORD_ARTIFACT_276,Artifact,Artefact
WORD_DEFENSE_277,Defense,Défense
WORD_PARTICLE_281,Particle,Particule
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Sans os
WORD_LEGENDS_291,Legends,Légendes
WORD_HELLO_295,Hello,Bonjour
WORD_PHD_296,PhD,Doctorat
WORD_OK_SIGN_301,OK,Accord
WORD_JUSTICE_310,Justice,Justice
WORD_PRISONER_312,Prisoner,Prisonnier
WORD_SPACE_314,Space,Espace
WORD_WESTERN_317,Western,Western
WORD_LOCK_321,Lock,Serrure
WORD_LEGS_322,Legs,Jambes
WORD_PYRAMIDS_330,Pyramids,Dieux égyptiens
WORD_SHAFT_331,Shaft,Mine
WORD_FARMING_333,Farming,Agriculture
WORD_SLIDING_339,Sliding,Glissant
WORD_PAINTING_340,Painting,Peinture
WORD_RICE_342,Rice,Riz
WORD_HEART_344,Love,Amour
WORD_HIPPIE_349,Hippie,Hippie
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Grèce
WORD_DYNAMICS_360,Dynamics,Dynamique
WORD_LAKES_365,Lakes,Lacs
WORD_NUCLEAR_366,Nuclear,Nucléaire
WORD_ITALY_376,Italy,Italie
WORD_POINTING_379,Pointing,Démonstratifs
WORD_SKIN_380,Skin,Peau
WORD_BUILD_384,Build,Construction
WORD_POLICIES_394,Politics,Politique
WORD_STRENGTH_401,Strength,Force
WORD_MESSAGE_407,Message,Message
WORD_VIEWS_410,Views,Philosophie
WORD_ORGANS_412,Organs,Organes
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Voix
WORD_POETRY_440,Poetry,Poésie
WORD_MEALS_444,Meals,Repas
WORD_ALCHEMY_445,Alchemy,Alchimie
WORD_PAGANISM_469,Paganism,Paganisme
WORD_PRESENT_470,Present,Présent
WORD_SECRET_471,Secret,Secret
WORD_EQUIDAE_475,Equidae,Équidés
WORD_LEATHER_480,Leather,Cuir
WORD_CASTLE_485,Castle,Château
WORD_DISPLAY_486,Display,Affichage
WORD_CULTURES_487,Cultures,Cultures
WORD_WARRIORS_491,Warriors,Guerriers
WORD_LIE_492,Lie,Mensonge
WORD_VIOLIN_508,Orchestra,Orchestre
WORD_ANAGRAM_511,Anagram,Anagramme
WORD_DRUM_518,Drum,Tambour
WORD_WREATH_544,Winning,Victoire
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Réseau
WORD_CUSTOMS_592,Customs,Douanes
WORD_MORTGAGE_595,Mortgage,Hypothèque
WORD_CONCRETE_601,Concrete,Béton
WORD_MEMES_620,Memes,Mèmes
WORD_ALKANES_641,Alkanes,Alcanes
WORD_EVALUATE_651,Evaluate,Évaluer
WORD_QUEST_680,Quest,Quête
WORD_BEARDS_681,Beards,Barbes
WORD_YINYANG_721,Yinyang,Yin-yang
WORD_FOODIE_726,Foodie,Gastronome
WORD_OPERA_760,Opera,Opéra
WORD_HARBOR_764,Harbor,Port
WORD_STREET_768,Street,Rue
