id,category_name_en,id-ID
WORD_PETS_2,Pets,Hewan Peliharaan
WORD_FOOD_3,Food,Makanan
WORD_FLOWERS_4,Flowers,Bunga
WORD_CINEMA_6,Cinema,Bioskop
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Buku
WORD_LANDMASS_10,Landmass,Daratan
WORD_DRINKS_16,Drinks,Minuman
WORD_CHESS_17,Chess,Catur
WORD_SEASONS_18,Seasons,Musim
WORD_FISHING_20,Fishing,Memancing
WORD_ISLANDS_21,Islands,Pulau
WORD_DANCES_24,Dances,Tarian
WORD_INSECTS_25,Insects,Serangga
WORD_MATERIAL_27,Material,Material
WORD_AIRPORT_29,Airport,Bandara
WORD_DAIRY_30,Dairy,Susu
WORD_FISH_31,Fish,Ikan
WORD_MAP_32,Nations,Negara
WORD_KNIGHT_34,Knight,Ksatria
WORD_GAMER_36,Gamer,Gamer
WORD_DEVICE_38,Device,Perangkat
WORD_HOUSE_40,House,Rumah
WORD_JOBS_42,Jobs,Pekerjaan
WORD_FOOTWEAR_46,Footwear,Alas Kaki
WORD_DRIVING_49,Driving,Mengemudi
WORD_EXPLORER_51,Explorer,Penjelajah
WORD_MOVEMENT_52,Movement,Gerakan
WORD_PHASE_57,Phase,Fase
WORD_COZY_58,Cozy,Nyaman
WORD_ZODIAC_59,Zodiac,Zodiak
WORD_SHIP_62,Ship,Kapal
WORD_MAILMAN_63,Mailman,Tukang Pos
WORD_SCULPT_64,Sculpt,Patung
WORD_LANGUAGE_70,Language,Bahasa
WORD_CAMERA_73,Camera,Kamera
WORD_FOG_76,Fog,Kabut
WORD_SNOW_77,Snow,Salju
WORD_SPIKY_78,Spiky,Berduri
WORD_BIRDS_80,Birds,Burung
WORD_MINDS_82,Minds,Pemikir
WORD_HOCKEY_86,Hockey,Hoki
WORD_DATE_87,Date,Kencan
WORD_SAW_88,Saw,Gergaji
WORD_ACTOR_89,Actor,Aktor
WORD_PLANET_90,Planet,Planet
WORD_LESSONS_94,Lessons,Pelajaran
WORD_PILLS_99,Pills,Pil
WORD_RAINY_100,Rainy,Hujan
WORD_BREADS_102,Breads,Roti
WORD_BRAIN_106,Brain,Otak
WORD_ELEMENTS_107,Elements,Unsur
WORD_CHEESE_108,Cheese,Keju
WORD_FITNESS_110,Fitness,Kebugaran
WORD_MUSCLES_112,Muscles,Otot
WORD_EGYPT_114,Egypt,Mesir
WORD_BERRY_116,Berry,Beri
WORD_CAPITALS_119,Capitals,Ibu Kota
WORD_MAKEUP_120,Makeup,Riasan
WORD_COMBAT_121,Combat,Pertempuran
WORD_GUITAR_122,Guitar,Gitar
WORD_BALLET_125,Ballet,Balet
WORD_UNITE_126,Unite,Bersatu
WORD_LUXURY_133,Luxury,Mewah
WORD_BIOMES_135,Biomes,Bioma
WORD_SPICY_136,Spicy,Pedas
WORD_PLANE_139,Plane,Pesawat
WORD_RODENTS_141,Rodents,Hewan Pengerat
WORD_ENERGY_145,Energy,Energi
WORD_ARTICLES_147,Articles,Artikel
WORD_DISASTER_148,Disaster,Bencana
WORD_PRIMATES_149,Primates,Primata
WORD_CODING_150,Coding,Pemrograman
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Air Terjun
WORD_TOYS_154,Toys,Mainan
WORD_ARMY_156,Army,Tentara
WORD_MEDITATE_160,Meditate,Meditasi
WORD_FAME_161,Fame,Ketenaran
WORD_LINGUIST_162,Linguist,Linguistik
WORD_HOLIDAY_163,Holiday,Liburan
WORD_GYM_164,Gym,Gym
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Anjing
WORD_STUDIES_169,Studies,Universitas
WORD_CITRUS_173,Citrus,Jeruk
WORD_AIRCRAFT_174,Aircraft,Pesawat
WORD_GRAPE_177,Grape,Anggur
WORD_MUSHROOM_178,Mushroom,Jamur
WORD_ARCTIC_180,Arctic,Arktik
WORD_RACING_182,Racing,Balap
WORD_HELP_183,Help,Bantuan
WORD_GEMSTONE_186,Gemstone,Batu Mulia
WORD_PATTERN_188,Celestial,Benda Langit
WORD_FUELS_190,Fuels,Bahan Bakar
WORD_ELECT_193,Elect,Pemilu
WORD_CROWN_194,Crown,Gelar Kerajaan
WORD_LEADER_196,Leader,Presiden
