id,category_name_en,it-IT
WORD_PETS_2,Pets,Animali domestici
WORD_FOOD_3,Food,Cibo
WORD_FLOWERS_4,Flowers,Fiori
WORD_CINEMA_6,Cinema,Cinema
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Libro
WORD_LANDMASS_10,Landmass,Massa terrestre
WORD_DRINKS_16,Drinks,Bevande
WORD_CHESS_17,Chess,Scacchi
WORD_SEASONS_18,Seasons,Stagioni
WORD_FISHING_20,Fishing,Pesca
WORD_ISLANDS_21,Islands,Isole
WORD_DANCES_24,Dances,Danze
WORD_INSECTS_25,Insects,Insetti
WORD_MATERIAL_27,Material,Materiale
WORD_AIRPORT_29,Airport,Aeroporto
WORD_DAIRY_30,Dairy,Latticini
WORD_FISH_31,Fish,Pesce
WORD_MAP_32,Nations,Nazioni
WORD_KNIGHT_34,Knight,Cavaliere
WORD_GAMER_36,Gamer,Giocatore
WORD_DEVICE_38,Device,Dispositivo
WORD_HOUSE_40,House,Casa
WORD_JOBS_42,Jobs,Lavori
WORD_FOOTWEAR_46,Footwear,Calzature
WORD_DRIVING_49,Driving,Guida
WORD_EXPLORER_51,Explorer,Esploratore
WORD_MOVEMENT_52,Movement,Movimento
WORD_PHASE_57,Phase,Fase
WORD_COZY_58,Cozy,Accogliente
WORD_ZODIAC_59,Zodiac,Zodiaco
WORD_SHIP_62,Ship,Nave
WORD_MAILMAN_63,Mailman,Postino
WORD_SCULPT_64,Sculpt,Scultura
WORD_LANGUAGE_70,Language,Lingua
WORD_CAMERA_73,Camera,Fotocamera
WORD_FOG_76,Fog,Nebbia
WORD_SNOW_77,Snow,Neve
WORD_SPIKY_78,Spiky,Appuntito
WORD_BIRDS_80,Birds,Uccelli
WORD_MINDS_82,Minds,Pensatori
WORD_HOCKEY_86,Hockey,Hockey
WORD_DATE_87,Date,Appuntamento
WORD_SAW_88,Saw,Sega
WORD_ACTOR_89,Actor,Attore
WORD_PLANET_90,Planet,Pianeta
