id,category_name_en,ja-JP
WORD_PETS_2,Pets,ペット
WORD_FOOD_3,Food,食べ物
WORD_FLOWERS_4,Flowers,花
WORD_CINEMA_6,Cinema,映画
WORD_BURGER_8,Burger,バーガー
WORD_BOOK_9,Book,本
WORD_LANDMASS_10,Landmass,大陸
WORD_DRINKS_16,Drinks,飲み物
WORD_CHESS_17,Chess,チェス
WORD_SEASONS_18,Seasons,季節
WORD_FISHING_20,Fishing,釣り
WORD_ISLANDS_21,Islands,島
WORD_DANCES_24,Dances,ダンス
WORD_INSECTS_25,Insects,昆虫
WORD_MATERIAL_27,Material,素材
WORD_AIRPORT_29,Airport,空港
WORD_DAIRY_30,Dairy,乳製品
WORD_FISH_31,Fish,魚
WORD_MAP_32,Nations,国
WORD_KNIGHT_34,Knight,騎士
WORD_GAMER_36,Gamer,ゲーマー
WORD_DEVICE_38,Device,デバイス
WORD_HOUSE_40,House,豪邸
WORD_JOBS_42,Jobs,仕事
WORD_FOOTWEAR_46,Footwear,履物
WORD_DRIVING_49,Driving,運転
WORD_EXPLORER_51,Explorer,探検家
WORD_MOVEMENT_52,Movement,動き
WORD_PHASE_57,Phase,段階
WORD_COZY_58,Cozy,居心地
WORD_ZODIAC_59,Zodiac,星座
WORD_SHIP_62,Ship,船
WORD_MAILMAN_63,Mailman,郵便屋
WORD_SCULPT_64,Sculpt,彫刻
WORD_LANGUAGE_70,Language,言語
WORD_CAMERA_73,Camera,カメラ
WORD_FOG_76,Fog,霧
WORD_SNOW_77,Snow,雪
WORD_SPIKY_78,Spiky,トゲトゲ
WORD_BIRDS_80,Birds,鳥
WORD_MINDS_82,Minds,思想家
WORD_HOCKEY_86,Hockey,ホッケー
WORD_DATE_87,Date,デート
WORD_SAW_88,Saw,ノコギリ
WORD_ACTOR_89,Actor,俳優
WORD_PLANET_90,Planet,惑星
WORD_LESSONS_94,Lessons,レッスン
WORD_PILLS_99,Pills,薬
WORD_RAINY_100,Rainy,雨天
WORD_BREADS_102,Breads,パン
WORD_BRAIN_106,Brain,脳
WORD_ELEMENTS_107,Elements,元素
WORD_CHEESE_108,Cheese,チーズ
WORD_FITNESS_110,Fitness,フィットネス
WORD_MUSCLES_112,Muscles,筋肉
WORD_EGYPT_114,Egypt,エジプト
WORD_BERRY_116,Berry,ベリー
WORD_CAPITALS_119,Capitals,首都
WORD_MAKEUP_120,Makeup,メイク
WORD_COMBAT_121,Combat,戦闘
WORD_GUITAR_122,Guitar,ギター
WORD_BALLET_125,Ballet,バレエ
WORD_UNITE_126,Unite,団結
WORD_LUXURY_133,Luxury,高級
WORD_BIOMES_135,Biomes,バイオーム
WORD_SPICY_136,Spicy,辛い
WORD_PLANE_139,Plane,飛行機
WORD_RODENTS_141,Rodents,げっ歯類
WORD_ENERGY_145,Energy,エネルギー
WORD_ARTICLES_147,Articles,記事
WORD_DISASTER_148,Disaster,災害
WORD_PRIMATES_149,Primates,霊長類
WORD_CODING_150,Coding,コーディング
WORD_RAP_151,Rap,ラップ
WORD_WATER_152,Waterfall,滝
WORD_TOYS_154,Toys,おもちゃ
WORD_ARMY_156,Army,軍階級
WORD_MEDITATE_160,Meditate,瞑想
WORD_FAME_161,Fame,名声
WORD_LINGUIST_162,Linguist,言語学者
WORD_HOLIDAY_163,Holiday,休日
WORD_GYM_164,Gym,ジム
WORD_WILLIAM_165,William,シェイクスピア
WORD_CANINES_168,Canines,犬科
WORD_STUDIES_169,Studies,名門大学
WORD_CITRUS_173,Citrus,柑橘類
WORD_AIRCRAFT_174,Aircraft,航空機
WORD_GRAPE_177,Grape,ワイン用ブドウ
WORD_MUSHROOM_178,Mushroom,キノコ
WORD_ARCTIC_180,Arctic,北極
WORD_RACING_182,Racing,レース
WORD_HELP_183,Help,助け
WORD_GEMSTONE_186,Gemstone,宝石
WORD_PATTERN_188,Celestial,天体
WORD_FUELS_190,Fuels,燃料
WORD_ELECT_193,Elect,選挙
WORD_CROWN_194,Crown,王室称号
WORD_LEADER_196,Leader,米国大統領
WORD_HOT_DOG_201,Hot dog,ホットドッグ
WORD_CIPHER_208,Cipher,暗号
WORD_SYMPHONY_210,Symphony,交響曲
WORD_ARTWORKS_211,Artworks,芸術作品
WORD_AUCTION_215,Auction,オークション
WORD_BEANS_219,Beans,コーヒー豆
WORD_CAMPING_221,Camping,キャンプ
WORD_PLAY_223,Music,音楽
WORD_FINANCE_227,Finance,金融
WORD_MEDIEVAL_228,Medieval,中世
WORD_OPTICS_229,Optics,光学
WORD_NAVIGATE_230,Navigate,ナビゲート
WORD_TODDLER_231,Toddler,幼児
WORD_FAMILIES_234,Families,動物の科
WORD_STARS_236,Stars,星
WORD_AI_238,AI,AI
WORD_DIVISION_242,Division,行政区画
WORD_SPEAK_244,Speak,話す
WORD_HAIR_245,Hair,髪
WORD_INJURIES_249,Injuries,怪我
WORD_FLU_251,Flu,インフルエンザ
WORD_MINERALS_253,Minerals,鉱物
WORD_RADIATE_257,Radiate,放射
WORD_HORMONES_259,Hormones,ホルモン
WORD_EYE_260,Eye,目
WORD_SHOVEL_261,Shovel,シャベル
WORD_ALLOY_264,Alloy,合金
WORD_FESTIVAL_270,Festival,祭り
WORD_METAL_272,Metal,レアアース
WORD_ARTIFACT_276,Artifact,遺物
WORD_DEFENSE_277,Defense,防衛
WORD_PARTICLE_281,Particle,粒子
WORD_NEW_YORK_287,New York,ニューヨーク
WORD_NO_BONES_289,No bones,無脊椎動物
WORD_LEGENDS_291,Legends,伝説
WORD_HELLO_295,Hello,こんにちは
WORD_PHD_296,PhD,博士
WORD_OK_SIGN_301,OK,同意の言葉
WORD_JUSTICE_310,Justice,正義
WORD_PRISONER_312,Prisoner,囚人
WORD_SPACE_314,Space,宇宙
WORD_WESTERN_317,Western,西部劇
WORD_LOCK_321,Lock,錠前
WORD_LEGS_322,Legs,脚
WORD_PYRAMIDS_330,Pyramids,エジプトの神々
WORD_SHAFT_331,Shaft,鉱山
WORD_FARMING_333,Farming,農業
WORD_SLIDING_339,Sliding,スライドスポーツ
WORD_PAINTING_340,Painting,絵画
WORD_RICE_342,Rice,米
WORD_HEART_344,Love,愛
WORD_HIPPIE_349,Hippie,ヒッピー
WORD_ROBOT_354,Robot,ロボット
WORD_GREECE_359,Greece,ギリシャ文字
WORD_DYNAMICS_360,Dynamics,力学
WORD_LAKES_365,Lakes,湖
WORD_NUCLEAR_366,Nuclear,原子粒子
WORD_ITALY_376,Italy,イタリアの都市
WORD_POINTING_379,Pointing,指示語
WORD_SKIN_380,Skin,肌
WORD_BUILD_384,Build,公共建築
WORD_POLICIES_394,Politics,政治
WORD_STRENGTH_401,Strength,力
WORD_MESSAGE_407,Message,メッセージ
