id,category_name_en,ko-KR
WORD_PETS_2,Pets,반려동물
WORD_FOOD_3,Food,음식
WORD_FLOWERS_4,Flowers,꽃
WORD_CINEMA_6,Cinema,영화
WORD_BURGER_8,Burger,버거
WORD_BOOK_9,Book,책
WORD_LANDMASS_10,Landmass,대륙
WORD_DRINKS_16,Drinks,음료
WORD_CHESS_17,Chess,체스
WORD_SEASONS_18,Seasons,계절
WORD_FISHING_20,Fishing,낚시
WORD_ISLANDS_21,Islands,섬
WORD_DANCES_24,Dances,춤
WORD_INSECTS_25,Insects,곤충
WORD_MATERIAL_27,Material,재료
WORD_AIRPORT_29,Airport,공항
WORD_DAIRY_30,Dairy,유제품
WORD_FISH_31,Fish,물고기
WORD_MAP_32,Nations,국가
WORD_KNIGHT_34,Knight,기사
WORD_GAMER_36,Gamer,게이머
WORD_DEVICE_38,Device,기기
WORD_HOUSE_40,House,대저택
WORD_JOBS_42,Jobs,직업
WORD_FOOTWEAR_46,Footwear,신발류
WORD_DRIVING_49,Driving,운전
WORD_EXPLORER_51,Explorer,탐험가
WORD_MOVEMENT_52,Movement,움직임
WORD_PHASE_57,Phase,단계
WORD_COZY_58,Cozy,아늑함
WORD_ZODIAC_59,Zodiac,별자리
WORD_SHIP_62,Ship,배
WORD_MAILMAN_63,Mailman,우편배달부
WORD_SCULPT_64,Sculpt,조각
WORD_LANGUAGE_70,Language,언어
WORD_CAMERA_73,Camera,카메라
WORD_FOG_76,Fog,안개
WORD_SNOW_77,Snow,눈
WORD_SPIKY_78,Spiky,뾰족한
WORD_BIRDS_80,Birds,새
WORD_MINDS_82,Minds,사상가
WORD_HOCKEY_86,Hockey,하키
WORD_DATE_87,Date,데이트
WORD_SAW_88,Saw,톱
WORD_ACTOR_89,Actor,배우
WORD_PLANET_90,Planet,행성
WORD_LESSONS_94,Lessons,수업
WORD_PILLS_99,Pills,약
WORD_RAINY_100,Rainy,비 오는 날
WORD_BREADS_102,Breads,빵
WORD_BRAIN_106,Brain,뇌
WORD_ELEMENTS_107,Elements,원소
WORD_CHEESE_108,Cheese,치즈
WORD_FITNESS_110,Fitness,피트니스
WORD_MUSCLES_112,Muscles,근육
WORD_EGYPT_114,Egypt,이집트
WORD_BERRY_116,Berry,베리
WORD_CAPITALS_119,Capitals,수도
WORD_MAKEUP_120,Makeup,메이크업
WORD_COMBAT_121,Combat,전투
WORD_GUITAR_122,Guitar,기타
WORD_BALLET_125,Ballet,발레
WORD_UNITE_126,Unite,단결
WORD_LUXURY_133,Luxury,럭셔리
WORD_BIOMES_135,Biomes,생물군계
WORD_SPICY_136,Spicy,매운
WORD_PLANE_139,Plane,비행기
WORD_RODENTS_141,Rodents,설치류
WORD_ENERGY_145,Energy,에너지
WORD_ARTICLES_147,Articles,기사
WORD_DISASTER_148,Disaster,재해
WORD_PRIMATES_149,Primates,영장류
WORD_CODING_150,Coding,코딩
WORD_RAP_151,Rap,랩
WORD_WATER_152,Waterfall,폭포
WORD_TOYS_154,Toys,장난감
WORD_ARMY_156,Army,군사 계급
WORD_MEDITATE_160,Meditate,명상
WORD_FAME_161,Fame,명성
WORD_LINGUIST_162,Linguist,언어학자
WORD_HOLIDAY_163,Holiday,휴일
WORD_GYM_164,Gym,헬스장
WORD_WILLIAM_165,William,셰익스피어
WORD_CANINES_168,Canines,개과
WORD_STUDIES_169,Studies,명문대학
WORD_CITRUS_173,Citrus,감귤류
WORD_AIRCRAFT_174,Aircraft,항공기
WORD_GRAPE_177,Grape,와인 포도
WORD_MUSHROOM_178,Mushroom,버섯
WORD_ARCTIC_180,Arctic,북극
WORD_RACING_182,Racing,레이싱
WORD_HELP_183,Help,도움
WORD_GEMSTONE_186,Gemstone,보석
WORD_PATTERN_188,Celestial,천체
WORD_FUELS_190,Fuels,연료
WORD_ELECT_193,Elect,선거
WORD_CROWN_194,Crown,왕실 칭호
WORD_LEADER_196,Leader,미국 대통령
WORD_HOT_DOG_201,Hot dog,핫도그
WORD_CIPHER_208,Cipher,암호
WORD_SYMPHONY_210,Symphony,교향곡
WORD_ARTWORKS_211,Artworks,예술 작품
WORD_AUCTION_215,Auction,경매
WORD_BEANS_219,Beans,커피 원두
WORD_CAMPING_221,Camping,캠핑
WORD_PLAY_223,Music,음악
WORD_FINANCE_227,Finance,금융
WORD_MEDIEVAL_228,Medieval,중세
WORD_OPTICS_229,Optics,광학
WORD_NAVIGATE_230,Navigate,항해
WORD_TODDLER_231,Toddler,유아
WORD_FAMILIES_234,Families,동물 과
WORD_STARS_236,Stars,별
WORD_AI_238,AI,AI
WORD_DIVISION_242,Division,행정구역
WORD_SPEAK_244,Speak,말하기
WORD_HAIR_245,Hair,머리카락
WORD_INJURIES_249,Injuries,부상
WORD_FLU_251,Flu,독감
WORD_MINERALS_253,Minerals,광물
WORD_RADIATE_257,Radiate,방사
WORD_HORMONES_259,Hormones,호르몬
WORD_EYE_260,Eye,눈
WORD_SHOVEL_261,Shovel,삽
WORD_ALLOY_264,Alloy,합금
WORD_FESTIVAL_270,Festival,축제
WORD_METAL_272,Metal,희토류
WORD_ARTIFACT_276,Artifact,유물
WORD_DEFENSE_277,Defense,방어
WORD_PARTICLE_281,Particle,입자
WORD_NEW_YORK_287,New York,뉴욕
WORD_NO_BONES_289,No bones,무척추동물
WORD_LEGENDS_291,Legends,전설
WORD_HELLO_295,Hello,안녕하세요
WORD_PHD_296,PhD,박사
WORD_OK_SIGN_301,OK,동의어
WORD_JUSTICE_310,Justice,정의
WORD_PRISONER_312,Prisoner,죄수
WORD_SPACE_314,Space,우주
WORD_WESTERN_317,Western,서부극
WORD_LOCK_321,Lock,자물쇠
WORD_LEGS_322,Legs,다리
WORD_PYRAMIDS_330,Pyramids,이집트 신
WORD_SHAFT_331,Shaft,광산
WORD_FARMING_333,Farming,농업
WORD_SLIDING_339,Sliding,슬라이딩 스포츠
WORD_PAINTING_340,Painting,그림
WORD_RICE_342,Rice,쌀
WORD_HEART_344,Love,사랑
WORD_HIPPIE_349,Hippie,히피
WORD_ROBOT_354,Robot,로봇
WORD_GREECE_359,Greece,그리스 문자
WORD_DYNAMICS_360,Dynamics,역학
WORD_LAKES_365,Lakes,호수
WORD_NUCLEAR_366,Nuclear,원자 입자
WORD_ITALY_376,Italy,이탈리아 도시
WORD_POINTING_379,Pointing,지시어
WORD_SKIN_380,Skin,피부
WORD_BUILD_384,Build,공공건물
WORD_POLICIES_394,Politics,정치
WORD_STRENGTH_401,Strength,힘
WORD_MESSAGE_407,Message,메시지
WORD_VIEWS_410,Views,철학적 관점
WORD_ORGANS_412,Organs,장기
WORD_TAROT_417,Tarot,타로
WORD_VOICES_439,Voices,목소리
WORD_POETRY_440,Poetry,시
WORD_MEALS_444,Meals,식사
WORD_ALCHEMY_445,Alchemy,연금술
WORD_PAGANISM_469,Paganism,이교
WORD_PRESENT_470,Present,현재
WORD_SECRET_471,Secret,비밀
WORD_EQUIDAE_475,Equidae,말과
WORD_LEATHER_480,Leather,가죽
WORD_CASTLE_485,Castle,성
WORD_DISPLAY_486,Display,디스플레이
WORD_CULTURES_487,Cultures,고대 문명
WORD_WARRIORS_491,Warriors,사무라이
WORD_LIE_492,Lie,거짓말
WORD_VIOLIN_508,Orchestra,오케스트라
WORD_ANAGRAM_511,Anagram,아나그램
WORD_DRUM_518,Drum,북
WORD_WREATH_544,Winning,승리
WORD_ZEN_549,Zen,선
WORD_NETWORK_588,Network,네트워크
WORD_CUSTOMS_592,Customs,세관
WORD_MORTGAGE_595,Mortgage,모기지
WORD_CONCRETE_601,Concrete,건설
WORD_MEMES_620,Memes,밈
