id,category_name_en,ms-MY
WORD_PETS_2,Pets,Haiwan Peliharaan
WORD_FOOD_3,Food,Makanan
WORD_FLOWERS_4,Flowers,Bunga
WORD_CINEMA_6,Cinema,Pawagam
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Buku
WORD_LANDMASS_10,Landmass,Daratan
WORD_DRINKS_16,Drinks,Minuman
WORD_CHESS_17,Chess,Catur
WORD_SEASONS_18,Seasons,Musim
WORD_FISHING_20,Fishing,Memancing
WORD_ISLANDS_21,Islands,Pulau
WORD_DANCES_24,Dances,Tarian
WORD_INSECTS_25,Insects,Serangga
WORD_MATERIAL_27,Material,Bahan
WORD_AIRPORT_29,Airport,Lapangan Terbang
WORD_DAIRY_30,Dairy,Tenusu
WORD_FISH_31,Fish,Ikan
WORD_MAP_32,Nations,Negara
WORD_KNIGHT_34,Knight,Kesatria
WORD_GAMER_36,Gamer,Pemain
WORD_DEVICE_38,Device,Peranti
WORD_HOUSE_40,House,Rumah
WORD_JOBS_42,Jobs,Pekerjaan
WORD_FOOTWEAR_46,Footwear,Kasut
WORD_DRIVING_49,Driving,Memandu
WORD_EXPLORER_51,Explorer,Penjelajah
WORD_MOVEMENT_52,Movement,Pergerakan
WORD_PHASE_57,Phase,Fasa
WORD_COZY_58,Cozy,Selesa
WORD_ZODIAC_59,Zodiac,Zodiak
WORD_SHIP_62,Ship,Kapal
WORD_MAILMAN_63,Mailman,Posmen
WORD_SCULPT_64,Sculpt,Arca
WORD_LANGUAGE_70,Language,Bahasa
WORD_CAMERA_73,Camera,Kamera
WORD_FOG_76,Fog,Kabus
WORD_SNOW_77,Snow,Salji
WORD_SPIKY_78,Spiky,Berduri
WORD_BIRDS_80,Birds,Burung
WORD_MINDS_82,Minds,Pemikir
WORD_HOCKEY_86,Hockey,Hoki
WORD_DATE_87,Date,Temu Janji
WORD_SAW_88,Saw,Gergaji
WORD_ACTOR_89,Actor,Pelakon
WORD_PLANET_90,Planet,Planet
WORD_LESSONS_94,Lessons,Pelajaran
WORD_PILLS_99,Pills,Pil
WORD_RAINY_100,Rainy,Hujan
WORD_BREADS_102,Breads,Roti
WORD_BRAIN_106,Brain,Otak
WORD_ELEMENTS_107,Elements,Unsur
WORD_CHEESE_108,Cheese,Keju
WORD_FITNESS_110,Fitness,Kecergasan
WORD_MUSCLES_112,Muscles,Otot
WORD_EGYPT_114,Egypt,Mesir
WORD_BERRY_116,Berry,Beri
WORD_CAPITALS_119,Capitals,Ibu Kota
WORD_MAKEUP_120,Makeup,Solekan
WORD_COMBAT_121,Combat,Pertempuran
WORD_GUITAR_122,Guitar,Gitar
WORD_BALLET_125,Ballet,Balet
WORD_UNITE_126,Unite,Bersatu
WORD_LUXURY_133,Luxury,Mewah
WORD_BIOMES_135,Biomes,Biom
WORD_SPICY_136,Spicy,Pedas
WORD_PLANE_139,Plane,Kapal Terbang
WORD_RODENTS_141,Rodents,Tikus
WORD_ENERGY_145,Energy,Tenaga
WORD_ARTICLES_147,Articles,Artikel
WORD_DISASTER_148,Disaster,Bencana
WORD_PRIMATES_149,Primates,Primat
WORD_CODING_150,Coding,Pengekodan
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Air Terjun
WORD_TOYS_154,Toys,Mainan
WORD_ARMY_156,Army,Tentera
WORD_MEDITATE_160,Meditate,Meditasi
WORD_FAME_161,Fame,Kemasyhuran
WORD_LINGUIST_162,Linguist,Ahli Bahasa
WORD_HOLIDAY_163,Holiday,Cuti
WORD_GYM_164,Gym,Gim
WORD_WILLIAM_165,William,Shakespeare
WORD_CANINES_168,Canines,Anjing
WORD_STUDIES_169,Studies,Universiti
WORD_CITRUS_173,Citrus,Sitrus
WORD_AIRCRAFT_174,Aircraft,Pesawat
WORD_GRAPE_177,Grape,Anggur
WORD_MUSHROOM_178,Mushroom,Cendawan
WORD_ARCTIC_180,Arctic,Artik
WORD_RACING_182,Racing,Perlumbaan
WORD_HELP_183,Help,Bantuan
WORD_GEMSTONE_186,Gemstone,Batu Permata
WORD_PATTERN_188,Celestial,Cakerawala
WORD_FUELS_190,Fuels,Bahan Api
WORD_ELECT_193,Elect,Pilihan Raya
WORD_CROWN_194,Crown,Gelaran Diraja
WORD_LEADER_196,Leader,Presiden
WORD_HOT_DOG_201,Hot dog,Hot Dog
WORD_CIPHER_208,Cipher,Sifer
WORD_SYMPHONY_210,Symphony,Simfoni
WORD_ARTWORKS_211,Artworks,Karya Seni
WORD_AUCTION_215,Auction,Lelong
WORD_BEANS_219,Beans,Biji Kopi
WORD_CAMPING_221,Camping,Perkhemahan
WORD_PLAY_223,Music,Muzik
WORD_FINANCE_227,Finance,Kewangan
WORD_MEDIEVAL_228,Medieval,Zaman Pertengahan
WORD_OPTICS_229,Optics,Optik
WORD_NAVIGATE_230,Navigate,Navigasi
WORD_TODDLER_231,Toddler,Kanak-kanak
WORD_FAMILIES_234,Families,Keluarga Haiwan
WORD_STARS_236,Stars,Bintang
WORD_AI_238,AI,AI
WORD_DIVISION_242,Division,Kawasan Pentadbiran
WORD_SPEAK_244,Speak,Bertutur
WORD_HAIR_245,Hair,Rambut
WORD_INJURIES_249,Injuries,Kecederaan
WORD_FLU_251,Flu,Selesema
WORD_MINERALS_253,Minerals,Mineral
WORD_RADIATE_257,Radiate,Sinaran
WORD_HORMONES_259,Hormones,Hormon
WORD_EYE_260,Eye,Mata
WORD_SHOVEL_261,Shovel,Penyodok
WORD_ALLOY_264,Alloy,Aloi
WORD_FESTIVAL_270,Festival,Perayaan
WORD_METAL_272,Metal,Logam
WORD_ARTIFACT_276,Artifact,Artifak
WORD_DEFENSE_277,Defense,Pertahanan
WORD_PARTICLE_281,Particle,Zarah
WORD_NEW_YORK_287,New York,New York
WORD_NO_BONES_289,No bones,Tanpa Tulang
WORD_LEGENDS_291,Legends,Legenda
WORD_HELLO_295,Hello,Helo
WORD_PHD_296,PhD,PhD
WORD_OK_SIGN_301,OK,Setuju
WORD_JUSTICE_310,Justice,Keadilan
WORD_PRISONER_312,Prisoner,Banduan
WORD_SPACE_314,Space,Angkasa
WORD_WESTERN_317,Western,Koboi
WORD_LOCK_321,Lock,Kunci
WORD_LEGS_322,Legs,Kaki
WORD_PYRAMIDS_330,Pyramids,Dewa Mesir
WORD_SHAFT_331,Shaft,Perlombongan
WORD_FARMING_333,Farming,Pertanian
WORD_SLIDING_339,Sliding,Gelongsor
WORD_PAINTING_340,Painting,Lukisan
WORD_RICE_342,Rice,Nasi
WORD_HEART_344,Love,Cinta
WORD_HIPPIE_349,Hippie,Hippy
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Greece
WORD_DYNAMICS_360,Dynamics,Dinamik
WORD_LAKES_365,Lakes,Tasik
WORD_NUCLEAR_366,Nuclear,Nuklear
WORD_ITALY_376,Italy,Itali
WORD_POINTING_379,Pointing,Kata Tunjuk
WORD_SKIN_380,Skin,Kulit
WORD_BUILD_384,Build,Bangunan
WORD_POLICIES_394,Politics,Politik
WORD_STRENGTH_401,Strength,Kekuatan
WORD_MESSAGE_407,Message,Mesej
WORD_VIEWS_410,Views,Falsafah
WORD_ORGANS_412,Organs,Organ
WORD_TAROT_417,Tarot,Tarot
WORD_VOICES_439,Voices,Suara
WORD_POETRY_440,Poetry,Puisi
WORD_MEALS_444,Meals,Hidangan
WORD_ALCHEMY_445,Alchemy,Alkimia
WORD_PAGANISM_469,Paganism,Paganisme
WORD_PRESENT_470,Present,Masa Kini
WORD_SECRET_471,Secret,Rahsia
WORD_EQUIDAE_475,Equidae,Kuda
WORD_LEATHER_480,Leather,Kulit
WORD_CASTLE_485,Castle,Istana
WORD_DISPLAY_486,Display,Paparan
WORD_CULTURES_487,Cultures,Budaya
WORD_WARRIORS_491,Warriors,Pahlawan
WORD_LIE_492,Lie,Berbohong
WORD_VIOLIN_508,Orchestra,Orkestra
WORD_ANAGRAM_511,Anagram,Anagram
WORD_DRUM_518,Drum,Dram
WORD_WREATH_544,Winning,Kemenangan
WORD_ZEN_549,Zen,Zen
WORD_NETWORK_588,Network,Rangkaian
WORD_CUSTOMS_592,Customs,Kastam
WORD_MORTGAGE_595,Mortgage,Gadai Janji
WORD_CONCRETE_601,Concrete,Konkrit
WORD_MEMES_620,Memes,Meme
WORD_ALKANES_641,Alkanes,Alkana
WORD_EVALUATE_651,Evaluate,Penilaian
WORD_QUEST_680,Quest,Pencarian
WORD_BEARDS_681,Beards,Janggut
WORD_YINYANG_721,Yinyang,Yin Yang
WORD_FOODIE_726,Foodie,Pencinta Makanan
WORD_OPERA_760,Opera,Opera
WORD_HARBOR_764,Harbor,Pelabuhan
WORD_STREET_768,Street,Jalan
WORD_CHIMERA_795,Chimera,Kimera
WORD_CARRIAGE_800,Carriage,Kereta Kuda
WORD_GAITS_810,Gaits,Gaya Jalan Kuda
WORD_EARTH_831,Earth,Bumi
WORD_VIOLINS_845,Violins,Biola
WORD_GRAMMAR_861,Grammar,Tatabahasa
WORD_COASTAL_882,Coastal,Pantai
WORD_WHEEL_890,Wheel,Roda
WORD_INDUSTRY_921,Industry,Industri
WORD_PREFIX_922,Prefix,Awalan
WORD_BREEDS_940,Breeds,Baka Kucing
WORD_LANDMARK_948,Landmark,Mercu Tanda
WORD_RIVERS_959,Rivers,Sungai
WORD_COAST_969,Coast,Pesisir
WORD_SKINCARE_984,Skincare,Penjagaan Kulit
WORD_DYNASTY_991,Dynasty,Dinasti
WORD_PRIEST_1019,Priest,Paderi
WORD_MAPS_1022,Maps,Peta
WORD_SINGING_1054,Singing,Nyanyian
WORD_GENETICS_1060,Genetics,Genetik
WORD_SCREEN_1030,Screen,Skrin
WORD_ALARM_1031,Alarm,Penggera
WORD_LEAVES_1055,Leaves,Daun
WORD_DISHWARE_829,Dishware,Pinggan Mangkuk
WORD_POND_830,Pond,Kolam
PIC_CHESS_1,Chess,Catur
PIC_SPORTS_2,Sports,Sukan
PIC_FURNITURE_3,Furniture,Perabot
PIC_DECK_4,Deck,Dek
PIC_ZODIAC_5,Zodiac,Zodiak
PIC_TOOLBOX_6,Toolbox,Kotak Alat
PIC_GARMENTS_7,Garments,Pakaian
PIC_VEGGIE_8,Veggie,Sayur
PIC_FRUITS_9,Fruits,Buah
PIC_CHAIR_10,Chair,Kerusi
PIC_HATS_11,Hats,Topi
PIC_PLAY_12,Music,Muzik
PIC_CLEANING_13,Cleaning,Pembersihan
PIC_SHOES_14,Shoes,Kasut
PIC_MAP_15,Map,Negara
PIC_BIRD_16,Bird,Burung
PIC_SEAFOOD_17,Seafood,Makanan Laut
PIC_DOGS_18,Dogs,Anjing
PIC_EATS_19,Eats,Makanan Segera
PIC_BUILD_20,Build,Bangunan
PIC_FOLKLORE_21,Folklore,Cerita Rakyat
PIC_DRUPES_22,Drupes,Buah Drupa
PIC_PICNIC_23,Picnic,Berkelah
PIC_PASTRY_24,Pastry,Pastri
PIC_WIND_25,Wind,Alat Tiup
PIC_MALL_26,Mall,Pusat Beli-Belah
PIC_STRINGS_27,Strings,Instrumen Tali
PIC_JEWELRY_28,Jewelry,Perhiasan
PIC_FLOWERS_29,Flowers,Bunga
PIC_REPTILES_30,Reptiles,Reptilia
PIC_GEMSTONE_31,Gemstone,Batu Permata
PIC_INSECTS_32,Insects,Serangga
PIC_RODENTS_33,Rodents,Tikus
PIC_WESTERN_34,Western,Koboi
PIC_PIRATE_35,Pirate,Lanun
PIC_BEACH_36,Beach,Pantai
PIC_EGYPT_37,Egypt,Mesir
PIC_SPACE_38,Space,Angkasa
PIC_SEA_FISH_39,Sea fish,Ikan Laut
PIC_BIRTHDAY_40,Birthday,Hari Jadi
PIC_CHARGER_41,Charger,Pengecas
PIC_TRANSPORT_42,Transport,Pengangkutan
PIC_WHISKERS_43,Whiskers,Haiwan Bermisai
PIC_BURGER_44,Burger,Burger
PIC_DRINKS_45,Drinks,Minuman
PIC_SHAPES_46,Shapes,Bentuk
PIC_LUXURY_47,Luxury,Mewah
PIC_TAROT_48,Tarot,Tarot
PIC_BABIES_49,Babies,Bayi
PIC_SAILOR_50,Sailor,Pelaut
PIC_CANDY_51,Candy,Gula-gula
PIC_KEYS_52,Keys,Kunci
PIC_LAWN_53,Lawn,Rumput
PIC_3D_54,3D,3D
PIC_VAMPIRE_55,Vampire,Vampir
PIC_LANDMARK_56,Landmark,Mercu Tanda
PIC_DESERT_57,Desert,Gurun
PIC_TOYS_58,Toys,Mainan
PIC_PURPLE_59,Purple,Ungu
PIC_YELLOW_60,Yellow,Kuning
PIC_RAIN_61,Rain,Hujan
PIC_GYM_62,Gym,Gim
PIC_PAIRS_63,Pairs,Pasangan
PIC_CAMPING_64,Camping,Perkhemahan
PIC_XMAS_65,Xmas,Krismas
PIC_MAIL_66,Mail,Mel
PIC_CHEF_67,Chef,Chef
PIC_SCREEN_68,Screen,Skrin
PIC_TOOLS_69,Tools,Alat
PIC_SUPPLIES_70,Supplies,Bekalan
PIC_UTENSILS_71,Utensils,Perkakas
PIC_ARTS_72,Arts,Seni
PIC_SURVIVAL_73,Survival,Kelangsungan
PIC_BAKING_74,Baking,Membakar
PIC_MEDICAL_75,Medical,Perubatan
PIC_ECO_ITEMS_76,Eco-items,Barangan Eko
PIC_DECOR_77,Decor,Hiasan
PIC_AQUATICS_78,Water_Sports,Akuatik
PIC_ICONS_79,Icons,Ikon
PIC_HALLOWEEN_80,Halloween,Halloween
