id,category_name_en,pl-PL
WORD_PETS_2,Pets,Zwierzęta domowe
WORD_FOOD_3,Food,Jedzenie
WORD_FLOWERS_4,Flowers,Kwiaty
WORD_CINEMA_6,Cinema,Kino
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Książka
WORD_LANDMASS_10,Landmass,Ląd
WORD_DRINKS_16,Drinks,Napoje
WORD_CHESS_17,Chess,Szachy
WORD_SEASONS_18,Seasons,Pory roku
WORD_FISHING_20,Fishing,Wędkowanie
WORD_ISLANDS_21,Islands,Wyspy
WORD_DANCES_24,Dances,Tańce
WORD_INSECTS_25,Insects,Owady
WORD_MATERIAL_27,Material,Materiał
WORD_AIRPORT_29,Airport,Lotnisko
WORD_DAIRY_30,Dairy,Nabiał
WORD_FISH_31,Fish,Ryba
WORD_MAP_32,Nations,Narody
WORD_KNIGHT_34,Knight,Rycerz
WORD_GAMER_36,Gamer,Gracz
WORD_DEVICE_38,Device,Urządzenie
WORD_HOUSE_40,House,Dom
WORD_JOBS_42,Jobs,Zawody
WORD_FOOTWEAR_46,Footwear,Obuwie
WORD_DRIVING_49,Driving,Jazda
WORD_EXPLORER_51,Explorer,Odkrywca
WORD_MOVEMENT_52,Movement,Ruch
WORD_PHASE_57,Phase,Faza
WORD_COZY_58,Cozy,Przytulny
WORD_ZODIAC_59,Zodiac,Zodiak
WORD_SHIP_62,Ship,Statek
WORD_MAILMAN_63,Mailman,Listonosz
WORD_SCULPT_64,Sculpt,Rzeźba
WORD_LANGUAGE_70,Language,Język
WORD_CAMERA_73,Camera,Aparat
WORD_FOG_76,Fog,Mgła
WORD_SNOW_77,Snow,Śnieg
WORD_SPIKY_78,Spiky,Kolczasty
WORD_BIRDS_80,Birds,Ptaki
WORD_MINDS_82,Minds,Myśliciele
WORD_HOCKEY_86,Hockey,Hokej
WORD_DATE_87,Date,Randka
WORD_SAW_88,Saw,Piła
WORD_ACTOR_89,Actor,Aktor
WORD_PLANET_90,Planet,Planeta
WORD_LESSONS_94,Lessons,Lekcje
WORD_PILLS_99,Pills,Tabletki
WORD_RAINY_100,Rainy,Deszczowy
WORD_BREADS_102,Breads,Chleby
WORD_BRAIN_106,Brain,Mózg
WORD_ELEMENTS_107,Elements,Pierwiastki
WORD_CHEESE_108,Cheese,Ser
WORD_FITNESS_110,Fitness,Fitness
WORD_MUSCLES_112,Muscles,Mięśnie
WORD_EGYPT_114,Egypt,Egipt
WORD_BERRY_116,Berry,Jagoda
WORD_CAPITALS_119,Capitals,Stolice
WORD_MAKEUP_120,Makeup,Makijaż
WORD_COMBAT_121,Combat,Walka
WORD_GUITAR_122,Guitar,Gitara
WORD_BALLET_125,Ballet,Balet
WORD_UNITE_126,Unite,Jedność
WORD_LUXURY_133,Luxury,Luksus
WORD_BIOMES_135,Biomes,Biomy
WORD_SPICY_136,Spicy,Pikantny
WORD_PLANE_139,Plane,Samolot
WORD_RODENTS_141,Rodents,Gryzonie
WORD_ENERGY_145,Energy,Energia
WORD_ARTICLES_147,Articles,Artykuły
WORD_DISASTER_148,Disaster,Katastrofa
WORD_PRIMATES_149,Primates,Naczelne
WORD_CODING_150,Coding,Programowanie
WORD_RAP_151,Rap,Rap
WORD_WATER_152,Waterfall,Wodospad
WORD_TOYS_154,Toys,Zabawki
WORD_ARMY_156,Army,Armia
WORD_MEDITATE_160,Meditate,Medytacja
WORD_FAME_161,Fame,Sława
WORD_LINGUIST_162,Linguist,Językoznawca
WORD_HOLIDAY_163,Holiday,Święta
WORD_GYM_164,Gym,Siłownia
WORD_WILLIAM_165,William,Szekspir
WORD_CANINES_168,Canines,Psowate
WORD_STUDIES_169,Studies,Uniwersytety
WORD_CITRUS_173,Citrus,Cytrusy
WORD_AIRCRAFT_174,Aircraft,Samoloty
WORD_GRAPE_177,Grape,Winogrono
WORD_MUSHROOM_178,Mushroom,Grzyb
WORD_ARCTIC_180,Arctic,Arktyka
WORD_RACING_182,Racing,Wyścigi
WORD_HELP_183,Help,Pomoc
WORD_GEMSTONE_186,Gemstone,Kamień szlachetny
WORD_PATTERN_188,Celestial,Gwiazdozbiory
WORD_FUELS_190,Fuels,Paliwa
WORD_ELECT_193,Elect,Wyborczy
WORD_CROWN_194,Crown,Tytuły królewskie
WORD_LEADER_196,Leader,Prezydenci
WORD_HOT_DOG_201,Hot dog,Hot dog
WORD_CIPHER_208,Cipher,Szyfr
WORD_SYMPHONY_210,Symphony,Symfonia
WORD_ARTWORKS_211,Artworks,Dzieła sztuki
WORD_AUCTION_215,Auction,Aukcja
WORD_BEANS_219,Beans,Ziarna kawy
WORD_CAMPING_221,Camping,Camping
WORD_PLAY_223,Music,Muzyka
WORD_FINANCE_227,Finance,Finanse
WORD_MEDIEVAL_228,Medieval,Średniowiecze
WORD_OPTICS_229,Optics,Optyka
WORD_NAVIGATE_230,Navigate,Nawigacja
WORD_TODDLER_231,Toddler,Maluch
WORD_FAMILIES_234,Families,Rodziny zwierząt
WORD_STARS_236,Stars,Gwiazdy
WORD_AI_238,AI,SI
WORD_DIVISION_242,Division,Okręgi administracyjne
WORD_SPEAK_244,Speak,Mówić
WORD_HAIR_245,Hair,Włosy
WORD_INJURIES_249,Injuries,Urazy
WORD_FLU_251,Flu,Grypa
WORD_MINERALS_253,Minerals,Minerały
WORD_RADIATE_257,Radiate,Promieniować
WORD_HORMONES_259,Hormones,Hormony
WORD_EYE_260,Eye,Oko
WORD_SHOVEL_261,Shovel,Łopata
WORD_ALLOY_264,Alloy,Stop
WORD_FESTIVAL_270,Festival,Festiwal
WORD_METAL_272,Metal,Metal
WORD_ARTIFACT_276,Artifact,Artefakt
WORD_DEFENSE_277,Defense,Obrona
WORD_PARTICLE_281,Particle,Cząstka
WORD_NEW_YORK_287,New York,Nowy Jork
WORD_NO_BONES_289,No bones,Bezkręgowce
WORD_LEGENDS_291,Legends,Legendy
WORD_HELLO_295,Hello,Cześć
WORD_PHD_296,PhD,Doktorat
WORD_OK_SIGN_301,OK,Zgoda
WORD_JUSTICE_310,Justice,Sprawiedliwość
WORD_PRISONER_312,Prisoner,Więzień
WORD_SPACE_314,Space,Kosmos
WORD_WESTERN_317,Western,Western
WORD_LOCK_321,Lock,Zamek
WORD_LEGS_322,Legs,Nogi
WORD_PYRAMIDS_330,Pyramids,Egipscy bogowie
WORD_SHAFT_331,Shaft,Szyb
WORD_FARMING_333,Farming,Rolnictwo
WORD_SLIDING_339,Sliding,Ślizganie
WORD_PAINTING_340,Painting,Malarstwo
WORD_RICE_342,Rice,Ryż
WORD_HEART_344,Love,Miłość
WORD_HIPPIE_349,Hippie,Hipis
WORD_ROBOT_354,Robot,Robot
WORD_GREECE_359,Greece,Alfabet grecki
WORD_DYNAMICS_360,Dynamics,Dynamika
WORD_LAKES_365,Lakes,Jeziora
WORD_NUCLEAR_366,Nuclear,Nuklearny
WORD_ITALY_376,Italy,Włochy
WORD_POINTING_379,Pointing,Zaimki wskazujące
WORD_SKIN_380,Skin,Skóra
WORD_BUILD_384,Build,Budynki
WORD_POLICIES_394,Politics,Polityka
WORD_STRENGTH_401,Strength,Siła
WORD_MESSAGE_407,Message,Wiadomość
WORD_VIEWS_410,Views,Filozofia
WORD_ORGANS_412,Organs,Organy
WORD_TAROT_417,Tarot,Tarot
