id,category_name_en,pt-BR
WORD_PETS_2,Pets,Animais
WORD_FOOD_3,Food,Comida
WORD_FLOWERS_4,Flowers,Flores
WORD_CINEMA_6,Cinema,Cinema
WORD_BURGER_8,Burger,Hamburguer
WORD_BOOK_9,Book,Livro
WORD_LANDMASS_10,Landmass,Continente
WORD_DRINKS_16,Drinks,Bebidas
WORD_CHESS_17,Chess,Xadrez
WORD_SEASONS_18,Seasons,Estacoes
WORD_FISHING_20,Fishing,Pesca
WORD_ISLANDS_21,Islands,Ilhas
WORD_DANCES_24,Dances,Dancas
WORD_INSECTS_25,Insects,Insetos
WORD_MATERIAL_27,Material,Material
WORD_AIRPORT_29,Airport,Aeroporto
WORD_DAIRY_30,Dairy,Laticinios
WORD_FISH_31,Fish,Peixes
WORD_MAP_32,Nations,Nacoes
WORD_KNIGHT_34,Knight,Cavaleiro
WORD_GAMER_36,Gamer,Jogador
WORD_DEVICE_38,Device,Dispositivo
WORD_HOUSE_40,House,Casa
WORD_JOBS_42,Jobs,Empregos
WORD_FOOTWEAR_46,Footwear,Calcados
WORD_DRIVING_49,Driving,Direcao
WORD_EXPLORER_51,Explorer,Explorador
WORD_MOVEMENT_52,Movement,Movimento
WORD_PHASE_57,Phase,Fase
WORD_COZY_58,Cozy,Aconchegante
WORD_ZODIAC_59,Zodiac,Zodiaco
WORD_SHIP_62,Ship,Navio
WORD_MAILMAN_63,Mailman,Carteiro
WORD_SCULPT_64,Sculpt,Esculpir
WORD_LANGUAGE_70,Language,Idioma
WORD_CAMERA_73,Camera,Camera
WORD_FOG_76,Fog,Neblina
WORD_SNOW_77,Snow,Neve
WORD_SPIKY_78,Spiky,Espinhoso
WORD_BIRDS_80,Birds,Passaros
WORD_MINDS_82,Minds,Pensadores
WORD_HOCKEY_86,Hockey,Hoquei
WORD_DATE_87,Date,Encontro
WORD_SAW_88,Saw,Serra
WORD_ACTOR_89,Actor,Ator
WORD_PLANET_90,Planet,Planeta
WORD_LESSONS_94,Lessons,Licoes
WORD_PILLS_99,Pills,Pilulas
WORD_RAINY_100,Rainy,Chuvoso
WORD_BREADS_102,Breads,Paes
WORD_BRAIN_106,Brain,Cerebro
WORD_ELEMENTS_107,Elements,Elementos
WORD_CHEESE_108,Cheese,Queijo
WORD_FITNESS_110,Fitness,Fitness
