id,category_name_en,ru-RU
WORD_PETS_2,Pets,Питомцы
WORD_FOOD_3,Food,Еда
WORD_FLOWERS_4,Flowers,Цветы
WORD_CINEMA_6,Cinema,Кино
WORD_BURGER_8,Burger,Бургер
WORD_BOOK_9,Book,Книга
WORD_LANDMASS_10,Landmass,Суша
WORD_DRINKS_16,Drinks,Напитки
WORD_CHESS_17,Chess,Шахматы
WORD_SEASONS_18,Seasons,Времена года
WORD_FISHING_20,Fishing,Рыбалка
WORD_ISLANDS_21,Islands,Острова
WORD_DANCES_24,Dances,Танцы
WORD_INSECTS_25,Insects,Насекомые
WORD_MATERIAL_27,Material,Материал
WORD_AIRPORT_29,Airport,Аэропорт
WORD_DAIRY_30,Dairy,Молочные продукты
WORD_FISH_31,Fish,Рыба
WORD_MAP_32,Nations,Нации
WORD_KNIGHT_34,Knight,Рыцарь
WORD_GAMER_36,Gamer,Геймер
WORD_DEVICE_38,Device,Устройство
WORD_HOUSE_40,House,Дом
WORD_JOBS_42,Jobs,Работы
WORD_FOOTWEAR_46,Footwear,Обувь
WORD_DRIVING_49,Driving,Вождение
WORD_EXPLORER_51,Explorer,Исследователь
WORD_MOVEMENT_52,Movement,Движение
WORD_PHASE_57,Phase,Фаза
WORD_COZY_58,Cozy,Уютный
WORD_ZODIAC_59,Zodiac,Зодиак
WORD_SHIP_62,Ship,Корабль
WORD_MAILMAN_63,Mailman,Почтальон
WORD_SCULPT_64,Sculpt,Скульптура
WORD_LANGUAGE_70,Language,Язык
WORD_CAMERA_73,Camera,Камера
WORD_FOG_76,Fog,Туман
WORD_SNOW_77,Snow,Снег
WORD_SPIKY_78,Spiky,Колючий
WORD_BIRDS_80,Birds,Птицы
WORD_MINDS_82,Minds,Мыслители
WORD_HOCKEY_86,Hockey,Хоккей
WORD_DATE_87,Date,Свидание
WORD_SAW_88,Saw,Пила
WORD_ACTOR_89,Actor,Актёр
WORD_PLANET_90,Planet,Планета
WORD_LESSONS_94,Lessons,Уроки
WORD_PILLS_99,Pills,Таблетки
WORD_RAINY_100,Rainy,Дождливый
WORD_BREADS_102,Breads,Хлеб
WORD_BRAIN_106,Brain,Мозг
WORD_ELEMENTS_107,Elements,Элементы
