id,category_name_en,tr-TR
WORD_PETS_2,Pets,Evcil Hayvanlar
WORD_FOOD_3,Food,Yiyecek
WORD_FLOWERS_4,Flowers,Cicekler
WORD_CINEMA_6,Cinema,Sinema
WORD_BURGER_8,Burger,Burger
WORD_BOOK_9,Book,Kitap
WORD_LANDMASS_10,Landmass,Kara Parcasi
WORD_DRINKS_16,Drinks,Icecekler
WORD_CHESS_17,Chess,Satranc
WORD_SEASONS_18,Seasons,Mevsimler
WORD_FISHING_20,Fishing,Balikcilik
WORD_ISLANDS_21,Islands,Adalar
WORD_DANCES_24,Dances,Danslar
WORD_INSECTS_25,Insects,Bocekler
WORD_MATERIAL_27,Material,Malzeme
WORD_AIRPORT_29,Airport,Havalimani
WORD_DAIRY_30,Dairy,Sut Urunleri
WORD_FISH_31,Fish,Balik
WORD_MAP_32,Nations,Ulkeler
WORD_KNIGHT_34,Knight,Sovalye
WORD_GAMER_36,Gamer,Oyuncu
WORD_DEVICE_38,Device,Cihaz
WORD_HOUSE_40,House,Ev
WORD_JOBS_42,Jobs,Meslekler
WORD_FOOTWEAR_46,Footwear,Ayakkabi
WORD_DRIVING_49,Driving,Suruculuk
WORD_EXPLORER_51,Explorer,Kasif
WORD_MOVEMENT_52,Movement,Hareket
WORD_PHASE_57,Phase,Evre
WORD_COZY_58,Cozy,Rahat
WORD_ZODIAC_59,Zodiac,Burclar
WORD_SHIP_62,Ship,Gemi
WORD_MAILMAN_63,Mailman,Postaci
WORD_SCULPT_64,Sculpt,Heykel
WORD_LANGUAGE_70,Language,Dil
WORD_CAMERA_73,Camera,Kamera
WORD_FOG_76,Fog,Sis
WORD_SNOW_77,Snow,Kar
WORD_SPIKY_78,Spiky,Dikenli
WORD_BIRDS_80,Birds,Kuslar
WORD_MINDS_82,Minds,Düşünürler
WORD_HOCKEY_86,Hockey,Hokey
WORD_DATE_87,Date,Randevu
WORD_SAW_88,Saw,Testere
WORD_ACTOR_89,Actor,Oyuncu
WORD_PLANET_90,Planet,Gezegen
WORD_LESSONS_94,Lessons,Dersler
WORD_PILLS_99,Pills,Haplar
WORD_RAINY_100,Rainy,Yagmurlu
WORD_BREADS_102,Breads,Ekmekler
WORD_BRAIN_106,Brain,Beyin
WORD_ELEMENTS_107,Elements,Elementler
