id,category_name_en,vi-VN
WORD_PETS_2,Pets,Thú cưng
WORD_FOOD_3,Food,Thực phẩm
WORD_FLOWERS_4,Flowers,Hoa
WORD_CINEMA_6,Cinema,Điện ảnh
WORD_BURGER_8,Burger,Bánh burger
WORD_BOOK_9,Book,Sách
WORD_LANDMASS_10,Landmass,Lục địa
WORD_DRINKS_16,Drinks,Đồ uống
WORD_CHESS_17,Chess,Cờ vua
WORD_SEASONS_18,Seasons,Mùa
WORD_FISHING_20,Fishing,Câu cá
WORD_ISLANDS_21,Islands,Đảo
WORD_DANCES_24,Dances,Khiêu vũ
WORD_INSECTS_25,Insects,Côn trùng
WORD_MATERIAL_27,Material,Vật liệu
WORD_AIRPORT_29,Airport,Sân bay
WORD_DAIRY_30,Dairy,Sữa
WORD_FISH_31,Fish,Cá
WORD_MAP_32,Nations,Quốc gia
WORD_KNIGHT_34,Knight,Hiệp sĩ
WORD_GAMER_36,Gamer,Game thủ
WORD_DEVICE_38,Device,Thiết bị
WORD_HOUSE_40,House,Nhà
WORD_JOBS_42,Jobs,Nghề nghiệp
WORD_FOOTWEAR_46,Footwear,Giày dép
WORD_DRIVING_49,Driving,Lái xe
WORD_EXPLORER_51,Explorer,Nhà thám hiểm
WORD_MOVEMENT_52,Movement,Chuyển động
WORD_PHASE_57,Phase,Giai đoạn
WORD_COZY_58,Cozy,Ấm cúng
WORD_ZODIAC_59,Zodiac,Cung hoàng đạo
WORD_SHIP_62,Ship,Tàu
WORD_MAILMAN_63,Mailman,Người đưa thư
WORD_SCULPT_64,Sculpt,Điêu khắc
WORD_LANGUAGE_70,Language,Ngôn ngữ
WORD_CAMERA_73,Camera,Máy ảnh
WORD_FOG_76,Fog,Sương mù
WORD_SNOW_77,Snow,Tuyết
WORD_SPIKY_78,Spiky,Có gai
WORD_BIRDS_80,Birds,Chim
WORD_MINDS_82,Minds,Trí tuệ
WORD_HOCKEY_86,Hockey,Khúc côn cầu
WORD_DATE_87,Date,Hẹn hò
WORD_SAW_88,Saw,Cưa
WORD_ACTOR_89,Actor,Diễn viên
WORD_PLANET_90,Planet,Hành tinh
WORD_LESSONS_94,Lessons,Bài học
WORD_PILLS_99,Pills,Thuốc viên
WORD_RAINY_100,Rainy,Mưa
WORD_BREADS_102,Breads,Bánh mì
WORD_BRAIN_106,Brain,Não bộ
WORD_ELEMENTS_107,Elements,Nguyên tố
WORD_CHEESE_108,Cheese,Phô mai
WORD_FITNESS_110,Fitness,Thể hình
WORD_MUSCLES_112,Muscles,Cơ bắp
WORD_EGYPT_114,Egypt,Ai Cập
WORD_BERRY_116,Berry,Quả mọng
WORD_CAPITALS_119,Capitals,Thủ đô
WORD_MAKEUP_120,Makeup,Trang điểm
WORD_COMBAT_121,Combat,Chiến đấu
WORD_GUITAR_122,Guitar,Ghi ta
WORD_BALLET_125,Ballet,Ba lê
WORD_UNITE_126,Unite,Đoàn kết
WORD_LUXURY_133,Luxury,Xa xỉ
WORD_BIOMES_135,Biomes,Hệ sinh thái
WORD_SPICY_136,Spicy,Cay
WORD_PLANE_139,Plane,Máy bay
WORD_RODENTS_141,Rodents,Loài gặm nhấm
WORD_ENERGY_145,Energy,Năng lượng
WORD_ARTICLES_147,Articles,Bài viết
WORD_DISASTER_148,Disaster,Thảm họa
WORD_PRIMATES_149,Primates,Linh trưởng
WORD_CODING_150,Coding,Lập trình
WORD_RAP_151,Rap,Nhạc rap
WORD_WATER_152,Waterfall,Thác nước
WORD_TOYS_154,Toys,Đồ chơi
WORD_ARMY_156,Army,Quân đội
WORD_MEDITATE_160,Meditate,Thiền
WORD_FAME_161,Fame,Danh vọng
WORD_LINGUIST_162,Linguist,Ngôn ngữ học
WORD_HOLIDAY_163,Holiday,Ngày lễ
WORD_GYM_164,Gym,Phòng tập
